Iteration, Path length, Time, Planning, Flying
1, 0.289352, 0.942, 0.292, 0.639
2, 1.09903, 1.942, 0.292, 1.639
3, 2.05065, 2.942, 0.292, 2.639
4, 3.06355, 3.942, 0.292, 3.639
5, 3.52368, 4.942, 0.292, 4.639
6, 4.80204, 5.942, 0.292, 5.639
7, 6.49814, 6.942, 0.292, 6.639
8, 7.17179, 7.942, 0.292, 7.639
9, 8.23299, 8.942, 0.292, 8.639
10, 10.2576, 9.942, 0.292, 9.639
11, 12.3787, 10.942, 0.292, 10.639
12, 14.091, 11.942, 0.292, 11.639
13, 15.096, 12.942, 0.292, 12.639
14, 16.4155, 13.942, 0.292, 13.639
15, 18.1319, 14.942, 0.292, 14.639
16, 19.9152, 15.942, 0.292, 15.639
17, 21.553, 16.942, 0.292, 16.639
18, 23.1844, 17.943, 0.292, 17.639
19, 24.7364, 18.942, 0.292, 18.639
20, 25.9987, 19.942, 0.292, 19.639
21, 26.6921, 20.942, 0.292, 20.639
22, 27.4191, 21.942, 0.292, 21.639
23, 28.5359, 22.942, 0.292, 22.639
24, 30.1962, 23.942, 0.292, 23.639
25, 31.8339, 24.942, 0.292, 24.639
26, 32.7434, 25.942, 0.292, 25.639
27, 32.9624, 26.942, 0.292, 26.639
28, 33.721, 27.942, 0.292, 27.639
29, 35.1936, 28.942, 0.292, 28.639
30, 36.8031, 29.942, 0.292, 29.639
31, 37.8387, 30.942, 0.292, 30.639
32, 38.3083, 31.942, 0.292, 31.639
33, 39.4594, 32.942, 0.292, 32.639
