Goal x, Goal y, Goal z, Planner
-3, -5.3, 1, racer
-3.02341, -5.03948, 1.10516, racer
-2.97076, -4.37923, 1.42933, racer
-3.12866, -3.77668, 1.71035, racer
-3.52223, -2.96142, 1.94681, racer
-3.48369, -2.63875, 2.1016, racer
-2.51373, -2.27596, 2.30608, racer
-1.14937, -0.987395, 2.31005, racer
0.200477, -0.256154, 2.36056, racer
1.39199, -0.537851, 2.49536, racer
1.88844, -0.755026, 2.33207, racer
1.93656, 0.156715, 2.07549, racer
2.09574, 1.67382, 1.98786, racer
1.79383, 2.64703, 2.092, racer
0.508164, 2.88662, 2.24843, racer
-1.0572, 3.07154, 2.30633, racer
-2.11811, 3.80152, 2.29524, racer
-2.03345, 4.91958, 2.28506, racer
-0.994908, 6.14736, 2.30251, racer
-0.172927, 6.92885, 2.31758, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
0.450623, 7.56656, 2.32937, racer
