Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
1.41, 254.112, 1.12939, 193.352, 60.76, 22245.9
73.86, 591.584, 2.62926, 476.536, 115.048, 21908.4
150.86, 789.736, 3.50994, 647.36, 142.376, 21710.3
233.91, 995.616, 4.42496, 832.048, 163.568, 21504.4
328.91, 1301.98, 5.7866, 1100.91, 201.072, 21198
410.86, 1575.02, 7.00007, 1348.36, 226.656, 20925
502.86, 1841.28, 8.18347, 1584.96, 256.32, 20658.7
589.86, 2062.38, 9.16612, 1780.54, 281.832, 20437.6
677.86, 2328.62, 10.3494, 2037.54, 291.08, 20171.4
767.86, 2634.89, 11.7106, 2330.21, 304.68, 19865.1
859.86, 2988.8, 13.2836, 2680.9, 307.896, 19511.2
952.86, 3298.05, 14.658, 2985.38, 312.664, 19202
1040.41, 3403.09, 15.1248, 3084.53, 318.56, 19096.9
1133.86, 3502.18, 15.5652, 3178.25, 323.928, 18997.8
1224.86, 3597.29, 15.9879, 3259.23, 338.056, 18902.7
1318.91, 3692.27, 16.4101, 3341.9, 350.368, 18807.7
1407.86, 3735.76, 16.6034, 3384.87, 350.888, 18764.2
1501.91, 3751.85, 16.6749, 3401.01, 350.84, 18748.2
1591.91, 3754.04, 16.6846, 3402.39, 351.648, 18746
1681.86, 3759.59, 16.7093, 3409.37, 350.224, 18740.4
1777.91, 3799.45, 16.8864, 3448.74, 350.712, 18700.6
1869.91, 3822.94, 16.9909, 3470.52, 352.424, 18677.1
1959.86, 3883.37, 17.2594, 3529.73, 353.64, 18616.6
2053.91, 3892.58, 17.3003, 3538.14, 354.432, 18607.4
2142.86, 3906.27, 17.3612, 3552.38, 353.888, 18593.7
2236.91, 3909.65, 17.3762, 3557.42, 352.232, 18590.4
2328.91, 3937.76, 17.5012, 3585.04, 352.72, 18562.2
2417.86, 3950.35, 17.5571, 3595.59, 354.76, 18549.6
2509.86, 3962.63, 17.6117, 3605.46, 357.176, 18537.4
2603.91, 3979.52, 17.6868, 3623.07, 356.448, 18520.5
2696.86, 3981.02, 17.6934, 3626.48, 354.544, 18519
2788.86, 3982.22, 17.6987, 3627.45, 354.768, 18517.8
2882.91, 4027.13, 17.8983, 3672.23, 354.896, 18472.9
2972.86, 4038.35, 17.9482, 3681.13, 357.224, 18461.6
3062.41, 4046.66, 17.9851, 3689.57, 357.088, 18453.3
3160.86, 4047.54, 17.9891, 3690.77, 356.776, 18452.5
3258.91, 4048.82, 17.9948, 3692.45, 356.376, 18451.2
3352.86, 4049.75, 17.9989, 3693.71, 356.04, 18450.2
3446.41, 4055.86, 18.026, 3699.2, 356.656, 18444.1
