Goal x, Goal y, Goal z, Planner
-29.9575, -10.0599, 0.799999, racer
-29.7079, -10.4219, 0.799996, racer
-29.7139, -10.4131, 0.799997, racer
-29.7177, -10.4078, 0.799997, racer
-29.7163, -10.4103, 0.802831, racer
-30.0674, -9.86271, 0.640251, racer
-30.3558, -9.00501, 0.504146, racer
-29.6103, -8.67541, 0.744597, racer
-29.5088, -8.94537, 0.721232, racer
-30.1975, -9.68432, 0.565841, racer
-30.4388, -9.31446, 0.813831, racer
-30.6845, -8.93698, 1.0648, racer
-30.9236, -8.92126, 0.89913, racer
-31.6506, -8.50609, 0.614081, racer
-31.5898, -7.38112, 1.07226, racer
-30.9977, -6.50341, 1.83119, racer
-31.1579, -6.88421, 1.75053, racer
-31.773, -7.9626, 1.09654, racer
-31.7854, -8.65377, 0.773313, racer
-30.9052, -9.05756, 1.42562, racer
-29.9587, -9.48281, 2.50132, racer
-29.975, -10.1672, 2.674, racer
-30.8745, -10.7603, 2.06305, racer
-31.8295, -10.9033, 1.64075, racer
-32.4897, -11.6433, 1.69739, racer
-32.7161, -11.826, 2.56507, racer
-32.5794, -11.7009, 2.40413, racer
-32.6315, -11.8295, 1.95295, racer
-32.6338, -11.8286, 1.96948, racer
-32.6366, -11.8273, 1.99117, racer
-32.6362, -11.8276, 1.98901, racer
-32.6391, -11.8264, 2.0116, racer
-32.5153, -11.8843, 2.18221, racer
-31.959, -12.1371, 2.49485, racer
-31.2826, -12.1284, 2.64538, racer
-30.8901, -12.1, 2.74207, racer
-31.4595, -12.154, 2.62283, racer
-31.7769, -12.184, 2.55898, racer
-31.7746, -12.1837, 2.55962, racer
-31.6018, -12.3995, 2.52189, racer
-30.5421, -13.45, 1.91907, racer
-30.1287, -14.038, 1.64373, racer
-31.12, -13.8282, 2.38562, racer
-31.5121, -14.4131, 2.78598, racer
-30.9705, -15.5118, 2.80905, racer
-30.8034, -16.0652, 2.74705, racer
-31.1367, -15.6158, 2.72312, racer
-31.2461, -14.9848, 2.72053, racer
-31.3268, -14.8197, 1.90123, racer
-31.5474, -15.2019, 1.20964, racer
-31.5269, -15.3622, 1.63323, racer
-31.2728, -15.0515, 2.6481, racer
-31.3561, -14.9156, 2.69972, racer
-31.7665, -14.2398, 1.85151, racer
-31.944, -13.705, 1.30969, racer
-31.7958, -13.667, 1.63492, racer
-31.1271, -13.7927, 2.52755, racer
-30.6117, -13.7247, 2.71412, racer
-30.1138, -13.6412, 2.86924, racer
-29.7867, -14.1788, 2.7397, racer
-29.4981, -14.5294, 2.71933, racer
-28.9022, -14.9434, 3.01256, racer
-28.9928, -14.9886, 2.81409, racer
-29.2125, -15.2754, 1.90787, racer
-29.5627, -15.7252, 1.45952, racer
-30.5948, -16.1865, 1.46655, racer
-30.7238, -15.9527, 0.767154, racer
-30.3561, -15.7752, 0.363404, racer
-30.9408, -16.1812, 1.25527, racer
-31.4806, -16.5185, 2.033, racer
-31.783, -17.1994, 2.07452, racer
-31.911, -17.6385, 2.16325, racer
-32.0042, -18.2978, 2.25263, racer
-32.4366, -18.4395, 2.11128, racer
-32.912, -18.5709, 1.94865, racer
-32.4129, -18.4412, 2.12385, racer
-32.0599, -18.35, 2.24756, racer
-32.0568, -18.3496, 2.24828, racer
-32.0765, -18.367, 2.23219, racer
-31.3696, -18.7078, 2.07954, racer
