Iteration, Path length, Time, Planning, Flying
1, 0.0780601, 0.9, 0.43, 0.46
2, 0.707968, 1.9, 0.45, 1.44
3, 1.16873, 2.9, 0.45, 2.44
4, 2.07965, 3.9, 0.47, 3.42
5, 2.14822, 4.9, 1.11, 3.78
6, 2.19565, 5.9, 1.79, 4.1
7, 2.95862, 6.9, 1.81, 5.08
8, 4.17741, 7.9, 1.83, 6.06
9, 5.07899, 8.9, 1.85, 7.04
10, 5.71498, 9.9, 1.85, 8.04
11, 6.93185, 10.9, 1.87, 9.02
12, 7.98343, 11.9, 1.89, 10
13, 8.59354, 12.9, 1.91, 10.98
14, 9.56725, 13.9, 1.93, 11.96
15, 10.2674, 14.9, 1.93, 12.96
16, 11.2389, 15.9, 1.95, 13.94
17, 12.1363, 16.9, 1.95, 14.94
18, 12.8833, 17.9, 1.97, 15.92
19, 14.2231, 18.9, 1.99, 16.9
20, 14.4763, 19.9, 2.63, 17.26
21, 14.4763, 20.9, 3.63, 17.26
22, 14.4763, 21.9, 4.63, 17.26
23, 14.4763, 22.9, 5.63, 17.26
24, 14.4763, 23.9, 6.63, 17.26
25, 14.4763, 24.9, 7.63, 17.26
26, 14.4763, 25.9, 8.63, 17.26
27, 14.4763, 26.9, 9.63, 17.26
28, 14.4763, 27.9, 10.63, 17.26
29, 14.4763, 28.9, 11.63, 17.26
30, 14.4763, 29.9, 12.63, 17.26
31, 14.4763, 30.9, 13.63, 17.26
32, 14.4763, 31.9, 14.63, 17.26
33, 14.4763, 32.9, 15.63, 17.26
34, 14.4763, 33.9, 16.63, 17.26
35, 14.4763, 34.9, 17.63, 17.26
36, 14.4763, 35.9, 18.63, 17.26
37, 14.4763, 36.9, 19.63, 17.26
38, 14.4763, 37.9, 20.63, 17.26
39, 14.4763, 38.9, 21.63, 17.26
40, 14.4763, 39.9, 22.63, 17.26
41, 14.4763, 40.9, 23.63, 17.26
42, 14.4763, 41.9, 24.63, 17.26
43, 14.4763, 42.9, 25.63, 17.26
44, 14.4763, 43.9, 26.63, 17.26
45, 14.4763, 44.9, 27.63, 17.26
46, 14.4763, 45.9, 28.63, 17.26
47, 14.4763, 46.9, 29.63, 17.26
48, 14.4763, 47.9, 30.63, 17.26
49, 14.4763, 48.9, 31.63, 17.26
50, 14.4763, 49.9, 32.63, 17.26
51, 14.4763, 50.9, 33.63, 17.26
52, 14.4763, 51.9, 34.63, 17.26
53, 14.4763, 52.9, 35.63, 17.26
54, 14.4763, 53.9, 36.63, 17.26
55, 14.4763, 54.9, 37.63, 17.26
56, 14.4763, 55.9, 38.63, 17.26
57, 14.4763, 56.9, 39.63, 17.26
58, 14.4763, 57.9, 40.63, 17.26
59, 14.4763, 58.9, 41.63, 17.26
60, 14.4763, 59.9, 42.63, 17.26
61, 14.4763, 60.9, 43.63, 17.26
62, 14.4763, 61.9, 44.63, 17.26
63, 14.4763, 62.9, 45.63, 17.26
64, 14.4763, 63.9, 46.63, 17.26
65, 14.4763, 64.9, 47.63, 17.26
66, 14.4763, 65.9, 48.63, 17.26
67, 14.4763, 66.9, 49.63, 17.26
68, 14.4763, 67.9, 50.63, 17.26
69, 14.4763, 68.9, 51.63, 17.26
70, 14.4763, 69.9, 52.63, 17.26
71, 14.4763, 70.9, 53.63, 17.26
72, 14.4763, 71.9, 54.63, 17.26
73, 14.4763, 72.9, 55.63, 17.26
74, 14.4763, 73.9, 56.63, 17.26
75, 14.4763, 74.9, 57.63, 17.26
76, 14.4763, 75.9, 58.63, 17.26
77, 14.4763, 76.9, 59.63, 17.26
78, 14.4763, 77.9, 60.63, 17.26
79, 14.4763, 78.9, 61.63, 17.26
80, 14.4763, 79.9, 62.63, 17.26
81, 14.4763, 80.9, 63.63, 17.26
82, 14.4763, 81.9, 64.63, 17.26
83, 14.4763, 82.9, 65.63, 17.26
84, 14.4763, 83.9, 66.63, 17.26
85, 14.4763, 84.9, 67.63, 17.26
86, 14.4763, 85.9, 68.63, 17.26
87, 14.4763, 86.9, 69.63, 17.26
88, 14.4763, 87.9, 70.63, 17.26
89, 14.4763, 88.9, 71.63, 17.26
90, 14.4763, 89.9, 72.63, 17.26
91, 14.4763, 90.9, 73.63, 17.26
92, 14.4763, 91.9, 74.63, 17.26
93, 14.4763, 92.9, 75.63, 17.26
94, 14.4763, 93.9, 76.63, 17.26
95, 14.4763, 94.9, 77.63, 17.26
96, 14.4763, 95.9, 78.63, 17.26
97, 14.4763, 96.9, 79.63, 17.26
98, 14.4763, 97.9, 80.63, 17.26
99, 14.4763, 98.9, 81.63, 17.26
100, 14.4763, 99.9, 82.63, 17.26
101, 14.4763, 100.9, 83.63, 17.26
102, 14.4763, 101.9, 84.63, 17.26
103, 14.4763, 102.9, 85.63, 17.26
104, 14.4763, 103.9, 86.63, 17.26
105, 14.4763, 104.9, 87.63, 17.26
106, 14.4763, 105.9, 88.63, 17.26
107, 14.4763, 106.9, 89.63, 17.26
108, 14.4763, 107.9, 90.63, 17.26
109, 14.4763, 108.9, 91.63, 17.26
110, 14.4763, 109.9, 92.63, 17.26
111, 14.4763, 110.9, 93.63, 17.26
112, 14.4763, 111.9, 94.63, 17.26
113, 14.4763, 112.9, 95.63, 17.26
114, 14.4763, 113.9, 96.63, 17.26
115, 14.4763, 114.9, 97.63, 17.26
116, 14.4763, 115.9, 98.63, 17.26
117, 14.4763, 116.9, 99.63, 17.26
118, 14.4763, 117.9, 100.63, 17.26
119, 14.4763, 118.9, 101.63, 17.26
120, 14.4763, 119.9, 102.63, 17.26
121, 14.4763, 120.9, 103.63, 17.26
122, 14.4763, 121.9, 104.63, 17.26
123, 14.4763, 122.9, 105.63, 17.26
124, 14.4763, 123.9, 106.63, 17.26
125, 14.4763, 124.9, 107.63, 17.26
126, 14.4763, 125.9, 108.63, 17.26
127, 14.4763, 126.9, 109.63, 17.26
128, 14.4763, 127.9, 110.63, 17.26
129, 14.4763, 128.9, 111.63, 17.26
130, 14.4763, 129.9, 112.63, 17.26
131, 14.4763, 130.9, 113.63, 17.26
132, 14.4763, 131.9, 114.63, 17.26
133, 14.4763, 132.9, 115.63, 17.26
134, 14.4763, 133.9, 116.63, 17.26
135, 14.4763, 134.9, 117.63, 17.26
136, 14.4763, 135.9, 118.63, 17.26
137, 14.4763, 136.9, 119.63, 17.26
138, 14.4763, 137.9, 120.63, 17.26
139, 14.4763, 138.9, 121.63, 17.26
140, 14.4763, 139.9, 122.63, 17.26
141, 14.4763, 140.9, 123.63, 17.26
142, 14.4763, 141.9, 124.63, 17.26
143, 14.4763, 142.9, 125.63, 17.26
144, 14.4763, 143.9, 126.63, 17.26
145, 14.4763, 144.9, 127.63, 17.26
146, 14.4763, 145.9, 128.63, 17.26
147, 14.4763, 146.9, 129.63, 17.26
148, 14.4763, 147.9, 130.63, 17.26
149, 14.4763, 148.9, 131.63, 17.26
150, 14.4763, 149.9, 132.63, 17.26
151, 14.4763, 150.9, 133.63, 17.26
152, 14.4763, 151.9, 134.63, 17.26
153, 14.4763, 152.9, 135.63, 17.26
154, 14.4763, 153.9, 136.63, 17.26
155, 14.4763, 154.9, 137.63, 17.26
156, 14.4763, 155.9, 138.63, 17.26
157, 14.4763, 156.9, 139.63, 17.26
158, 14.4763, 157.9, 140.63, 17.26
159, 14.4763, 158.9, 141.63, 17.26
160, 14.4763, 159.9, 142.63, 17.26
161, 14.4763, 160.9, 143.63, 17.26
162, 14.4763, 161.9, 144.63, 17.26
163, 14.4763, 162.9, 145.63, 17.26
164, 14.4763, 163.9, 146.63, 17.26
165, 14.4763, 164.9, 147.63, 17.26
166, 14.4763, 165.9, 148.63, 17.26
167, 14.4763, 166.9, 149.63, 17.26
168, 14.4763, 167.9, 150.63, 17.26
169, 14.4763, 168.9, 151.63, 17.26
170, 14.4763, 169.9, 152.63, 17.26
171, 14.4763, 170.9, 153.63, 17.26
172, 14.4763, 171.9, 154.63, 17.26
173, 14.4763, 172.9, 155.63, 17.26
174, 14.4763, 173.9, 156.63, 17.26
175, 14.4763, 174.9, 157.63, 17.26
176, 14.4763, 175.9, 158.63, 17.26
177, 14.4763, 176.9, 159.63, 17.26
178, 14.4763, 177.9, 160.63, 17.26
179, 14.4763, 178.9, 161.63, 17.26
180, 14.4763, 179.9, 162.63, 17.26
181, 14.4763, 180.9, 163.63, 17.26
182, 14.4763, 181.9, 164.63, 17.26
183, 14.4763, 182.9, 165.63, 17.26
184, 14.4763, 183.9, 166.63, 17.26
185, 14.4763, 184.9, 167.63, 17.26
186, 14.4763, 185.9, 168.63, 17.26
187, 14.4763, 186.9, 169.63, 17.26
188, 14.4763, 187.9, 170.63, 17.26
189, 14.4763, 188.9, 171.63, 17.26
190, 14.4763, 189.9, 172.63, 17.26
191, 14.4763, 190.9, 173.63, 17.26
192, 14.4763, 191.9, 174.63, 17.26
193, 14.4763, 192.9, 175.63, 17.26
194, 14.4763, 193.9, 176.63, 17.26
195, 14.4763, 194.9, 177.63, 17.26
196, 14.4763, 195.9, 178.63, 17.26
197, 14.4763, 196.9, 179.63, 17.26
198, 14.4763, 197.9, 180.63, 17.26
199, 14.4763, 198.9, 181.63, 17.26
200, 14.4763, 199.9, 182.63, 17.26
201, 14.4763, 200.9, 183.63, 17.26
202, 14.4763, 201.9, 184.63, 17.26
203, 14.4763, 202.9, 185.63, 17.26
204, 14.4763, 203.9, 186.63, 17.26
205, 14.4763, 204.9, 187.63, 17.26
206, 14.4763, 205.9, 188.63, 17.26
207, 14.4763, 206.9, 189.63, 17.26
208, 14.4763, 207.9, 190.63, 17.26
209, 14.4763, 208.9, 191.63, 17.26
210, 14.4763, 209.9, 192.63, 17.26
211, 14.4763, 210.9, 193.63, 17.26
212, 14.4763, 211.9, 194.63, 17.26
213, 14.4763, 212.9, 195.63, 17.26
214, 14.4763, 213.9, 196.63, 17.26
215, 14.4763, 214.9, 197.63, 17.26
216, 14.4763, 215.9, 198.63, 17.26
217, 14.4763, 216.9, 199.63, 17.26
218, 14.4763, 217.9, 200.63, 17.26
219, 14.4763, 218.9, 201.63, 17.26
220, 14.4763, 219.9, 202.63, 17.26
221, 14.4763, 220.9, 203.63, 17.26
222, 14.4763, 221.9, 204.63, 17.26
223, 14.4763, 222.9, 205.63, 17.26
224, 14.4763, 223.9, 206.63, 17.26
225, 14.4763, 224.9, 207.63, 17.26
226, 14.4763, 225.9, 208.63, 17.26
227, 14.4763, 226.9, 209.63, 17.26
228, 14.4763, 227.9, 210.63, 17.26
229, 14.4763, 228.9, 211.63, 17.26
230, 14.4763, 229.9, 212.63, 17.26
231, 14.4763, 230.9, 213.63, 17.26
232, 14.4763, 231.9, 214.63, 17.26
233, 14.4763, 232.9, 215.63, 17.26
234, 14.4763, 233.9, 216.63, 17.26
235, 14.4763, 234.9, 217.63, 17.26
236, 14.4763, 235.9, 218.63, 17.26
237, 14.4763, 236.9, 219.63, 17.26
238, 14.4763, 237.9, 220.63, 17.26
239, 14.4763, 238.9, 221.63, 17.26
240, 14.4763, 239.9, 222.63, 17.26
241, 14.4763, 240.9, 223.63, 17.26
242, 14.4763, 241.9, 224.63, 17.26
243, 14.4763, 242.9, 225.63, 17.26
244, 14.4763, 243.9, 226.63, 17.26
245, 14.4763, 244.9, 227.63, 17.26
246, 14.4763, 245.9, 228.63, 17.26
247, 14.4763, 246.9, 229.63, 17.26
248, 14.4763, 247.9, 230.63, 17.26
249, 14.4763, 248.9, 231.63, 17.26
250, 14.4763, 249.9, 232.63, 17.26
251, 14.4763, 250.9, 233.63, 17.26
252, 14.4763, 251.9, 234.63, 17.26
253, 14.4763, 252.9, 235.63, 17.26
254, 14.4763, 253.9, 236.63, 17.26
255, 14.4763, 254.9, 237.63, 17.26
256, 14.4763, 255.9, 238.63, 17.26
257, 14.4763, 256.9, 239.63, 17.26
258, 14.4763, 257.9, 240.63, 17.26
259, 14.4763, 258.9, 241.63, 17.26
260, 14.4763, 259.9, 242.63, 17.26
261, 14.4763, 260.9, 243.63, 17.26
262, 14.4763, 261.9, 244.63, 17.26
263, 14.4763, 262.9, 245.63, 17.26
264, 14.4763, 263.9, 246.63, 17.26
265, 14.4763, 264.9, 247.63, 17.26
266, 14.4763, 265.9, 248.63, 17.26
267, 14.4763, 266.9, 249.63, 17.26
268, 14.4763, 267.9, 250.63, 17.26
269, 14.4763, 268.9, 251.63, 17.26
270, 14.4763, 269.9, 252.63, 17.26
271, 14.4763, 270.9, 253.63, 17.26
272, 14.4763, 271.9, 254.63, 17.26
273, 14.4763, 272.9, 255.63, 17.26
274, 14.4763, 273.9, 256.63, 17.26
275, 14.4763, 274.9, 257.63, 17.26
276, 14.4763, 275.9, 258.63, 17.26
277, 14.4763, 276.9, 259.63, 17.26
278, 14.4763, 277.9, 260.63, 17.26
279, 14.4763, 278.9, 261.63, 17.26
280, 14.4763, 279.9, 262.63, 17.26
281, 14.4763, 280.9, 263.63, 17.26
282, 14.4763, 281.9, 264.63, 17.26
283, 14.4763, 282.9, 265.63, 17.26
284, 14.4763, 283.9, 266.63, 17.26
285, 14.4763, 284.9, 267.63, 17.26
286, 14.4763, 285.9, 268.63, 17.26
287, 14.4763, 286.9, 269.63, 17.26
288, 14.4763, 287.9, 270.63, 17.26
289, 14.4763, 288.9, 271.63, 17.26
290, 14.4763, 289.9, 272.63, 17.26
291, 14.4763, 290.9, 273.63, 17.26
292, 14.4763, 291.9, 274.63, 17.26
293, 14.4763, 292.9, 275.63, 17.26
294, 14.4763, 293.9, 276.63, 17.26
295, 14.4763, 294.9, 277.63, 17.26
296, 14.4763, 295.9, 278.63, 17.26
297, 14.4763, 296.9, 279.63, 17.26
298, 14.4763, 297.9, 280.63, 17.26
299, 14.4763, 298.9, 281.63, 17.26
