start-time,duration,end-time,type-of-collision
342.06,1.3999999999999999,343.46,Agent-Human
377.06,1.3300000000000001,378.39,Agent-Human
500.76,1.3999999999999999,502.16,Agent-Human
535.75,1.3999999999999999,537.15,Agent-Human
659.51,1.3999999999999999,660.91,Agent-Human
694.51,1.3999999999999999,695.91,Agent-Human
818.28,1.3300000000000001,819.61,Agent-Human
853.21,1.3999999999999999,854.61,Agent-Human
976.97,1.3999999999999999,978.37,Agent-Human
1011.97,1.3999999999999999,1013.37,Agent-Human
1135.74,1.3300000000000001,1137.07,Agent-Human
1170.67,1.3999999999999999,1172.07,Agent-Human
1294.44,1.3999999999999999,1295.84,Agent-Human
1329.44,1.3300000000000001,1330.77,Agent-Human
1453.2,1.3300000000000001,1454.53,Agent-Human
1488.13,1.3999999999999999,1489.53,Agent-Human
1611.89,1.3999999999999999,1613.29,Agent-Human
1646.89,1.3999999999999999,1648.29,Agent-Human
1770.65,1.3300000000000001,1771.98,Agent-Human
1805.65,1.3300000000000001,1806.98,Agent-Human
1929.34,1.3999999999999999,1930.74,Agent-Human
1964.34,1.3999999999999999,1965.74,Agent-Human
2088.1,1.3999999999999999,2089.5,Agent-Human
2123.1,1.3300000000000001,2124.43,Agent-Human
2246.79,1.3999999999999999,2248.19,Agent-Human
2281.79,1.3999999999999999,2283.19,Agent-Human
2405.56,1.3300000000000001,2406.89,Agent-Human
2440.56,1.3300000000000001,2441.89,Agent-Human
2564.25,1.3999999999999999,2565.65,Agent-Human
2599.25,1.3999999999999999,2600.65,Agent-Human
2723.01,1.3999999999999999,2724.41,Agent-Human
2758.01,1.3300000000000001,2759.34,Agent-Human
2881.77,1.3300000000000001,2883.1,Agent-Human
2916.7,1.3999999999999999,2918.1,Agent-Human
3040.46,1.3999999999999999,3041.86,Agent-Human
3075.46,1.3999999999999999,3076.86,Agent-Human
3199.22,1.3300000000000001,3200.55,Agent-Human
3234.22,1.3300000000000001,3235.55,Agent-Human
3357.91,1.3999999999999999,3359.31,Agent-Human
3392.91,1.3999999999999999,3394.31,Agent-Human
3516.67,1.3300000000000001,3518.0,Agent-Human
3551.67,1.3300000000000001,3553.0,Agent-Human
