Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
1.9, 101.488, 0.451058, 70.56, 30.928, 22398.5
30.9, 160.008, 0.711147, 117.464, 42.544, 22340
63.9, 240.992, 1.07108, 178.568, 62.424, 22259
96.9, 316.944, 1.40864, 236.88, 80.064, 22183.1
127.97, 383.952, 1.70645, 286.68, 97.272, 22116
163.9, 442.544, 1.96686, 336.712, 105.832, 22057.5
196.9, 509.392, 2.26396, 387.912, 121.48, 21990.6
229.9, 544.872, 2.42165, 419.488, 125.384, 21955.1
260.97, 592.928, 2.63524, 457.752, 135.176, 21907.1
296.9, 711.776, 3.16345, 548.248, 163.528, 21788.2
327.97, 782.968, 3.47986, 600.272, 182.696, 21717
361.97, 835.056, 3.71136, 653.48, 181.576, 21664.9
398.9, 910.176, 4.04523, 708.4, 201.776, 21589.8
432.9, 975.696, 4.33643, 765.528, 210.168, 21524.3
464.97, 1070.67, 4.75854, 841.328, 229.344, 21429.3
498.97, 1169.89, 5.1995, 917.592, 252.296, 21330.1
532.97, 1197.4, 5.32178, 943.328, 254.072, 21302.6
567.97, 1252.38, 5.56612, 986.696, 265.68, 21247.6
604.9, 1339.26, 5.95228, 1059.87, 279.392, 21160.7
639.9, 1443.3, 6.41465, 1153.35, 289.944, 21056.7
671.97, 1503.78, 6.68348, 1194.22, 309.56, 20996.2
708.9, 1558.59, 6.92708, 1235.67, 322.92, 20941.4
743.9, 1673.06, 7.4358, 1322.01, 351.048, 20826.9
775.97, 1798.66, 7.99406, 1428.02, 370.648, 20701.3
810.97, 1852.28, 8.23236, 1473.03, 379.248, 20647.7
845.97, 1899.73, 8.44324, 1511.54, 388.184, 20600.3
883.9, 1926.18, 8.56078, 1535.29, 390.888, 20573.8
916.97, 2023.74, 8.99442, 1608.97, 414.776, 20476.3
951.97, 2075.02, 9.22233, 1652.45, 422.576, 20425
989.9, 2218.41, 9.85959, 1775.82, 442.592, 20281.6
1021.97, 2228.1, 9.90268, 1785.1, 443, 20271.9
1056.97, 2349.16, 10.4407, 1887.11, 462.048, 20150.8
1094.9, 2456.41, 10.9174, 1990.34, 466.064, 20043.6
1129.9, 2536.7, 11.2742, 2067.82, 468.88, 19963.3
1165.9, 2549.84, 11.3326, 2080.3, 469.544, 19950.2
1198.97, 2578.52, 11.4601, 2109.38, 469.144, 19921.5
1234.97, 2606.22, 11.5832, 2136.21, 470.008, 19893.8
1272.9, 2615.05, 11.6224, 2145.42, 469.624, 19885
1305.97, 2629.36, 11.686, 2159.94, 469.424, 19870.6
1343.9, 2654.26, 11.7967, 2182.68, 471.576, 19845.7
1376.97, 2688.18, 11.9474, 2214.86, 473.32, 19811.8
1414.9, 2733.17, 12.1474, 2252.34, 480.824, 19766.8
1447.97, 2783.94, 12.373, 2293.5, 490.44, 19716.1
1483.97, 2814.97, 12.511, 2323.49, 491.48, 19685
1521.9, 2821.85, 12.5415, 2329.66, 492.184, 19678.2
1557.9, 2879.08, 12.7959, 2374.26, 504.824, 19620.9
1593.9, 2983.34, 13.2593, 2470.22, 513.12, 19516.7
1629.9, 3015.73, 13.4032, 2497.69, 518.04, 19484.3
1665.9, 3076.5, 13.6734, 2554.76, 521.744, 19423.5
1699.97, 3124.38, 13.8862, 2595.31, 529.072, 19375.6
1735.97, 3156.92, 14.0308, 2622.98, 533.944, 19343.1
1773.9, 3186.11, 14.1605, 2647.43, 538.68, 19313.9
1809.9, 3238.11, 14.3916, 2688.33, 549.784, 19261.9
1845.9, 3316.58, 14.7404, 2753.86, 562.72, 19183.4
1879.97, 3359.75, 14.9322, 2788.89, 570.864, 19140.2
1915.97, 3415.21, 15.1787, 2843.21, 572, 19084.8
1951.97, 3439.7, 15.2876, 2863.33, 576.376, 19060.3
1990.9, 3450.94, 15.3375, 2873.14, 577.792, 19049.1
2024.97, 3488.82, 15.5059, 2911.58, 577.248, 19011.2
2063.9, 3522.54, 15.6558, 2942.21, 580.336, 18977.5
2099.9, 3583.93, 15.9286, 3001.58, 582.352, 18916.1
2135.9, 3662.73, 16.2788, 3074.03, 588.696, 18837.3
2171.9, 3740.53, 16.6246, 3139.73, 600.8, 18759.5
2205.97, 3786.53, 16.829, 3174.46, 612.064, 18713.5
2241.97, 3817.41, 16.9663, 3200.41, 617, 18682.6
2280.9, 3938.03, 17.5024, 3314.21, 623.824, 18562
2314.97, 3958.98, 17.5954, 3334.96, 624.016, 18541
