Iteration, Path length, Time, Planning, Flying
1, 0.0775064, 0.9, 0.43, 0.46
2, 0.452104, 1.9, 0.45, 1.44
3, 0.710937, 2.9, 0.45, 2.44
4, 1.28262, 3.9, 0.47, 3.42
5, 1.42354, 4.9, 0.99, 3.9
6, 1.94119, 5.9, 1.07, 4.82
7, 3.00488, 6.9, 1.09, 5.8
8, 3.77302, 7.9, 1.09, 6.8
9, 4.8971, 8.9, 1.09, 7.8
10, 5.77425, 9.9, 1.11, 8.78
11, 6.1448, 10.9, 1.43, 9.46
12, 7.15531, 11.9, 1.43, 10.46
13, 8.46757, 12.9, 1.45, 11.44
14, 9.50296, 13.9, 1.45, 12.44
15, 10.6643, 14.9, 1.45, 13.44
16, 11.4529, 15.9, 1.45, 14.44
17, 12.5023, 16.9, 1.45, 15.44
18, 13.3897, 17.9, 1.45, 16.44
19, 14.3535, 18.9, 1.45, 17.44
20, 15.3674, 19.9, 1.47, 18.42
21, 15.7694, 20.9, 1.47, 19.42
22, 16.6209, 21.9, 1.47, 20.42
23, 17.2523, 22.9, 1.47, 21.42
24, 18.1368, 23.9, 1.49, 22.4
25, 19.0232, 24.9, 1.51, 23.38
26, 19.9083, 25.9, 1.53, 24.36
27, 20.854, 26.9, 1.55, 25.34
28, 21.8242, 27.9, 1.57, 26.32
29, 22.8531, 28.9, 1.59, 27.3
30, 23.7302, 29.9, 1.61, 28.28
31, 24.1348, 30.9, 1.61, 29.28
32, 25.2695, 31.9, 1.61, 30.28
33, 26.3636, 32.9, 1.61, 31.28
34, 27.2834, 33.9, 1.65, 32.24
35, 28.2433, 34.9, 1.65, 33.24
36, 29.1085, 35.9, 1.65, 34.24
37, 30.0424, 36.9, 1.65, 35.24
38, 30.9378, 37.9, 1.65, 36.24
39, 31.9263, 38.9, 1.65, 37.24
40, 32.7571, 39.9, 1.69, 38.2
41, 33.1392, 40.9, 1.71, 39.18
42, 34.2854, 41.9, 1.71, 40.18
43, 34.9917, 42.9, 1.71, 41.18
44, 35.9182, 43.9, 1.71, 42.18
45, 36.7325, 44.9, 1.73, 43.16
46, 37.1574, 45.9, 1.79, 44.1
47, 37.8678, 46.9, 1.79, 45.1
48, 38.8888, 47.9, 1.81, 46.08
49, 39.6409, 48.9, 1.83, 47.06
50, 40.594, 49.9, 1.83, 48.06
51, 41.3496, 50.9, 1.85, 49.04
52, 41.9724, 51.9, 1.89, 50
53, 42.9169, 52.9, 1.91, 50.98
54, 43.5701, 53.9, 1.95, 51.94
55, 44.44, 54.9, 1.95, 52.94
56, 45.1961, 55.9, 1.95, 53.94
57, 46.2504, 56.9, 1.95, 54.94
58, 47.1421, 57.9, 1.95, 55.94
59, 47.9214, 58.9, 1.95, 56.94
60, 48.4107, 59.9, 1.95, 57.94
61, 49.379, 60.9, 1.97, 58.92
62, 50.2378, 61.9, 1.97, 59.92
63, 51.2896, 62.9, 1.97, 60.92
64, 52.0632, 63.9, 1.99, 61.9
65, 53.0146, 64.9, 2.01, 62.88
66, 54.0238, 65.9, 2.01, 63.88
67, 54.7126, 66.9, 2.01, 64.88
68, 55.6208, 67.9, 2.05, 65.84
69, 56.6096, 68.9, 2.05, 66.84
70, 57.3642, 69.9, 2.05, 67.84
71, 58.4774, 70.9, 2.05, 68.84
72, 59.2223, 71.9, 2.07, 69.82
73, 60.4603, 72.9, 2.11, 70.78
74, 61.2591, 73.9, 2.13, 71.76
75, 62.1442, 74.9, 2.15, 72.74
76, 63.2413, 75.9, 2.17, 73.72
77, 63.8214, 76.9, 2.17, 74.72
78, 65.006, 77.9, 2.19, 75.7
79, 65.6948, 78.9, 2.21, 76.68
80, 66.7304, 79.9, 2.25, 77.64
81, 67.4878, 80.9, 2.29, 78.6
82, 68.5921, 81.9, 2.29, 79.6
83, 69.6958, 82.9, 2.29, 80.6
84, 70.6065, 83.9, 2.31, 81.58
85, 71.2494, 84.9, 2.31, 82.58
86, 72.2039, 85.9, 2.31, 83.58
87, 73.2917, 86.9, 2.31, 84.58
88, 74.4226, 87.9, 2.31, 85.58
89, 74.9106, 88.9, 2.31, 86.58
90, 76.072, 89.9, 2.31, 87.58
91, 76.6983, 90.9, 2.31, 88.58
92, 77.5302, 91.9, 2.31, 89.58
93, 78.7916, 92.9, 2.33, 90.56
94, 80.1304, 93.9, 2.35, 91.54
95, 81.0904, 94.9, 2.35, 92.54
96, 81.9138, 95.9, 2.37, 93.52
97, 83.2591, 96.9, 2.37, 94.52
98, 84.1144, 97.9, 2.37, 95.52
99, 84.775, 98.9, 2.37, 96.52
100, 85.8009, 99.9, 2.39, 97.5
101, 86.807, 100.9, 2.39, 98.5
102, 87.9508, 101.9, 2.39, 99.5
103, 88.3001, 102.9, 2.39, 100.5
104, 89.2227, 103.9, 2.39, 101.5
105, 90.1071, 104.9, 2.41, 102.48
106, 90.8123, 105.9, 2.43, 103.46
107, 91.9655, 106.9, 2.45, 104.44
108, 92.6992, 107.9, 2.47, 105.42
109, 93.5125, 108.9, 2.47, 106.42
110, 94.6666, 109.9, 2.49, 107.4
111, 95.5598, 110.9, 2.53, 108.36
112, 96.4422, 111.9, 2.53, 109.36
113, 97.4486, 112.9, 2.53, 110.36
114, 97.9072, 113.9, 2.53, 111.36
115, 98.6678, 114.9, 2.53, 112.36
116, 99.9609, 115.9, 2.55, 113.34
117, 101.107, 116.9, 2.55, 114.34
118, 102.089, 117.9, 2.58, 115.32
119, 102.515, 118.9, 2.59, 116.3
120, 103.477, 119.9, 2.59, 117.3
121, 104.611, 120.9, 2.59, 118.3
122, 105.638, 121.9, 2.59, 119.3
123, 106.686, 122.9, 2.61, 120.28
124, 107.596, 123.9, 2.63, 121.26
125, 108.02, 124.9, 2.63, 122.26
126, 108.976, 125.9, 2.65, 123.24
127, 109.918, 126.9, 2.67, 124.22
128, 110.94, 127.9, 2.71, 125.16
129, 111.59, 128.9, 2.71, 126.18
130, 112.439, 129.9, 2.71, 127.18
131, 113.482, 130.9, 2.73, 128.16
132, 114.72, 131.9, 2.73, 129.16
133, 115.697, 132.9, 2.75, 130.14
134, 116.423, 133.9, 2.75, 131.14
135, 117.237, 134.9, 2.77, 132.12
136, 118.258, 135.9, 2.81, 133.08
137, 119.076, 136.9, 2.83, 134.06
138, 119.985, 137.9, 2.83, 135.06
139, 121.156, 138.9, 2.86, 136.03
140, 121.709, 139.9, 2.9, 136.99
141, 122.365, 140.9, 2.9, 138
142, 123.068, 141.9, 2.92, 138.97
143, 123.936, 142.9, 2.97, 139.92
144, 125.067, 143.9, 3.01, 140.88
145, 125.757, 144.9, 3.09, 141.8
146, 126.695, 145.9, 3.09, 142.8
147, 127.815, 146.9, 3.11, 143.78
148, 128.664, 147.9, 3.11, 144.78
149, 129.742, 148.9, 3.15, 145.75
150, 130.658, 149.9, 3.18, 146.71
151, 131.235, 150.9, 3.2, 147.69
152, 132.174, 151.9, 3.22, 148.67
153, 133.153, 152.9, 3.25, 149.64
