Goal x, Goal y, Goal z, Planner
-13.9153, 11.9979, 1.80007, racer
-13.5156, 12.0744, 1.80001, racer
-13.5393, 11.8736, 1.79995, racer
-13.6502, 11.6453, 1.79999, racer
-13.5964, 11.808, 1.80005, racer
-13.4996, 12.0526, 1.8005, racer
-13.2046, 11.8251, 1.83376, racer
-12.5404, 11.0522, 1.9111, racer
-12.068, 10.5167, 1.87324, racer
-11.7711, 9.45875, 1.68988, racer
-12.0809, 8.84529, 1.82141, racer
-13.0008, 8.21685, 1.74369, racer
-12.9247, 8.27984, 1.77687, racer
-12.3714, 9.21097, 1.97324, racer
-12.2623, 9.79859, 1.9663, racer
-12.9841, 10.2426, 1.78093, racer
-13.7684, 10.6326, 1.60228, racer
-13.8753, 11.2792, 1.64587, racer
-13.7205, 12.1805, 1.78211, racer
-13.6173, 12.8125, 1.98589, racer
-13.9873, 12.8644, 1.94348, racer
-14.7072, 12.687, 1.82155, racer
-15.0807, 13.496, 1.9392, racer
-15.4499, 14.3501, 1.91391, racer
-15.7712, 14.804, 1.77635, racer
-15.4172, 14.4068, 1.88883, racer
-15.1025, 13.4445, 2.03689, racer
-14.9875, 12.8673, 1.63005, racer
-15.4711, 12.4204, 1.57068, racer
-15.6251, 11.6149, 1.7449, racer
-15.0242, 10.9822, 1.94276, racer
-13.984, 10.5903, 1.91934, racer
-13.7367, 10.2432, 2.0646, racer
-14.1368, 9.92913, 2.26185, racer
-14.0211, 9.7943, 2.23609, racer
-14.2476, 8.90286, 2.57796, racer
-14.3112, 8.16476, 2.43593, racer
-13.8986, 7.28339, 2.03993, racer
-13.6958, 6.96635, 1.92192, racer
-13.993, 7.03045, 1.80681, racer
-14.6287, 7.5589, 1.6672, racer
-15.1267, 7.88054, 1.57695, racer
-16.0401, 8.37567, 1.67176, racer
-16.4198, 8.50301, 1.75342, racer
-15.7428, 8.56361, 2.01764, racer
-14.9297, 8.69578, 2.34172, racer
-14.1787, 8.15898, 2.71508, racer
-13.8139, 7.68966, 2.7, racer
-13.3692, 7.21387, 2.89474, racer
-12.7017, 6.76063, 2.69761, racer
-12.3627, 6.33681, 1.96745, racer
-12.2189, 5.76509, 1.71035, racer
-11.7388, 4.73067, 1.71254, racer
-11.6008, 4.4802, 1.70571, racer
-11.6531, 5.08479, 1.99526, racer
-11.8987, 6.0231, 2.2525, racer
-11.7204, 6.80291, 1.85766, racer
-10.7941, 7.24997, 1.94442, racer
