Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
2.86, 254.512, 1.13116, 221.72, 32.792, 22245.5
50.9, 436.064, 1.93806, 386.32, 49.744, 22063.9
117.91, 684.248, 3.0411, 601.216, 83.032, 21815.8
182.91, 899.256, 3.99669, 809.872, 89.384, 21600.7
249.86, 1040.16, 4.62293, 930.592, 109.568, 21459.8
314.91, 1136.01, 5.04892, 1019.19, 116.816, 21364
381.91, 1359.28, 6.04124, 1239.75, 119.528, 21140.7
449.86, 1562.83, 6.94592, 1435.73, 127.104, 20937.2
514.91, 1767.5, 7.85554, 1632.28, 135.216, 20732.5
580.91, 1852.06, 8.23136, 1710.76, 141.296, 20647.9
647.91, 2028.98, 9.01767, 1883.07, 145.904, 20471
715.91, 2274.27, 10.1079, 2120.27, 154, 20225.7
782.91, 2403.1, 10.6804, 2230.94, 172.152, 20096.9
851.86, 2586.36, 11.4949, 2388.32, 198.04, 19913.6
921.86, 2836.14, 12.605, 2612.96, 223.176, 19663.9
988.91, 3081.94, 13.6975, 2818.69, 263.248, 19418.1
1059.86, 3135.61, 13.936, 2861.43, 274.176, 19364.4
1129.91, 3135.82, 13.937, 2861.59, 274.224, 19364.2
1199.91, 3135.91, 13.9374, 2861.63, 274.28, 19364.1
1269.91, 3136.03, 13.9379, 2861.74, 274.288, 19364
1341.86, 3136.11, 13.9383, 2861.91, 274.2, 19363.9
