Iteration, Path length, Time, Planning, Flying
1, 0, 0.88, 0.86, 0
2, 0.459937, 1.88, 0.96, 0.9
3, 0.761152, 2.88, 1.7, 1.16
4, 0.761152, 3.88, 2.7, 1.16
5, 1.60652, 4.88, 3.58, 1.28
6, 2.21297, 5.88, 3.6, 2.26
7, 2.30505, 6.88, 4.54, 2.32
8, 2.61452, 7.88, 5.52, 2.34
9, 2.61452, 8.88, 6.52, 2.34
10, 2.61452, 9.88, 7.52, 2.34
11, 2.61452, 10.88, 8.52, 2.34
12, 3.93021, 11.88, 9.12, 2.74
13, 4.14, 12.88, 9.68, 3.18
14, 4.34582, 13.88, 10.2, 3.66
15, 4.34582, 14.88, 11.2, 3.66
16, 5.27517, 15.88, 11.62, 4.24
17, 6.28905, 16.88, 12.08, 4.78
18, 6.28905, 17.88, 13.08, 4.78
19, 6.28905, 18.88, 14.08, 4.78
20, 8.30209, 19.88, 14.2, 5.66
21, 8.78841, 20.88, 14.76, 6.1
22, 9.05911, 21.88, 15.74, 6.12
23, 9.05911, 22.88, 16.74, 6.12
24, 9.95851, 23.88, 17.7, 6.16
25, 11.3703, 24.88, 17.7, 7.16
26, 12.3806, 25.88, 17.82, 8.04
27, 13.2351, 26.88, 18.72, 8.14
28, 13.3981, 27.88, 19.48, 8.38
29, 13.3981, 28.88, 20.48, 8.38
30, 13.3981, 29.88, 21.48, 8.38
31, 14.6934, 30.88, 21.8, 9.06
32, 15.5101, 31.88, 22.26, 9.6
33, 15.5101, 32.88, 23.26, 9.6
34, 15.8146, 33.88, 24.1, 9.76
35, 15.8146, 34.88, 25.1, 9.76
36, 16.4419, 35.88, 25.16, 10.7
37, 17.8418, 36.88, 25.4, 11.46
38, 19.2305, 37.88, 25.42, 12.44
39, 20.3723, 38.88, 25.76, 13.1
40, 21.3065, 39.88, 26.26, 13.6
41, 22.4326, 40.88, 26.28, 14.58
42, 23.6454, 41.88, 26.62, 15.24
43, 24.697, 42.88, 26.94, 15.92
44, 25.9482, 43.88, 26.96, 16.9
45, 26.5061, 44.88, 27.58, 17.28
46, 28.2845, 45.88, 27.64, 18.22
47, 29.1673, 46.88, 28.46, 18.4
48, 30.4421, 47.88, 28.46, 19.4
49, 31.2994, 48.88, 28.9, 19.96
50, 31.3403, 49.88, 29.86, 20
51, 32.1333, 50.88, 29.86, 21
52, 33.0126, 51.88, 30.24, 21.62
53, 33.7927, 52.88, 30.74, 22.12
54, 33.7927, 53.88, 31.74, 22.12
55, 34.4512, 54.88, 32.34, 22.52
56, 35.0848, 55.88, 32.56, 23.3
57, 35.0848, 56.88, 33.56, 23.3
58, 36.8726, 57.88, 33.56, 24.3
59, 38.2652, 58.88, 33.98, 24.88
60, 39.6851, 59.88, 34.4, 25.46
61, 40.1485, 60.88, 35.12, 25.74
62, 41.5979, 61.88, 35.7, 26.16
63, 42.2321, 62.88, 35.74, 27.12
64, 43.4326, 63.88, 35.74, 28.12
65, 44.1099, 64.88, 36.14, 28.72
66, 45.1679, 65.88, 36.26, 29.6
67, 46.8602, 66.88, 36.62, 30.24
68, 47.2074, 67.88, 37.08, 30.78
69, 47.579, 68.88, 37.46, 31.4
70, 47.5858, 69.88, 38.42, 31.44
71, 48.1737, 70.88, 38.42, 32.44
72, 49.4836, 71.88, 38.6, 33.26
73, 50.7542, 72.88, 39.04, 33.82
74, 50.7882, 73.88, 40, 33.86
75, 51.4399, 74.88, 40, 34.86
76, 52.2443, 75.88, 40.6, 35.26
77, 52.3998, 76.88, 41.34, 35.52
78, 52.7917, 77.88, 41.86, 36
79, 52.7921, 78.88, 42.86, 36
80, 53.2606, 79.88, 43.44, 36.42
81, 54.5101, 80.88, 43.44, 37.42
82, 55.7556, 81.88, 44, 37.86
83, 57.2624, 82.88, 44, 38.86
84, 58.3301, 83.88, 44.38, 39.48
85, 59.3264, 84.88, 44.62, 40.24
86, 60.4402, 85.88, 44.76, 41.1
87, 61.5248, 86.88, 44.86, 42
88, 62.3402, 87.88, 45.14, 42.72
89, 63.3105, 88.88, 45.14, 43.72
90, 64.1907, 89.88, 45.54, 44.32
91, 65.0978, 90.88, 45.54, 45.32
92, 66.3971, 91.88, 46, 45.86
93, 68.0431, 92.88, 46.22, 46.64
94, 69.1992, 93.88, 46.22, 47.64
95, 69.8904, 94.88, 46.24, 48.62
96, 70.6548, 95.88, 46.24, 49.62
97, 70.7024, 96.88, 47.12, 49.74
98, 71.2418, 97.88, 47.96, 49.9
99, 72.4513, 98.88, 47.98, 50.88
100, 73.4193, 99.88, 48.36, 51.5
101, 73.8888, 100.88, 49.34, 51.52
102, 73.9008, 101.88, 50.32, 51.54
103, 74.2455, 102.88, 50.34, 52.52
104, 74.2789, 103.88, 51.14, 52.72
105, 75.027, 104.88, 51.84, 53.02
106, 75.8908, 105.88, 52.26, 53.6
107, 76.197, 106.88, 52.88, 53.98
108, 77.0142, 107.88, 52.88, 54.98
109, 77.452, 108.88, 52.88, 55.98
110, 78.5621, 109.88, 52.9, 56.96
111, 78.8675, 110.88, 53.88, 56.98
112, 78.8675, 111.88, 54.88, 56.98
113, 78.8675, 112.88, 55.88, 56.98
114, 80.5354, 113.88, 56.14, 57.72
115, 82.5327, 114.88, 56.18, 58.68
116, 82.88, 115.88, 56.94, 58.92
117, 83.4962, 116.88, 57.74, 59.12
118, 84.2065, 117.88, 57.74, 60.12
119, 84.4963, 118.88, 58.56, 60.3
120, 86.177, 119.88, 58.64, 61.22
121, 87.4649, 120.88, 58.72, 62.14
122, 88.7381, 121.88, 59.56, 62.3
