Goal x, Goal y, Goal z, Planner
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0.0299207, -0.00846268, 3.80056, racer
0.397384, 0.153095, 3.8163, racer
0.659246, -0.0750765, 3.77571, racer
0.553909, -0.623565, 3.93541, racer
0.0722534, -1.27958, 3.7784, racer
-0.328486, -1.45285, 3.29645, racer
0.143126, -1.43664, 3.05868, racer
1.32928, -1.60132, 2.96774, racer
2.7087, -2.13628, 3.25717, racer
3.45648, -2.73492, 3.47474, racer
3.23308, -3.61476, 3.40694, racer
3.23027, -3.64099, 3.4022, racer
3.23027, -3.64099, 3.4022, racer
2.94857, -3.77106, 3.40519, racer
1.9208, -4.47278, 3.69687, racer
1.60787, -4.66149, 4.46411, racer
1.82127, -4.48155, 4.84843, racer
2.41826, -3.47377, 4.68645, racer
2.24711, -2.12773, 4.62555, racer
1.21766, -1.06306, 4.35059, racer
0.88967, -0.721622, 3.832, racer
1.133, -0.986958, 3.54357, racer
1.12827, -0.500015, 3.27087, racer
0.775957, 0.884367, 3.19632, racer
1.20085, 2.32728, 3.17233, racer
2.33434, 3.48066, 3.14374, racer
3.5251, 4.38539, 3.2062, racer
4.99229, 4.61368, 3.30848, racer
6.52695, 3.99366, 3.47171, racer
7.97836, 2.56081, 3.57358, racer
8.83565, 1.35256, 3.53881, racer
9.80336, 1.03255, 3.61931, racer
10.5238, 1.13987, 3.7583, racer
10.9167, 1.79857, 3.87409, racer
11.7458, 2.82665, 3.75933, racer
12.7419, 3.75531, 3.6637, racer
12.8678, 3.50484, 3.63059, racer
13.4896, 2.44823, 3.71891, racer
14.5095, 1.66793, 3.7996, racer
14.9574, 1.26186, 3.80603, racer
15.0973, 0.934798, 3.78264, racer
15.6198, 1.34742, 3.78939, racer
15.58, 1.64544, 3.84455, racer
16.2123, 1.40749, 3.87783, racer
16.895, 0.195519, 3.77664, racer
16.7366, -0.994597, 3.66269, racer
16.0672, -1.77808, 3.66711, racer
14.7425, -3.23471, 3.67848, racer
14.0953, -4.61949, 3.68246, racer
14.0655, -5.02332, 3.68669, racer
13.6489, -5.98909, 3.72557, racer
12.6487, -7.00782, 3.65927, racer
11.7035, -7.78459, 3.78218, racer
11.1899, -9.25539, 3.7701, racer
10.6889, -10.3108, 3.61658, racer
9.67759, -11.8056, 3.55077, racer
8.86899, -12.5051, 3.41401, racer
8.05458, -13.1663, 3.32613, racer
6.90461, -14.2226, 3.35706, racer
6.32312, -15.0132, 3.42536, racer
6.25714, -15.4993, 3.51728, racer
5.67792, -14.9469, 3.56223, racer
4.68569, -13.5615, 3.48804, racer
4.15056, -12.5218, 3.40131, racer
3.01751, -11.3543, 3.27615, racer
2.66946, -11.1545, 3.21083, racer
2.66946, -11.1545, 3.21083, racer
2.66946, -11.1545, 3.21083, racer
2.66946, -11.1545, 3.21083, racer
2.66946, -11.1545, 3.21083, racer
2.66946, -11.1545, 3.21083, racer
2.66946, -11.1545, 3.21083, racer
2.66946, -11.1545, 3.21083, racer
2.66946, -11.1545, 3.21083, racer
2.66946, -11.1545, 3.21083, racer
2.66946, -11.1545, 3.21083, racer
2.66946, -11.1545, 3.21083, racer
2.66946, -11.1545, 3.21083, racer
2.66946, -11.1545, 3.21083, racer
2.66946, -11.1545, 3.21083, racer
2.66946, -11.1545, 3.21083, racer
2.66946, -11.1545, 3.21083, racer
2.66946, -11.1545, 3.21083, racer
2.66946, -11.1545, 3.21083, racer
2.66946, -11.1545, 3.21083, racer
2.66946, -11.1545, 3.21083, racer
