Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
1.89, 34.672, 0.154098, 24.096, 10.576, 22465.3
1.89, 49.736, 0.221049, 31.544, 18.192, 22450.3
4.89, 68.128, 0.302791, 45.44, 22.688, 22431.9
4.89, 86.632, 0.385031, 58.576, 28.056, 22413.4
7.89, 100.912, 0.448498, 68.608, 32.304, 22399.1
7.89, 134.016, 0.595627, 97, 37.016, 22366
8.88, 152.984, 0.679929, 111.136, 41.848, 22347
12.89, 155.04, 0.689067, 113.16, 41.88, 22345
12.89, 162.504, 0.72224, 119.176, 43.328, 22337.5
13.88, 167.056, 0.742471, 124.488, 42.568, 22332.9
17.89, 176.48, 0.784356, 133.792, 42.688, 22323.5
17.89, 179.68, 0.798578, 135.912, 43.768, 22320.3
18.88, 189.864, 0.84384, 143.504, 46.36, 22310.1
22.89, 193.168, 0.858524, 145.576, 47.592, 22306.8
22.89, 205.768, 0.914524, 155.84, 49.928, 22294.2
23.88, 212.664, 0.945173, 161.008, 51.656, 22287.3
27.89, 213.912, 0.95072, 161.968, 51.944, 22286.1
27.89, 214.96, 0.955378, 163.128, 51.832, 22285
28.88, 222.944, 0.990862, 166.096, 56.848, 22277.1
32.89, 227.592, 1.01152, 168.392, 59.2, 22272.4
32.89, 237.584, 1.05593, 177.768, 59.816, 22262.4
33.88, 242.784, 1.07904, 179.84, 62.944, 22257.2
37.89, 261.136, 1.1606, 193.848, 67.288, 22238.9
37.89, 286.76, 1.27449, 216.648, 70.112, 22213.2
38.88, 296.416, 1.3174, 222.4, 74.016, 22203.6
40.88, 298.68, 1.32747, 224.856, 73.824, 22201.3
44.89, 307.216, 1.3654, 230.16, 77.056, 22192.8
46.89, 312.368, 1.3883, 232.416, 79.952, 22187.6
46.89, 322.592, 1.43374, 241.728, 80.864, 22177.4
47.88, 328.696, 1.46087, 248.264, 80.432, 22171.3
49.88, 337.88, 1.50169, 253.688, 84.192, 22162.1
