Iteration, Path length, Time, Planning, Flying
1, 0.0678593, 0.88, 0.44, 0.42
2, 0.525953, 1.88, 0.66, 1.2
3, 0.538957, 2.88, 1.66, 1.2
4, 0.560666, 3.88, 2.52, 1.34
5, 0.843247, 4.88, 2.52, 2.34
6, 1.20682, 5.88, 2.6, 3.26
7, 1.89504, 6.88, 2.64, 4.22
8, 1.94124, 7.88, 3.22, 4.64
9, 2.05861, 8.88, 3.56, 5.3
10, 3.05084, 9.88, 3.56, 6.3
11, 4.34498, 10.88, 3.58, 7.28
12, 5.01552, 11.88, 3.6, 8.26
13, 6.16198, 12.88, 3.6, 9.26
14, 6.77614, 13.88, 3.6, 10.26
15, 7.73473, 14.88, 3.6, 11.26
16, 8.81564, 15.88, 3.62, 12.24
17, 9.35184, 16.88, 3.62, 13.24
18, 10.7742, 17.88, 3.62, 14.24
19, 11.8511, 18.88, 3.64, 15.22
20, 12.4299, 19.88, 3.66, 16.2
21, 13.1101, 20.88, 3.66, 17.2
22, 14.2404, 21.88, 3.66, 18.2
23, 14.9484, 22.88, 3.68, 19.18
24, 15.4284, 23.88, 3.72, 20.14
25, 16.4113, 24.88, 3.72, 21.14
26, 17.23, 25.88, 3.76, 22.1
27, 18.1491, 26.88, 3.78, 23.08
28, 18.7623, 27.88, 3.78, 24.08
29, 19.7468, 28.88, 3.78, 25.08
30, 20.4915, 29.88, 3.78, 26.08
31, 21.0644, 30.88, 3.8, 27.06
32, 21.164, 31.88, 4.32, 27.54
33, 21.1921, 32.88, 5.2, 27.66
34, 21.1962, 33.88, 6.2, 27.66
35, 21.3168, 34.88, 6.78, 28.08
36, 22.1412, 35.88, 6.78, 29.08
37, 22.7165, 36.88, 6.78, 30.08
38, 23.5967, 37.88, 6.78, 31.08
39, 24.4274, 38.88, 6.82, 32.04
40, 25.0039, 39.88, 6.86, 33
41, 25.32, 40.88, 7.22, 33.64
42, 25.5945, 41.88, 7.3, 34.56
43, 26.7214, 42.88, 7.3, 35.56
44, 27.6691, 43.88, 7.3, 36.56
45, 28.6697, 44.88, 7.3, 37.56
46, 29.6297, 45.88, 7.3, 38.56
47, 29.9998, 46.88, 7.3, 39.56
48, 30.6405, 47.88, 7.32, 40.54
