Goal x, Goal y, Goal z, Planner
-9.99761, -21.9968, 1.79996, racer
-9.71695, -21.8196, 1.8, racer
-9.56525, -21.7215, 1.80006, racer
-9.56839, -21.7249, 1.80006, racer
-9.55, -21.7788, 1.80001, racer
-9.52657, -21.9109, 1.80008, racer
-9.50309, -22.0546, 1.80001, racer
-9.50141, -22.0666, 1.8, racer
-9.50193, -22.0629, 1.8, racer
-9.502, -22.0677, 1.80042, racer
-8.9687, -21.8977, 2.20561, racer
-8.01531, -21.6994, 2.6726, racer
-7.62779, -21.7941, 1.97181, racer
-8.1956, -21.3235, 1.79933, racer
-9.43694, -20.8673, 2.29185, racer
-9.43356, -21.095, 2.06552, racer
-8.9306, -21.5288, 1.59716, racer
-9.73078, -20.7917, 2.44506, racer
-10.9927, -19.4919, 3.62045, racer
-11.587, -18.8274, 3.96874, racer
-11.1606, -19.2939, 3.31431, racer
-10.1826, -20.6068, 2.27311, racer
-9.52455, -21.7264, 1.93701, racer
-8.87686, -21.944, 2.04852, racer
-8.30985, -21.9977, 1.99914, racer
-7.6945, -22.0591, 1.9824, racer
-7.60416, -22.0648, 1.97474, racer
-8.28577, -21.9786, 1.97618, racer
-8.42857, -21.9606, 1.9766, racer
-7.98423, -21.9955, 2.00538, racer
-6.79219, -22.0078, 1.98704, racer
-6.44337, -21.8696, 2.10793, racer
-6.23907, -20.9755, 2.13682, racer
-6.14424, -19.8812, 2.10347, racer
-7.00906, -19.827, 2.47313, racer
-7.58892, -20.7629, 2.26907, racer
-7.06432, -21.8143, 2.03053, racer
-6.25751, -21.8892, 2.14675, racer
-5.62465, -21.785, 2.91635, racer
-5.82516, -21.4491, 3.17378, racer
-6.3863, -20.3505, 2.5557, racer
-5.85256, -20.0162, 2.83576, racer
-5.21775, -20.0849, 3.21077, racer
-6.01444, -19.6285, 2.46868, racer
-6.21175, -19.5385, 2.28742, racer
-6.81084, -19.4992, 2.48327, racer
-7.22931, -19.4884, 2.69274, racer
-7.83914, -19.5734, 3.0074, racer
-8.19466, -19.6411, 3.10743, racer
-8.83331, -19.8493, 3.11099, racer
-8.81599, -19.8974, 3.00288, racer
-7.89799, -19.8774, 2.55628, racer
-7.39924, -19.915, 2.34386, racer
-7.69886, -20.3594, 2.68034, racer
-8.61731, -20.8201, 2.77383, racer
-9.0914, -20.977, 2.67187, racer
-9.61895, -21.0708, 2.54516, racer
-10.0519, -20.7341, 2.598, racer
-10.361, -20.529, 2.62196, racer
-9.75865, -20.9865, 2.55637, racer
-9.55563, -21.0981, 2.54311, racer
-9.54798, -21.0946, 2.54289, racer
-8.89389, -21.0222, 2.60651, racer
-8.16674, -20.8792, 2.71209, racer
-7.87071, -20.9614, 2.78889, racer
-7.25341, -21.3075, 3.03106, racer
-7.0254, -21.0764, 3.00877, racer
-6.68789, -20.5569, 2.93585, racer
-6.86907, -20.8125, 2.97622, racer
-7.23337, -21.2959, 3.03355, racer
-7.24643, -21.3182, 3.03497, racer
-7.22429, -21.2413, 3.03048, racer
-6.81976, -20.3819, 2.84521, racer
-5.76078, -18.895, 2.33609, racer
-5.37814, -18.1797, 2.31842, racer
-5.95797, -18.597, 3.17293, racer
-6.66833, -19.7388, 3.83382, racer
-7.05718, -20.7713, 3.49534, racer
-7.0761, -20.844, 2.96849, racer
-6.9669, -21.0284, 2.97925, racer
-5.92664, -21.1883, 2.18088, racer
-5.38479, -20.7465, 2.07362, racer
-5.81804, -20.2842, 3.02249, racer
-5.46687, -20.2998, 3.19621, racer
-4.4902, -20.5771, 2.41608, racer
-4.57161, -20.9521, 2.18592, racer
-4.53044, -21.2241, 2.34045, racer
-3.69459, -21.4842, 2.37289, racer
-4.00664, -21.0239, 2.25073, racer
-4.40007, -20.787, 2.20792, racer
-4.68732, -20.602, 2.32504, racer
-4.76763, -19.8636, 2.80023, racer
-4.15041, -19.4163, 3.73039, racer
-3.95082, -19.6886, 3.94532, racer
-4.93905, -19.956, 2.80638, racer
-5.42502, -20.2253, 2.10522, racer
-4.85708, -21.0051, 2.39812, racer
-4.20668, -21.2652, 2.76133, racer
-3.91213, -21.0273, 2.87697, racer
-4.49984, -21.4186, 2.50227, racer
-5.00025, -21.7252, 2.01881, racer
-5.32282, -21.817, 1.97433, racer
-6.10093, -21.8059, 2.14067, racer
-6.52358, -21.7862, 1.92001, racer
-5.6841, -21.7714, 2.16345, racer
-5.04961, -21.7649, 2.17569, racer
-5.07927, -21.7524, 1.90663, racer
-5.57081, -21.3462, 2.16378, racer
-6.21407, -20.8487, 2.01171, racer
-6.12106, -20.9324, 2.00037, racer
-5.61838, -21.3021, 2.17848, racer
-5.23212, -21.3537, 2.18982, racer
-4.62877, -21.4428, 2.21482, racer
-4.08919, -21.5146, 2.49268, racer
-3.78905, -21.5575, 2.72744, racer
-3.78724, -21.5579, 2.72545, racer
-3.43694, -21.2376, 2.71897, racer
-2.56668, -20.4325, 2.68723, racer
-3.24148, -21.0588, 2.71234, racer
-4.11054, -21.8035, 2.6208, racer
-4.17915, -21.5711, 2.46216, racer
-4.15355, -20.921, 2.07296, racer
-4.28596, -20.5023, 2.08443, racer
-4.52224, -19.8102, 1.85721, racer
-4.3735, -19.9176, 2.22808, racer
-3.88222, -20.712, 3.1153, racer
-4.01218, -20.5131, 3.24195, racer
-4.76892, -19.2404, 2.63592, racer
-4.74352, -18.3269, 2.55498, racer
-4.57227, -18.2388, 2.66847, racer
-4.57292, -18.2354, 2.66792, racer
-4.52655, -17.722, 2.5967, racer
-4.21135, -16.5331, 2.42474, racer
-4.2875, -16.5461, 2.48975, racer
-4.58108, -17.7218, 2.66456, racer
-4.57988, -18.2468, 2.66663, racer
-5.02815, -18.5818, 2.5437, racer
-5.3146, -18.9103, 2.45825, racer
-5.30936, -18.9091, 2.45908, racer
-5.57692, -19.1561, 2.36032, racer
-6.5447, -20.0054, 1.96301, racer
-6.66375, -20.0579, 2.14076, racer
-6.0067, -19.5303, 2.17257, racer
-5.93979, -19.6881, 2.14484, racer
-6.30004, -20.4814, 2.27337, racer
-6.20487, -20.1703, 2.23613, racer
-6.08687, -19.5807, 2.18374, racer
-6.43893, -19.5114, 2.60274, racer
-6.72698, -19.4701, 2.95201, racer
-6.72539, -19.4672, 2.95054, racer
-6.73678, -19.3949, 2.87512, racer
-7.06737, -19.1338, 2.54234, racer
-7.32581, -18.9755, 2.32374, racer
-7.32486, -18.9745, 2.3232, racer
-7.39854, -18.959, 2.28699, racer
-7.99216, -18.7261, 1.92934, racer
-7.92407, -18.7964, 1.56599, racer
-8.29866, -18.1453, 1.68556, racer
-8.47322, -17.9511, 1.73665, racer
-9.29083, -18.3702, 1.85549, racer
-10.2368, -18.4499, 1.69191, racer
-9.57949, -18.0757, 1.88996, racer
-9.0109, -17.4383, 2.37947, racer
-8.96464, -17.4257, 2.38621, racer
-8.97173, -17.4334, 2.38109, racer
-9.2128, -16.9936, 2.26209, racer
-9.51205, -16.6179, 2.0858, racer
-9.50655, -16.6267, 2.08941, racer
-9.50932, -16.6223, 2.08758, racer
-9.58998, -16.6345, 2.06224, racer
-10.4603, -17.3728, 1.89969, racer
-11.0535, -18.2493, 1.78246, racer
-10.7285, -18.2129, 1.74731, racer
-10.6364, -17.5361, 1.86844, racer
-10.6382, -17.5472, 1.86685, racer
-10.6519, -17.5391, 1.90845, racer
-10.8164, -17.3178, 2.65311, racer
-10.8538, -17.267, 2.81745, racer
-10.8513, -17.2705, 2.80572, racer
-10.8412, -17.2839, 2.76327, racer
-10.8443, -17.1865, 2.64447, racer
-10.904, -16.646, 2.20209, racer
-10.9624, -16.8106, 1.85647, racer
-11.4051, -16.5271, 1.76195, racer
-11.7269, -15.8684, 1.73003, racer
-11.6017, -16.0053, 1.46395, racer
-12.4909, -15.6856, 1.99347, racer
-13.0388, -15.6991, 2.20652, racer
-12.4901, -15.7332, 1.97092, racer
-12.2915, -15.8309, 1.87043, racer
-12.6776, -16.6552, 1.70274, racer
-12.8668, -17.1375, 1.48074, racer
-12.0172, -16.5316, 2.0697, racer
-11.9578, -16.9169, 2.28038, racer
-12.6094, -17.9532, 2.22233, racer
-12.7818, -18.2359, 2.21458, racer
-12.8935, -18.5854, 2.73266, racer
-12.8597, -18.6417, 3.21865, racer
-12.7692, -18.3284, 2.76109, racer
-12.7793, -18.2302, 2.21196, racer
-12.7792, -18.2302, 2.21088, racer
-12.7775, -18.2416, 2.18767, racer
-12.6797, -18.8628, 1.63671, racer
-12.6265, -19.2593, 1.28528, racer
