Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
1.88, 25.104, 0.111573, 16.344, 8.76, 22474.9
2.88, 43.936, 0.195271, 28.696, 15.24, 22456.1
3.88, 62.12, 0.276089, 41.728, 20.392, 22437.9
3.88, 81.264, 0.361173, 54.856, 26.408, 22418.7
6.88, 90.768, 0.403413, 61.712, 29.056, 22409.2
6.88, 100.024, 0.444551, 67.024, 33, 22400
9.88, 114.928, 0.510791, 76.424, 38.504, 22385.1
9.88, 134.136, 0.59616, 91.176, 42.96, 22365.9
12.88, 151.84, 0.674844, 104.264, 47.576, 22348.2
12.88, 156.008, 0.693369, 107.576, 48.432, 22344
15.88, 162.824, 0.723662, 113.208, 49.616, 22337.2
15.88, 169.944, 0.755307, 118.568, 51.376, 22330.1
16.9, 179.904, 0.799573, 125.408, 54.496, 22320.1
20.88, 199.416, 0.886293, 139.56, 59.856, 22300.6
20.88, 216.424, 0.961884, 152.104, 64.32, 22283.6
23.88, 218.592, 0.97152, 154.656, 63.936, 22281.4
23.88, 220.792, 0.981298, 156.12, 64.672, 22279.2
26.88, 226.016, 1.00452, 158.8, 67.216, 22274
26.88, 236.344, 1.05042, 165.56, 70.784, 22263.7
29.88, 245.48, 1.09102, 173.24, 72.24, 22254.5
29.88, 248.824, 1.10588, 175.976, 72.848, 22251.2
32.88, 256.904, 1.1418, 182.424, 74.48, 22243.1
32.88, 262.208, 1.16537, 187.864, 74.344, 22237.8
33.9, 266.76, 1.1856, 191.608, 75.152, 22233.2
34.9, 274.8, 1.22133, 198.208, 76.592, 22225.2
36.9, 279.448, 1.24199, 202.52, 76.928, 22220.6
40.88, 285.152, 1.26734, 208.376, 76.776, 22214.8
40.88, 297.184, 1.32082, 216.928, 80.256, 22202.8
43.88, 313.928, 1.39524, 228.328, 85.6, 22186.1
43.88, 319.888, 1.42172, 231.392, 88.496, 22180.1
44.9, 324.904, 1.44402, 235.544, 89.36, 22175.1
45.9, 332.224, 1.47655, 242.088, 90.136, 22167.8
47.9, 343.736, 1.52772, 251.816, 91.92, 22156.3
51.88, 348.08, 1.54702, 253.976, 94.104, 22151.9
51.88, 360.936, 1.60416, 263.152, 97.784, 22139.1
54.88, 368.032, 1.6357, 269.608, 98.424, 22132
54.88, 370.008, 1.64448, 271.384, 98.624, 22130
57.88, 373.72, 1.66098, 274.04, 99.68, 22126.3
57.88, 380.04, 1.68907, 279.52, 100.52, 22120
58.9, 384.504, 1.70891, 282.672, 101.832, 22115.5
62.88, 385.632, 1.71392, 283.768, 101.864, 22114.4
62.88, 398.432, 1.77081, 296.608, 101.824, 22101.6
65.88, 405.352, 1.80156, 303.16, 102.192, 22094.6
65.88, 412, 1.83111, 309.12, 102.88, 22088
68.88, 412.784, 1.8346, 310.408, 102.376, 22087.2
68.88, 415.088, 1.84484, 311.472, 103.616, 22084.9
69.9, 421.712, 1.87428, 316.592, 105.12, 22078.3
70.9, 426.752, 1.89668, 320.576, 106.176, 22073.2
72.9, 429.088, 1.90706, 322.152, 106.936, 22070.9
76.88, 438.184, 1.94748, 329.608, 108.576, 22061.8
76.88, 439.392, 1.95285, 330.76, 108.632, 22060.6
79.88, 446.384, 1.98393, 337.744, 108.64, 22053.6
79.88, 451.864, 2.00828, 344.048, 107.816, 22048.1
82.88, 452.52, 2.0112, 343.944, 108.576, 22047.5
82.88, 452.848, 2.01266, 343.952, 108.896, 22047.2
83.9, 453.024, 2.01344, 344.552, 108.472, 22047
87.88, 455.376, 2.02389, 345.848, 109.528, 22044.6
87.88, 461.864, 2.05273, 350.024, 111.84, 22038.1
90.88, 466.896, 2.07509, 353.256, 113.64, 22033.1
90.88, 474.472, 2.10876, 359.952, 114.52, 22025.5
93.88, 476.096, 2.11598, 361.032, 115.064, 22023.9
93.88, 479.688, 2.13195, 364.28, 115.408, 22020.3
94.9, 483.816, 2.15029, 368.776, 115.04, 22016.2
95.9, 485.744, 2.15886, 370.088, 115.656, 22014.3
97.9, 490.848, 2.18155, 375.368, 115.48, 22009.2
101.88, 495.424, 2.20188, 378.912, 116.512, 22004.6
101.88, 500.752, 2.22556, 383.576, 117.176, 21999.2
104.88, 506.088, 2.24928, 387.512, 118.576, 21993.9
104.88, 508.344, 2.25931, 390.48, 117.864, 21991.7
107.88, 513.632, 2.28281, 394.816, 118.816, 21986.4
107.88, 518.904, 2.30624, 398.784, 120.12, 21981.1
110.88, 522.456, 2.32203, 401.176, 121.28, 21977.5
110.88, 523.952, 2.32868, 402.552, 121.4, 21976
111.9, 525.248, 2.33444, 403.224, 122.024, 21974.8
112.9, 529.448, 2.3531, 406.912, 122.536, 21970.6
