Goal x, Goal y, Goal z, Planner
15.0052, 17.9523, 3.80002, racer
15.1972, 17.8047, 3.80001, racer
15.3363, 17.6489, 3.79999, racer
15.3071, 17.6184, 3.80011, racer
15.39, 17.7699, 3.80004, racer
15.47, 17.9084, 3.80016, racer
15.1403, 17.5577, 3.83945, racer
14.415, 16.8847, 3.59299, racer
14.5095, 16.1336, 3.15335, racer
14.4146, 15.3735, 3.52047, racer
13.7317, 14.5485, 3.73601, racer
13.6154, 14.5129, 3.57131, racer
13.8682, 15.4014, 3.06738, racer
14.4774, 16.3601, 3.15698, racer
15.1614, 16.7202, 3.45059, racer
15.935, 16.3349, 3.36174, racer
16.6415, 16.2509, 3.155, racer
17.589, 16.8205, 2.93681, racer
17.571, 16.9789, 2.94562, racer
16.5988, 17.6452, 3.16937, racer
16.0805, 18.2878, 3.00655, racer
15.6247, 19.1389, 3.13895, racer
15.1749, 19.7964, 3.20958, racer
14.9916, 20.5583, 2.9543, racer
15.3339, 21.2263, 3.36738, racer
15.8191, 21.6664, 4.08753, racer
16.6957, 22.0722, 4.14584, racer
17.5337, 22.6181, 3.4813, racer
17.4559, 22.7949, 3.52722, racer
17.1684, 21.8808, 3.82903, racer
17.4365, 20.9646, 3.54065, racer
17.1898, 20.0016, 2.98801, racer
16.959, 18.8341, 2.97358, racer
16.7183, 18.1363, 2.99567, racer
17.1753, 17.2785, 3.21168, racer
17.3917, 16.8462, 3.12931, racer
17.9405, 17.4509, 3.09555, racer
18.4317, 18.4387, 2.96409, racer
18.6437, 19.6234, 3.05177, racer
19.036, 20.324, 2.96071, racer
18.7536, 20.0246, 3.12483, racer
17.7951, 19.9387, 3.82645, racer
16.7227, 19.9338, 3.84748, racer
15.9147, 19.9295, 3.65695, racer
15.3914, 20.1881, 3.82113, racer
14.5364, 20.8351, 4.15057, racer
13.9026, 21.4429, 4.31719, racer
13.8868, 22.2997, 4.62922, racer
14.5266, 22.303, 4.5711, racer
15.3196, 21.9226, 4.14602, racer
15.5904, 21.319, 3.74989, racer
15.9954, 20.6336, 3.70116, racer
16.3165, 19.7173, 3.69194, racer
15.9425, 18.8573, 3.2147, racer
15.8988, 17.8754, 3.02948, racer
15.4651, 18.0342, 3.34491, racer
15.0134, 18.8832, 3.68085, racer
14.6304, 19.5226, 4.26803, racer
13.5931, 19.6168, 4.27748, racer
12.6918, 19.0584, 4.47694, racer
12.6339, 18.7911, 4.55345, racer
13.5359, 19.0016, 4.11072, racer
13.9549, 18.9553, 3.62562, racer
13.3127, 18.2309, 3.18053, racer
12.4895, 17.9189, 2.96062, racer
11.5341, 17.7566, 2.99578, racer
10.8209, 17.0909, 3.11026, racer
10.7299, 16.312, 2.93996, racer
10.6831, 16.277, 3.18144, racer
10.5221, 16.8872, 3.96759, racer
9.99086, 17.7236, 4.04412, racer
9.70449, 18.7184, 3.99711, racer
9.07492, 19.028, 4.12165, racer
9.37458, 18.3311, 3.83747, racer
9.59133, 17.4247, 3.52599, racer
9.15898, 16.4395, 3.59819, racer
8.49051, 16.4247, 3.58482, racer
7.9076, 17.0409, 3.67499, racer
8.12378, 16.8144, 3.75603, racer
8.88349, 16.0454, 4.04697, racer
8.75146, 15.3146, 4.15895, racer
8.17919, 14.6128, 3.68209, racer
8.09088, 14.0186, 3.12961, racer
7.73483, 13.2524, 2.98922, racer
7.65608, 13.2622, 3.0547, racer
8.64645, 13.6542, 3.11503, racer
9.71501, 13.509, 3.01995, racer
10.0965, 13.3208, 3.47404, racer
10.6794, 13.8505, 3.64333, racer
11.1089, 14.8635, 3.36581, racer
11.1447, 15.5134, 3.72888, racer
11.1499, 15.7491, 4.00786, racer
10.9939, 14.9581, 3.47729, racer
10.8167, 14.0847, 3.01139, racer
11.1733, 13.5374, 3.00476, racer
12.0355, 12.8063, 3.06495, racer
12.4062, 11.8486, 2.97133, racer
12.5926, 11.9611, 3.02534, racer
13.1451, 12.7676, 3.16308, racer
13.209, 13.5396, 3.78198, racer
12.9558, 14.566, 3.65504, racer
13.4992, 15.1559, 3.02944, racer
14.0401, 15.4978, 3.06236, racer
14.8139, 15.3671, 3.33336, racer
16.0476, 15.369, 3.42786, racer
16.387, 15.4036, 3.52726, racer
15.8476, 14.4659, 3.57382, racer
15.535, 13.0369, 3.38659, racer
15.2563, 12.3613, 3.32752, racer
14.49, 12.7142, 3.33834, racer
13.4817, 13.2329, 3.17861, racer
13.1884, 12.8867, 3.4807, racer
13.715, 12.1824, 3.63238, racer
13.796, 11.7278, 3.34228, racer
13.7131, 10.8369, 3.2105, racer
13.2663, 10.0762, 3.06129, racer
13.5988, 10.3663, 3.16142, racer
14.2405, 11.3261, 3.52026, racer
14.551, 12.3479, 3.35778, racer
14.5766, 13.2052, 3.3338, racer
14.7746, 14.077, 3.32405, racer
15.4002, 14.7406, 3.28513, racer
15.983, 14.5784, 3.47228, racer
16.6296, 13.9762, 3.86094, racer
16.7534, 13.5251, 3.73046, racer
16.8431, 12.5419, 3.61478, racer
16.9876, 11.9035, 3.89124, racer
16.6584, 11.1683, 3.61519, racer
15.8599, 10.4953, 3.76273, racer
15.7607, 10.136, 4.2834, racer
15.636, 10.1884, 3.93925, racer
14.9949, 10.0908, 3.34967, racer
14.8279, 9.22693, 3.44152, racer
14.9277, 8.00969, 3.48492, racer
15.174, 7.76394, 3.87055, racer
14.5457, 8.10833, 3.67323, racer
13.9338, 8.15787, 2.90958, racer
12.9481, 8.2009, 2.86683, racer
12.2541, 7.7135, 2.89931, racer
11.8798, 6.7356, 2.89998, racer
11.3904, 5.70079, 2.8999, racer
11.5813, 5.38851, 3.03827, racer
12.5788, 5.47743, 3.34789, racer
12.9652, 5.47629, 3.31424, racer
12.8832, 4.51791, 3.43199, racer
12.868, 4.0254, 3.44418, racer
12.2704, 4.17754, 3.33915, racer
10.8743, 4.28898, 3.07152, racer
10.0934, 4.88424, 2.90088, racer
9.39273, 4.61158, 2.87123, racer
9.07253, 4.41808, 2.89308, racer
8.85326, 4.28286, 2.91151, racer
8.79997, 4.26307, 2.91366, racer
8.78728, 4.25814, 2.9143, racer
8.78728, 4.25814, 2.9143, racer
8.78728, 4.25814, 2.9143, racer
8.78728, 4.25814, 2.9143, racer
8.78728, 4.25814, 2.9143, racer
8.78728, 4.25814, 2.9143, racer
8.78728, 4.25814, 2.9143, racer
8.78728, 4.25814, 2.9143, racer
8.78728, 4.25814, 2.9143, racer
8.78728, 4.25814, 2.9143, racer
8.78728, 4.25814, 2.9143, racer
8.80299, 4.25105, 2.90718, racer
9.45707, 4.24471, 2.90005, racer
10.4837, 4.38259, 3.05829, racer
11.33, 4.28605, 3.29163, racer
11.9079, 5.08072, 3.29684, racer
12.4696, 6.00524, 3.22456, racer
12.7208, 6.37767, 3.40157, racer
13.6487, 7.07352, 3.62814, racer
14.1799, 7.65704, 3.61886, racer
14.707, 8.61071, 3.44402, racer
14.4629, 9.48754, 3.20793, racer
14.2886, 9.54551, 3.34349, racer
15.0357, 8.66052, 3.58183, racer
15.5825, 8.17239, 3.6129, racer
16.1155, 7.67571, 3.60317, racer
16.6494, 6.99588, 3.48343, racer
16.6718, 6.97994, 3.51255, racer
17.3135, 6.49049, 3.76424, racer
18.2356, 6.25903, 3.80336, racer
18.4759, 6.4788, 3.78714, racer
18.2646, 7.35336, 3.82211, racer
18.2279, 8.18168, 3.74985, racer
17.6659, 8.51791, 3.87114, racer
16.6873, 8.65129, 3.98796, racer
15.9142, 8.51806, 3.67965, racer
15.4269, 9.16711, 3.5878, racer
15.0555, 9.55346, 3.14933, racer
14.4337, 9.85162, 3.21314, racer
14.3407, 10.5452, 3.22605, racer
14.5556, 11.5429, 3.23581, racer
15.3801, 12.122, 3.36767, racer
15.984, 12.113, 3.8833, racer
16.8046, 11.8452, 3.96348, racer
17.0446, 12.0202, 3.72395, racer
16.3161, 12.7968, 3.73169, racer
15.7522, 13.2043, 3.75375, racer
15.8556, 13.937, 3.69598, racer
15.6916, 14.8387, 3.87121, racer
15.6849, 15.4501, 3.97283, racer
15.6497, 15.9367, 3.71949, racer
15.5832, 16.7191, 3.11623, racer
15.7321, 17.1549, 2.9655, racer
15.8882, 16.497, 3.64035, racer
16.4844, 15.9641, 4.15024, racer
17.2895, 15.3849, 3.87524, racer
17.9328, 14.7183, 3.71263, racer
18.4614, 14.7073, 3.6175, racer
18.323, 15.3178, 3.94148, racer
18.5625, 16.3237, 4.29009, racer
18.0723, 17.1312, 3.86356, racer
17.48, 17.5279, 3.4331, racer
17.4943, 18.3785, 3.83448, racer
17.7476, 19.2214, 4.09147, racer
17.9542, 19.4891, 3.45957, racer
17.3826, 19.2394, 3.35093, racer
16.6586, 19.476, 3.84697, racer
16.7864, 20.268, 3.54274, racer
17.2638, 20.7573, 3.02281, racer
17.9288, 21.4683, 3.38761, racer
18.4133, 21.8118, 3.76913, racer
19.3372, 21.4389, 3.41136, racer
19.9321, 20.9033, 3.28424, racer
19.7727, 20.0313, 3.61794, racer
19.9695, 19.83, 3.75077, racer
20.9137, 19.7012, 3.33127, racer
21.2754, 19.565, 3.12914, racer
20.5742, 19.8076, 3.18986, racer
19.3793, 20.1684, 3.02972, racer
18.6433, 20.3075, 2.97545, racer
17.5087, 20.3812, 3.00168, racer
16.9582, 20.8542, 3.18286, racer
16.6555, 21.6369, 3.59587, racer
16.6879, 22.476, 3.31351, racer
16.8406, 22.3833, 3.49795, racer
17.4756, 21.78, 4.09299, racer
18.2776, 21.2939, 3.94611, racer
18.6535, 20.6593, 3.44717, racer
19.1744, 20.483, 3.68277, racer
19.3503, 20.2894, 3.71311, racer
19.7404, 19.8047, 3.08564, racer
20.4182, 20.075, 3.16862, racer
21.399, 20.7817, 3.27816, racer
21.7384, 21.6748, 3.15098, racer
21.9913, 22.3442, 2.83348, racer
21.6026, 21.7672, 3.08633, racer
21.214, 20.5282, 3.17771, racer
20.6283, 20.3383, 3.24659, racer
19.726, 19.8614, 3.54737, racer
19.6573, 18.8684, 3.57459, racer
19.7107, 17.8569, 3.25277, racer
20.1691, 17.2685, 3.09699, racer
19.8102, 17.038, 3.51681, racer
19.3545, 17.4868, 3.39563, racer
18.8254, 18.523, 3.10784, racer
18.765, 19.0781, 3.1789, racer
19.3201, 19.8233, 3.33635, racer
19.8303, 20.2959, 2.95832, racer
20.6195, 20.5411, 3.07499, racer
21.6136, 20.4695, 3.18587, racer
21.6877, 20.6591, 3.17722, racer
20.7776, 21.2598, 3.14749, racer
20.3771, 21.6475, 2.96385, racer
20.4941, 22.7399, 3.14874, racer
20.7613, 23.2472, 3.0626, racer
21.3932, 23.7303, 2.99401, racer
21.3246, 24.4783, 3.04009, racer
20.3316, 24.5343, 3.13241, racer
19.4, 24.4591, 3.10331, racer
19.1676, 25.282, 3.4613, racer
18.985, 26.0795, 3.72063, racer
19.0736, 26.3422, 3.95281, racer
19.5661, 25.5421, 3.65153, racer
19.5693, 24.6684, 3.28175, racer
18.9695, 23.7551, 3.09848, racer
18.7207, 23.0723, 3.30852, racer
18.4035, 22.4322, 3.47191, racer
17.3321, 22.5589, 3.18641, racer
16.4954, 22.4399, 3.12312, racer
16.0626, 22.1734, 3.19637, racer
16.5165, 21.7978, 3.53517, racer
17.3754, 21.7957, 3.74843, racer
17.8866, 21.4713, 4.33037, racer
18.8545, 21.5732, 4.13885, racer
19.3586, 21.8828, 3.62912, racer
20.1599, 21.9223, 3.39687, racer
20.3638, 22.6322, 3.30891, racer
20.4739, 23.7364, 3.6086, racer
20.4529, 24.5711, 3.5194, racer
20.4729, 24.4645, 2.93419, racer
20.1144, 23.3895, 3.01736, racer
19.8665, 22.3855, 2.99412, racer
19.7354, 21.7586, 2.99806, racer
20.1101, 21.1348, 3.0538, racer
19.6539, 20.4965, 3.22975, racer
19.3455, 19.8765, 3.51055, racer
19.8173, 19.3637, 3.77638, racer
19.9817, 19.6768, 3.4434, racer
20.0288, 20.1438, 3.17717, racer
20.8075, 19.776, 3.2697, racer
21.6758, 19.8084, 3.13036, racer
22.0404, 19.4174, 3.17909, racer
22.6832, 19.1157, 3.43922, racer
23.8226, 19.457, 3.36387, racer
24.3114, 19.7851, 3.37199, racer
23.6633, 20.0881, 3.4357, racer
23.1446, 20.6168, 3.37241, racer
23.3324, 21.6667, 3.18907, racer
23.5952, 22.5312, 3.18989, racer
23.5821, 22.9337, 3.23475, racer
22.8123, 22.5303, 3.19863, racer
22.2374, 22.5745, 3.19582, racer
21.7377, 23.5484, 3.58725, racer
21.4034, 24.1969, 3.62022, racer
21.1428, 25.0108, 3.18083, racer
21.4036, 25.1759, 2.87788, racer
22.2643, 24.6736, 3.27125, racer
23.0012, 24.2518, 3.62516, racer
23.7266, 23.8867, 3.38813, racer
24.224, 23.5134, 3.82375, racer
25.0439, 23.9045, 4.03593, racer
25.4532, 24.5523, 3.74065, racer
25.8187, 24.7231, 3.30499, racer
26.0471, 25.2609, 3.38582, racer
26.8018, 25.9398, 3.80641, racer
27.4016, 26.1532, 3.66144, racer
27.6333, 26.3675, 3.70621, racer
27.102, 26.8566, 3.48516, racer
26.5622, 27.8028, 2.91394, racer
26.037, 28.4723, 3.10714, racer
25.518, 28.5075, 3.25425, racer
24.3163, 28.3927, 3.202, racer
23.825, 27.7647, 3.07344, racer
23.3728, 26.8185, 3.45333, racer
23.3084, 26.1995, 4.12282, racer
22.7636, 25.4983, 3.98269, racer
22.7609, 24.7074, 3.69952, racer
22.9922, 23.9702, 3.60058, racer
23.0465, 23.1773, 3.34805, racer
23.3407, 22.3359, 3.34546, racer
22.8776, 21.841, 3.4439, racer
22.5328, 21.5386, 3.53414, racer
23.2829, 21.6966, 3.86532, racer
24.1261, 21.895, 3.95465, racer
24.7167, 21.2767, 3.61672, racer
25.3879, 20.4559, 3.46559, racer
25.6405, 19.5995, 3.64869, racer
25.7882, 19.124, 3.60156, racer
25.386, 19.6927, 3.40135, racer
24.726, 20.378, 3.26399, racer
23.6683, 20.2646, 3.69935, racer
22.8995, 20.0243, 3.84384, racer
22.0943, 20.4782, 3.36855, racer
21.5065, 20.843, 3.10904, racer
21.6496, 21.7621, 3.28851, racer
21.3528, 22.6017, 3.79885, racer
21.0148, 23.0148, 4.2031, racer
21.337, 23.2168, 4.04363, racer
22.1859, 23.0432, 3.44959, racer
22.1432, 23.5997, 3.15224, racer
21.9652, 24.7059, 2.9638, racer
21.8528, 25.5757, 3.02044, racer
21.8585, 25.5369, 3.39133, racer
22.1793, 24.768, 3.86185, racer
23.0876, 24.638, 3.99004, racer
23.8896, 25.3009, 4.40893, racer
24.1053, 26.3261, 4.01487, racer
24.6201, 26.7173, 3.40565, racer
24.9229, 26.6312, 3.16129, racer
25.6998, 26.1872, 3.31243, racer
26.7525, 25.9917, 3.51265, racer
27.4622, 26.2513, 4.25539, racer
27.4559, 27.1209, 4.57627, racer
27.2954, 27.9211, 4.65033, racer
27.8307, 28.4667, 4.40617, racer
27.8621, 28.8265, 4.35507, racer
26.9827, 28.6923, 4.47455, racer
26.4142, 28.3899, 4.34795, racer
25.9288, 27.4923, 4.29257, racer
25.7637, 26.8519, 4.36419, racer
25.961, 26.2114, 4.13157, racer
25.6657, 25.6521, 4.23055, racer
25.9257, 24.8525, 4.34865, racer
26.1184, 23.7731, 3.97156, racer
26.2766, 22.8906, 3.98791, racer
26.4134, 22.6958, 3.56622, racer
27.0824, 22.3719, 3.39906, racer
27.6562, 22.5542, 3.74284, racer
28.3594, 23.0191, 4.09569, racer
28.6852, 23.3072, 3.90128, racer
28.5838, 23.9499, 3.63171, racer
28.9078, 24.5742, 3.53638, racer
29.5618, 24.5918, 3.77058, racer
29.3524, 24.2915, 3.76184, racer
28.5058, 23.8053, 3.74759, racer
27.9231, 23.5111, 4.00683, racer
26.9817, 23.529, 4.07888, racer
26.209, 24.0878, 4.16743, racer
25.2981, 24.6448, 4.37199, racer
24.8937, 24.6217, 4.41879, racer
24.7141, 23.6999, 4.08069, racer
24.6515, 22.9738, 3.88523, racer
24.6881, 22.3603, 4.30566, racer
24.8908, 22.4998, 3.84142, racer
25.1469, 22.5523, 3.26964, racer
25.923, 22.281, 3.38953, racer
26.7957, 21.9956, 3.507, racer
27.6684, 21.5477, 3.68441, racer
27.7493, 21.4162, 3.88436, racer
27.0912, 20.9516, 3.86951, racer
26.5497, 20.1074, 3.90424, racer
25.5764, 20.0085, 4.02009, racer
24.5926, 20.5671, 3.97339, racer
23.8664, 20.9702, 4.09178, racer
23.0045, 21.6201, 3.94966, racer
22.7327, 21.9001, 3.6148, racer
23.4828, 21.4227, 3.49191, racer
24.2069, 20.984, 3.77527, racer
24.0246, 20.1154, 3.45789, racer
23.0726, 19.3727, 3.59163, racer
22.35, 19.0694, 3.51325, racer
21.9961, 18.6345, 3.4877, racer
22.2399, 18.9249, 3.93323, racer
22.9972, 19.6989, 4.05121, racer
23.6557, 20.1682, 3.78993, racer
23.6985, 21.0442, 3.9766, racer
23.8807, 22.0312, 4.41256, racer
23.3435, 22.9045, 4.48933, racer
22.9846, 23.1306, 4.44555, racer
22.7673, 22.4129, 4.22633, racer
22.6044, 21.1603, 3.80046, racer
22.7494, 20.1985, 4.05181, racer
22.476, 19.1006, 3.98582, racer
22.816, 18.6528, 4.28763, racer
23.5789, 18.399, 4.43718, racer
24.6633, 18.3539, 3.94008, racer
25.0672, 18.2862, 3.78073, racer
25.5236, 18.6175, 3.43104, racer
26.4191, 19.0876, 3.49976, racer
26.932, 19.5682, 3.74638, racer
27.4318, 20.2446, 3.84143, racer
27.4728, 20.7005, 3.73683, racer
27.8876, 21.7282, 3.76205, racer
27.9922, 22.225, 3.838, racer
27.9016, 22.2229, 3.85111, racer
28.2978, 21.4804, 3.77653, racer
28.2961, 20.5537, 3.79619, racer
27.7366, 20.1427, 3.61709, racer
