Iteration, Path length, Time, Planning, Flying
1, 0.0869537, 0.87, 0.44, 0.42
2, 0.431643, 1.87, 0.48, 1.38
3, 0.623756, 2.87, 0.6, 2.26
4, 0.716431, 3.87, 0.74, 3.12
5, 0.763192, 4.87, 1.32, 3.54
6, 1.0266, 5.87, 1.48, 4.38
7, 1.89724, 6.87, 1.48, 5.38
8, 2.92569, 7.87, 1.52, 6.34
9, 3.77111, 8.87, 1.52, 7.34
10, 4.68061, 9.87, 1.54, 8.32
11, 5.68453, 10.87, 1.54, 9.32
12, 6.13989, 11.87, 1.54, 10.32
13, 6.81128, 12.87, 1.54, 11.32
14, 7.79561, 13.87, 1.56, 12.3
15, 8.64476, 14.87, 1.56, 13.3
16, 9.25697, 15.87, 1.56, 14.3
17, 10.1468, 16.87, 1.6, 15.26
18, 11.1749, 17.87, 1.6, 16.26
19, 12.2772, 18.87, 1.62, 17.24
20, 13.1131, 19.87, 1.62, 18.24
21, 14.2596, 20.87, 1.62, 19.24
22, 15.099, 21.87, 1.62, 20.24
23, 15.8143, 22.87, 1.64, 21.22
24, 16.6127, 23.87, 1.64, 22.22
25, 17.5801, 24.87, 1.64, 23.22
26, 18.3426, 25.87, 1.64, 24.22
27, 19.4201, 26.87, 1.66, 25.2
28, 20.3555, 27.87, 1.66, 26.2
29, 21.2029, 28.87, 1.68, 27.18
30, 22.2035, 29.87, 1.7, 28.16
31, 23.1959, 30.87, 1.72, 29.14
32, 24.2552, 31.87, 1.72, 30.14
33, 25.0783, 32.87, 1.72, 31.14
34, 25.5558, 33.87, 1.72, 32.14
35, 26.6618, 34.87, 1.72, 33.14
36, 27.5142, 35.87, 1.76, 34.1
37, 28.744, 36.87, 1.78, 35.08
38, 29.4229, 37.87, 1.78, 36.08
39, 29.7236, 38.87, 1.78, 37.08
40, 30.7172, 39.87, 1.78, 38.08
41, 31.5968, 40.87, 1.78, 39.08
42, 32.6593, 41.87, 1.82, 40.04
43, 33.6169, 42.87, 1.82, 41.04
44, 34.3394, 43.87, 1.86, 42
45, 35.4208, 44.87, 1.88, 42.98
46, 36.08, 45.87, 1.88, 43.98
47, 36.7578, 46.87, 1.9, 44.96
48, 37.8566, 47.87, 1.9, 45.96
49, 38.1976, 48.87, 1.94, 46.92
50, 39.2693, 49.87, 1.94, 47.92
51, 40.0513, 50.87, 1.98, 48.88
52, 40.6724, 51.87, 2, 49.86
53, 41.5266, 52.87, 2, 50.86
54, 42.6493, 53.87, 2, 51.86
55, 43.3542, 54.87, 2, 52.86
56, 44.481, 55.87, 2, 53.86
57, 45.044, 56.87, 2, 54.86
58, 45.9453, 57.87, 2, 55.86
59, 46.6207, 58.87, 2, 56.86
60, 47.847, 59.87, 2.02, 57.84
61, 48.5924, 60.87, 2.04, 58.82
62, 49.3652, 61.87, 2.04, 59.82
63, 50.4448, 62.87, 2.04, 60.82
64, 50.7839, 63.87, 2.36, 61.5
65, 51.3322, 64.87, 2.36, 62.5
66, 52.3784, 65.87, 2.38, 63.48
67, 53.4222, 66.87, 2.38, 64.48
