Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
8.86, 90.176, 0.400782, 69.648, 20.528, 22409.8
8.86, 132.36, 0.588267, 101.76, 30.6, 22367.6
8.86, 165.736, 0.736604, 126.984, 38.752, 22334.3
10.84, 188.224, 0.836551, 145.096, 43.128, 22311.8
13.86, 205.2, 0.912, 157.416, 47.784, 22294.8
15.86, 225.968, 1.0043, 173.944, 52.024, 22274
15.86, 260.432, 1.15748, 199.512, 60.92, 22239.6
15.86, 319.376, 1.41945, 244.032, 75.344, 22180.6
15.86, 357.664, 1.58962, 272.224, 85.44, 22142.3
22.86, 407.456, 1.81092, 313.048, 94.408, 22092.5
24.86, 444.224, 1.97433, 345.072, 99.152, 22055.8
24.86, 495.608, 2.2027, 387.376, 108.232, 22004.4
24.86, 545.808, 2.42581, 425.336, 120.472, 21954.2
24.86, 598.832, 2.66148, 470.552, 128.28, 21901.2
30.84, 645.264, 2.86784, 510.784, 134.48, 21854.7
33.86, 682.272, 3.03232, 543.128, 139.144, 21817.7
35.86, 713.712, 3.17205, 571.912, 141.8, 21786.3
37.86, 773.856, 3.43936, 621.368, 152.488, 21726.1
37.86, 815.744, 3.62553, 654.856, 160.888, 21684.3
38.84, 846.848, 3.76377, 681.904, 164.944, 21653.2
38.84, 888.688, 3.94972, 721.504, 167.184, 21611.3
38.84, 929.992, 4.1333, 755.376, 174.616, 21570
45.84, 1004.1, 4.46265, 810.712, 193.384, 21495.9
48.86, 1053.02, 4.68007, 848.8, 204.216, 21447
50.86, 1129.86, 5.02162, 912.584, 217.28, 21370.1
50.86, 1186.64, 5.27396, 957.2, 229.44, 21313.4
50.86, 1217.78, 5.41234, 984.472, 233.304, 21282.2
55.86, 1276.37, 5.67275, 1032.54, 243.832, 21223.6
55.86, 1319.78, 5.86567, 1067.87, 251.904, 21180.2
55.86, 1366.48, 6.07324, 1102.48, 264, 21133.5
60.86, 1417.02, 6.29788, 1145.99, 271.032, 21083
60.86, 1482.48, 6.5888, 1205.36, 277.12, 21017.5
60.86, 1537.97, 6.83541, 1254.99, 282.976, 20962
65.86, 1583.06, 7.03584, 1293.36, 289.704, 20916.9
65.86, 1638.54, 7.28242, 1342.37, 296.176, 20861.5
65.86, 1688.88, 7.50613, 1387.44, 301.44, 20811.1
70.86, 1726.39, 7.67285, 1420.64, 305.752, 20773.6
70.86, 1764.13, 7.84057, 1451.48, 312.648, 20735.9
70.86, 1834.68, 8.15413, 1507.98, 326.696, 20665.3
75.86, 1882.41, 8.36626, 1549.92, 332.488, 20617.6
75.86, 1939.92, 8.62187, 1600.17, 339.752, 20560.1
75.86, 1979.09, 8.79595, 1634.26, 344.824, 20520.9
80.86, 2037.56, 9.05582, 1682.58, 354.984, 20462.4
80.86, 2064.1, 9.17376, 1704.72, 359.376, 20435.9
80.86, 2089.66, 9.2874, 1723.97, 365.696, 20410.3
85.86, 2115.49, 9.40217, 1744.42, 371.072, 20384.5
87.86, 2171.18, 9.64971, 1789.42, 381.768, 20328.8
87.86, 2199.3, 9.77468, 1812.94, 386.368, 20300.7
87.86, 2243.27, 9.9701, 1855.14, 388.128, 20256.7
92.86, 2278.46, 10.1265, 1888.38, 390.08, 20221.5
92.86, 2328.79, 10.3502, 1935.14, 393.648, 20171.2
94.84, 2380.84, 10.5815, 1981.69, 399.152, 20119.2
97.86, 2423.35, 10.7705, 2019.58, 403.768, 20076.6
97.86, 2467.58, 10.967, 2055.1, 412.488, 20032.4
97.86, 2494.02, 11.0845, 2077.74, 416.272, 20006
102.86, 2518.94, 11.1953, 2098.16, 420.776, 19981.1
102.86, 2527.09, 11.2315, 2106.09, 421, 19972.9
104.84, 2531.66, 11.2518, 2109.86, 421.792, 19968.3
107.86, 2552.56, 11.3447, 2130.02, 422.536, 19947.4
107.86, 2574.08, 11.4404, 2148.85, 425.232, 19925.9
107.86, 2620.3, 11.6458, 2188.14, 432.168, 19879.7
112.86, 2656.77, 11.8079, 2221.41, 435.36, 19843.2
112.86, 2682.87, 11.9239, 2243.62, 439.248, 19817.1
112.86, 2695.82, 11.9814, 2255.25, 440.576, 19804.2
117.86, 2712.95, 12.0576, 2269.26, 443.696, 19787
119.86, 2748.18, 12.2142, 2296.62, 451.568, 19751.8
119.86, 2757.54, 12.2557, 2305.07, 452.464, 19742.5
119.86, 2774.18, 12.3297, 2320.34, 453.84, 19725.8
119.86, 2806.73, 12.4743, 2348.7, 458.032, 19693.3
126.86, 2826.51, 12.5623, 2364.58, 461.936, 19673.5
126.86, 2852.61, 12.6783, 2386.98, 465.632, 19647.4
126.86, 2878.25, 12.7922, 2408.14, 470.112, 19621.8
131.86, 2895.48, 12.8688, 2422.08, 473.4, 19604.5
131.86, 2906.03, 12.9157, 2429.34, 476.688, 19594
133.84, 2947.8, 13.1013, 2466.04, 481.76, 19552.2
136.86, 2990.34, 13.2904, 2502.37, 487.976, 19509.7
136.86, 3034.22, 13.4854, 2537.55, 496.672, 19465.8
136.86, 3080.39, 13.6906, 2574.01, 506.384, 19419.6
141.86, 3120.09, 13.8671, 2611.7, 508.392, 19379.9
141.86, 3147.59, 13.9893, 2637.46, 510.136, 19352.4
141.86, 3166.2, 14.072, 2654.79, 511.408, 19333.8
141.86, 3196.84, 14.2082, 2680.13, 516.712, 19303.2
148.86, 3216.72, 14.2965, 2696.56, 520.16, 19283.3
148.86, 3226.74, 14.341, 2704.14, 522.6, 19273.3
150.84, 3237.46, 14.3887, 2713.06, 524.392, 19262.5
153.86, 3242.85, 14.4127, 2717.67, 525.176, 19257.2
153.86, 3251.47, 14.451, 2725.9, 525.568, 19248.5
156.86, 3259.88, 14.4884, 2733.18, 526.704, 19240.1
156.86, 3274.31, 14.5525, 2746.75, 527.56, 19225.7
156.86, 3286.31, 14.6058, 2757.02, 529.288, 19213.7
161.86, 3296.73, 14.6521, 2767.54, 529.184, 19203.3
161.86, 3304.32, 14.6859, 2775.97, 528.352, 19195.7
163.84, 3330.27, 14.8012, 2798.2, 532.072, 19169.7
166.86, 3339.65, 14.8429, 2805.69, 533.96, 19160.4
166.86, 3354.78, 14.9102, 2820.98, 533.808, 19145.2
166.86, 3377.6, 15.0116, 2838.41, 539.192, 19122.4
171.86, 3393.03, 15.0801, 2850.59, 542.44, 19107
171.86, 3413.58, 15.1715, 2869.28, 544.304, 19086.4
171.86, 3418.16, 15.1918, 2873.58, 544.576, 19081.8
175.84, 3428.3, 15.2369, 2884.11, 544.184, 19071.7
178.86, 3433.73, 15.261, 2889.88, 543.848, 19066.3
178.86, 3440.64, 15.2917, 2893.34, 547.304, 19059.4
178.86, 3452.42, 15.3441, 2904.57, 547.848, 19047.6
183.86, 3452.45, 15.3442, 2904.42, 548.032, 19047.6
183.86, 3452.48, 15.3444, 2904.43, 548.048, 19047.5
185.84, 3464.73, 15.3988, 2918.34, 546.384, 19035.3
188.86, 3471.55, 15.4291, 2923.7, 547.848, 19028.4
188.86, 3481.31, 15.4725, 2932.57, 548.744, 19018.7
191.86, 3494.35, 15.5305, 2944.26, 550.096, 19005.6
191.86, 3509.01, 15.5956, 2954.77, 554.24, 18991
194.86, 3520.78, 15.6479, 2963.86, 556.92, 18979.2
194.86, 3547.82, 15.7681, 2990.35, 557.472, 18952.2
196.84, 3565.86, 15.8482, 3009.05, 556.808, 18934.1
199.86, 3577.29, 15.8991, 3020.82, 556.464, 18922.7
199.86, 3587.3, 15.9436, 3030.68, 556.624, 18912.7
202.86, 3605.34, 16.0238, 3049.25, 556.096, 18894.7
202.86, 3613.42, 16.0596, 3057.1, 556.32, 18886.6
204.84, 3627.26, 16.1211, 3069.64, 557.616, 18872.7
207.86, 3641.18, 16.183, 3081.3, 559.88, 18858.8
207.86, 3645.71, 16.2032, 3084.69, 561.024, 18854.3
210.86, 3664.51, 16.2867, 3102.18, 562.336, 18835.5
210.86, 3687.78, 16.3901, 3125.52, 562.256, 18812.2
213.86, 3690.05, 16.4002, 3127.95, 562.096, 18810
213.86, 3691.88, 16.4084, 3129.17, 562.712, 18808.1
215.84, 3692.22, 16.4099, 3129.34, 562.888, 18807.8
218.86, 3695.28, 16.4235, 3132.37, 562.912, 18804.7
218.86, 3696.4, 16.4284, 3132.73, 563.672, 18803.6
218.86, 3698.17, 16.4363, 3133.76, 564.408, 18801.8
223.86, 3703.09, 16.4582, 3138.86, 564.224, 18796.9
223.86, 3708.07, 16.4803, 3143.78, 564.296, 18791.9
226.86, 3715.38, 16.5128, 3148.05, 567.328, 18784.6
226.86, 3716.58, 16.5182, 3148.33, 568.256, 18783.4
228.84, 3730.9, 16.5818, 3161.98, 568.912, 18769.1
231.86, 3735, 16.6, 3166.29, 568.712, 18765
231.86, 3740.67, 16.6252, 3170.68, 569.992, 18759.3
234.86, 3744.51, 16.6423, 3174.54, 569.968, 18755.5
234.86, 3749.23, 16.6633, 3179.71, 569.52, 18750.8
237.86, 3753.17, 16.6807, 3183.82, 569.352, 18746.8
237.86, 3753.17, 16.6807, 3183.82, 569.352, 18746.8
240.86, 3763.32, 16.7259, 3194.71, 568.608, 18736.7
240.86, 3765.82, 16.737, 3196.43, 569.384, 18734.2
242.84, 3766.07, 16.7381, 3196.94, 569.136, 18733.9
245.86, 3766.41, 16.7396, 3197.22, 569.192, 18733.6
245.86, 3767.06, 16.7425, 3198.04, 569.016, 18732.9
248.86, 3768.88, 16.7506, 3199.86, 569.024, 18731.1
248.86, 3768.88, 16.7506, 3199.86, 569.024, 18731.1
251.86, 3768.88, 16.7506, 3199.86, 569.024, 18731.1
251.86, 3768.88, 16.7506, 3199.86, 569.024, 18731.1
253.84, 3769.29, 16.7524, 3200.26, 569.032, 18730.7
253.84, 3772.6, 16.7671, 3203.25, 569.352, 18727.4
253.84, 3776.22, 16.7832, 3206.87, 569.352, 18723.8
259.86, 3778.4, 16.7929, 3209.05, 569.352, 18721.6
259.86, 3778.94, 16.7953, 3209.59, 569.352, 18721.1
262.86, 3790.78, 16.8479, 3218.63, 572.152, 18709.2
262.86, 3798.4, 16.8818, 3223.73, 574.672, 18701.6
262.86, 3799.98, 16.8888, 3225.49, 574.496, 18700
267.86, 3800.19, 16.8897, 3225.77, 574.424, 18699.8
267.86, 3800.24, 16.89, 3225.83, 574.408, 18699.8
270.86, 3800.61, 16.8916, 3226.21, 574.4, 18699.4
270.86, 3807.63, 16.9228, 3231.72, 575.912, 18692.4
273.86, 3811.59, 16.9404, 3234.7, 576.888, 18688.4
273.86, 3813.19, 16.9475, 3235.89, 577.304, 18686.8
276.86, 3817.73, 16.9677, 3239.79, 577.936, 18682.3
276.86, 3822.8, 16.9902, 3244.94, 577.864, 18677.2
278.84, 3825.98, 17.0044, 3246.13, 579.856, 18674
281.86, 3839.23, 17.0633, 3257.62, 581.616, 18660.8
281.86, 3842.94, 17.0798, 3261.34, 581.608, 18657.1
284.86, 3847.85, 17.1015, 3266.3, 581.552, 18652.2
284.86, 3850.42, 17.113, 3268.99, 581.432, 18649.6
287.86, 3857.66, 17.1452, 3276.43, 581.232, 18642.3
287.86, 3860.37, 17.1572, 3279.31, 581.056, 18639.6
290.86, 3863.18, 17.1697, 3282.02, 581.16, 18636.8
290.86, 3865.16, 17.1785, 3283.9, 581.256, 18634.8
292.84, 3867.95, 17.1909, 3286.68, 581.272, 18632
292.84, 3868.13, 17.1917, 3286.85, 581.28, 18631.9
295.84, 3871.14, 17.205, 3289.7, 581.432, 18628.9
298.86, 3872.59, 17.2115, 3290.6, 581.992, 18627.4
298.86, 3873.89, 17.2173, 3291.72, 582.168, 18626.1
301.86, 3874.22, 17.2187, 3291.78, 582.432, 18625.8
301.86, 3874.82, 17.2214, 3291.21, 583.616, 18625.2
304.86, 3876.03, 17.2268, 3292.59, 583.44, 18624
304.86, 3877.41, 17.2329, 3294.98, 582.424, 18622.6
307.86, 3883.97, 17.2621, 3301.79, 582.176, 18616
307.86, 3884.66, 17.2651, 3302.5, 582.152, 18615.3
309.84, 3884.88, 17.2661, 3302.64, 582.24, 18615.1
309.84, 3884.94, 17.2664, 3302.56, 582.376, 18615.1
312.84, 3885.06, 17.2669, 3302.87, 582.184, 18614.9
315.86, 3885.14, 17.2673, 3303.18, 581.96, 18614.9
315.86, 3885.19, 17.2675, 3302.89, 582.304, 18614.8
318.86, 3885.23, 17.2677, 3303.34, 581.896, 18614.8
318.86, 3885.85, 17.2704, 3303.08, 582.768, 18614.2
321.86, 3885.92, 17.2708, 3303.37, 582.552, 18614.1
321.86, 3885.93, 17.2708, 3303.2, 582.728, 18614.1
324.86, 3885.93, 17.2708, 3303.34, 582.584, 18614.1
324.86, 3885.93, 17.2708, 3303.42, 582.504, 18614.1
324.86, 3885.96, 17.2709, 3303.75, 582.208, 18614
324.86, 3889.42, 17.2863, 3308.66, 580.752, 18610.6
324.86, 3892.01, 17.2978, 3312.53, 579.48, 18608
332.86, 3892.08, 17.2981, 3313.16, 578.92, 18607.9
332.86, 3892.33, 17.2992, 3313.24, 579.088, 18607.7
