Iteration, Path length, Time, Planning, Flying
1, 0, 0.86, 0.84, 0
2, 0, 1.86, 1.84, 0
3, 0, 2.86, 2.84, 0
4, 0, 3.86, 3.84, 0
5, 0, 4.86, 4.84, 0
6, 0.0176073, 5.86, 5.74, 0.1
7, 0.985493, 6.86, 5.74, 1.1
8, 1.23705, 7.86, 6.6, 1.24
9, 2.67497, 8.86, 6.74, 2.1
10, 3.11638, 9.86, 6.94, 2.9
11, 4.19005, 10.86, 6.94, 3.9
12, 4.66192, 11.86, 7.44, 4.4
13, 6.12823, 12.86, 7.62, 5.22
14, 6.7204, 13.86, 8.26, 5.58
15, 7.96905, 14.86, 8.72, 6.12
16, 7.96905, 15.86, 9.72, 6.12
17, 9.02056, 16.86, 10, 6.84
18, 9.69965, 17.86, 10.46, 7.38
19, 11.1071, 18.86, 10.62, 8.22
20, 12.2125, 19.86, 10.94, 8.9
21, 13.1638, 20.86, 11.48, 9.36
22, 13.1638, 21.86, 12.48, 9.36
23, 14.7439, 22.86, 12.5, 10.34
24, 15.3701, 23.86, 13.02, 10.82
25, 16.4979, 24.86, 13.04, 11.8
26, 16.9011, 25.86, 13.82, 12.02
27, 16.9011, 26.86, 14.82, 12.02
28, 17.057, 27.86, 15.72, 12.12
29, 17.1991, 28.86, 16.3, 12.54
30, 17.1991, 29.86, 17.3, 12.54
31, 17.9385, 30.86, 17.46, 13.38
32, 18.2697, 31.86, 17.78, 14.06
33, 18.949, 32.86, 18.08, 14.76
34, 19.1459, 33.86, 18.9, 14.94
35, 20.0688, 34.86, 19.42, 15.42
36, 20.9313, 35.86, 19.42, 16.42
37, 21.0277, 36.86, 20.34, 16.5
38, 22.4233, 37.86, 20.92, 16.92
39, 22.4233, 38.86, 21.92, 16.92
40, 23.2993, 39.86, 22.72, 17.12
41, 24.8713, 40.86, 22.74, 18.1
42, 25.616, 41.86, 23.26, 18.58
43, 27.3443, 42.86, 23.58, 19.26
44, 28.7759, 43.86, 23.64, 20.2
45, 29.4487, 44.86, 24.12, 20.72
46, 30.216, 45.86, 24.44, 21.4
47, 30.216, 46.86, 25.44, 21.4
48, 30.9124, 47.86, 26.22, 21.62
49, 32.3986, 48.86, 26.22, 22.62
50, 32.9354, 49.86, 26.68, 23.16
51, 33.5518, 50.86, 26.98, 23.86
52, 33.7944, 51.86, 27.7, 24.14
53, 34.6234, 52.86, 28.58, 24.26
54, 36.1547, 53.86, 28.58, 25.26
55, 37.1141, 54.86, 29.1, 25.74
56, 39.0434, 55.86, 29.26, 26.58
57, 40.0296, 56.86, 29.58, 27.26
58, 41.0549, 57.86, 30.24, 27.6
59, 41.0549, 58.86, 31.24, 27.6
60, 41.8098, 59.86, 31.9, 27.94
61, 43.6017, 60.86, 31.92, 28.92
62, 44.1796, 61.86, 32.66, 29.18
63, 44.4422, 62.86, 33.62, 29.22
64, 45.8859, 63.86, 33.62, 30.22
65, 46.3913, 64.86, 34.3, 30.54
66, 47.206, 65.86, 35.08, 30.76
67, 47.206, 66.86, 36.08, 30.76
68, 47.206, 67.86, 37.08, 30.76
69, 47.9066, 68.86, 37.72, 31.12
70, 49.4352, 69.86, 37.72, 32.12
71, 49.941, 70.86, 38.38, 32.46
72, 51.1173, 71.86, 38.68, 33.16
73, 51.1173, 72.86, 39.68, 33.16
74, 51.3761, 73.86, 40.66, 33.18
75, 51.3761, 74.86, 41.66, 33.18
76, 51.7986, 75.86, 42.32, 33.52
77, 53.1338, 76.86, 42.32, 34.52
78, 54.1374, 77.86, 42.9, 34.94
79, 55.1635, 78.86, 42.9, 35.94
80, 55.3404, 79.86, 43.6, 36.24
81, 56.6867, 80.86, 43.7, 37.14
82, 57.1433, 81.86, 44.4, 37.44
83, 59.3025, 82.86, 44.52, 38.32
84, 60.1199, 83.86, 45.1, 38.74
85, 62.4722, 84.86, 45.26, 39.58
86, 62.5555, 85.86, 46.18, 39.66
87, 63.5329, 86.86, 46.56, 40.28
88, 63.6273, 87.86, 47.38, 40.46
89, 64.6571, 88.86, 48.02, 40.82
90, 65.811, 89.86, 48.02, 41.82
91, 66.4554, 90.86, 48.6, 42.24
92, 67.757, 91.86, 48.6, 43.24
93, 68.6691, 92.86, 49.24, 43.6
94, 68.6691, 93.86, 50.24, 43.6
95, 69.2561, 94.86, 50.82, 44.02
96, 69.477, 95.86, 51.42, 44.42
97, 70.1625, 96.86, 51.9, 44.94
98, 71.6044, 97.86, 52.14, 45.7
99, 74.1344, 98.86, 52.56, 46.28
