Goal x, Goal y, Goal z, Planner
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0.0267331, -0.0101124, 3.801, racer
0.427168, -0.161585, 3.81591, racer
1.23554, -0.467144, 3.84627, racer
1.25763, -0.47439, 3.84687, racer
1.14762, -0.846615, 3.76682, racer
0.0118812, -2.02879, 3.59705, racer
-1.28329, -3.38428, 3.46327, racer
-1.99767, -4.12551, 3.26518, racer
-3.03948, -4.63343, 2.95969, racer
-3.57185, -4.42509, 3.16942, racer
-3.40091, -4.80852, 3.35313, racer
-3.87801, -4.94717, 3.27359, racer
-5.15797, -4.25182, 3.05712, racer
-6.69497, -3.55903, 2.96798, racer
-7.46385, -3.60391, 3.0934, racer
-7.92443, -3.79292, 3.20234, racer
-8.35042, -3.92186, 2.95887, racer
-8.35042, -3.92186, 2.95887, racer
-8.34285, -3.72526, 2.71641, racer
-8.90627, -2.84757, 2.59089, racer
-9.95473, -2.3494, 2.79774, racer
-11.5616, -2.16002, 2.98827, racer
-12.4095, -2.37955, 2.9199, racer
-12.4095, -2.37955, 2.9199, racer
-12.7672, -2.84471, 2.8478, racer
-12.7672, -2.84471, 2.8478, racer
-13.1215, -2.77789, 2.66862, racer
-14.1392, -1.91359, 2.61123, racer
-14.641, -1.5827, 2.67428, racer
-15.6773, -1.60432, 2.78122, racer
-16.2373, -2.27195, 2.76617, racer
-16.5775, -2.67913, 2.60667, racer
-17.2758, -2.51833, 2.66951, racer
-17.3545, -2.48648, 2.68909, racer
-18.6854, -1.36776, 2.93489, racer
-19.1092, 0.235179, 2.76867, racer
-19.0413, 0.776101, 2.55786, racer
-19.0413, 0.776101, 2.55786, racer
-18.4839, 1.86331, 2.3533, racer
-18.4184, 1.82614, 2.52937, racer
-18.4184, 1.82614, 2.52937, racer
-18.4184, 1.82614, 2.52937, racer
-18.4184, 1.82614, 2.52937, racer
-18.4184, 1.82614, 2.52937, racer
-19.6119, 1.61353, 3.55287, racer
-21.2376, 2.32029, 2.94841, racer
-21.7428, 2.55792, 2.59307, racer
-21.7428, 2.55792, 2.59307, racer
-21.7428, 2.55792, 2.59307, racer
-21.7428, 2.55792, 2.59307, racer
-22.1822, 2.79164, 2.48437, racer
-22.1822, 2.79164, 2.48437, racer
-21.3965, 2.66524, 3.43656, racer
-21.4595, 3.46818, 3.63207, racer
-22.5581, 4.8481, 3.04456, racer
-23.7658, 5.80321, 2.61124, racer
-24.155, 6.03787, 2.58205, racer
-24.155, 6.03787, 2.58205, racer
-23.955, 5.17706, 1.72465, racer
-23.7613, 4.28376, 0.991521, racer
-23.7613, 4.28376, 0.991521, racer
-23.7613, 4.28376, 0.991521, racer
-23.7613, 4.28376, 0.991521, racer
-23.7613, 4.28376, 0.991521, racer
-23.7613, 4.28376, 0.991521, racer
-23.7613, 4.28376, 0.991521, racer
-24.0918, 3.41977, 0.650427, racer
-24.0918, 3.41977, 0.650427, racer
-24.0918, 3.41977, 0.650427, racer
-24.0918, 3.41977, 0.650427, racer
-24.0918, 3.41977, 0.650427, racer
-24.0918, 3.41977, 0.650427, racer
-24.0918, 3.41977, 0.650427, racer
-24.3796, 2.48949, 0.572599, racer
-24.3796, 2.48949, 0.572599, racer
-24.3796, 2.48949, 0.572599, racer
