Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
1.9, 18.392, 0.0817422, 13.32, 5.072, 22481.6
2.9, 33.744, 0.149973, 23.28, 10.464, 22466.3
2.9, 43.008, 0.191147, 30.648, 12.36, 22457
2.9, 60.92, 0.270756, 42.056, 18.864, 22439.1
3.33, 74.336, 0.330382, 52.784, 21.552, 22425.7
5.33, 86.264, 0.383396, 60.768, 25.496, 22413.7
6.33, 95.096, 0.422649, 66.688, 28.408, 22404.9
10.9, 112.992, 0.502187, 81.752, 31.24, 22387
10.9, 135.08, 0.600356, 99.344, 35.736, 22364.9
13.9, 138.472, 0.615431, 102.856, 35.616, 22361.5
13.9, 142.216, 0.632071, 105.992, 36.224, 22357.8
16.9, 146.4, 0.650667, 105.816, 40.584, 22353.6
16.9, 163.208, 0.725369, 117.192, 46.016, 22336.8
19.9, 175.848, 0.781547, 127.088, 48.76, 22324.2
19.9, 180.488, 0.802169, 130.088, 50.4, 22319.5
19.9, 182.872, 0.812764, 131.44, 51.432, 22317.1
21.33, 183.264, 0.814507, 132.144, 51.12, 22316.7
22.33, 186.192, 0.82752, 134.64, 51.552, 22313.8
24.33, 193.6, 0.860444, 138.36, 55.24, 22306.4
28.9, 197.512, 0.877831, 142.512, 55, 22302.5
28.9, 209.288, 0.930169, 151.824, 57.464, 22290.7
31.9, 217.184, 0.965262, 156.632, 60.552, 22282.8
31.9, 236.6, 1.05156, 172, 64.6, 22263.4
34.9, 240.12, 1.0672, 175.224, 64.896, 22259.9
34.9, 244.288, 1.08572, 176.976, 67.312, 22255.7
34.9, 246.384, 1.09504, 178.128, 68.256, 22253.6
36.33, 251.616, 1.11829, 182.128, 69.488, 22248.4
40.9, 253.376, 1.12612, 183.104, 70.272, 22246.6
40.9, 255.32, 1.13476, 185.048, 70.272, 22244.7
43.9, 255.576, 1.13589, 186.056, 69.52, 22244.4
43.9, 257.248, 1.14332, 187.144, 70.104, 22242.8
46.9, 262.792, 1.16796, 191.328, 71.464, 22237.2
46.9, 269.704, 1.19868, 196.648, 73.056, 22230.3
49.9, 278.368, 1.23719, 202.936, 75.432, 22221.6
49.9, 280.552, 1.2469, 205.832, 74.72, 22219.4
52.9, 281.488, 1.25106, 206.608, 74.88, 22218.5
52.9, 283.048, 1.25799, 207.88, 75.168, 22217
55.9, 286.832, 1.27481, 210.192, 76.64, 22213.2
55.9, 287.872, 1.27943, 211.272, 76.6, 22212.1
58.9, 288.632, 1.28281, 212.064, 76.568, 22211.4
58.9, 292.184, 1.2986, 213.8, 78.384, 22207.8
61.9, 300.664, 1.33628, 220.56, 80.104, 22199.3
61.9, 307.4, 1.36622, 225.416, 81.984, 22192.6
64.9, 316.216, 1.4054, 232.688, 83.528, 22183.8
64.9, 318.304, 1.41468, 235.248, 83.056, 22181.7
67.9, 318.672, 1.41632, 235.4, 83.272, 22181.3
67.9, 327.92, 1.45742, 244.2, 83.72, 22172.1
68.33, 340.736, 1.51438, 253.384, 87.352, 22159.3
69.33, 350.224, 1.55655, 259.072, 91.152, 22149.8
71.33, 351.712, 1.56316, 260.52, 91.192, 22148.3
75.9, 354.44, 1.57529, 261.336, 93.104, 22145.6
75.9, 369.216, 1.64096, 271.544, 97.672, 22130.8
78.9, 381.8, 1.69689, 281.408, 100.392, 22118.2
78.9, 384.6, 1.70933, 284.784, 99.816, 22115.4
81.9, 387.784, 1.72348, 287.528, 100.256, 22112.2
81.9, 388.864, 1.72828, 288.72, 100.144, 22111.1
84.9, 392.32, 1.74364, 292.096, 100.224, 22107.7
84.9, 394.248, 1.75221, 292.528, 101.72, 22105.8
85.33, 396.2, 1.76089, 295.408, 100.792, 22103.8
86.33, 401.984, 1.7866, 299.808, 102.176, 22098
88.33, 403.064, 1.7914, 301.352, 101.712, 22096.9
92.9, 410.64, 1.82507, 306.92, 103.72, 22089.4
92.9, 413.304, 1.83691, 308.176, 105.128, 22086.7
95.9, 424.848, 1.88821, 317.96, 106.888, 22075.2
95.9, 427.864, 1.90162, 320.048, 107.816, 22072.1
98.9, 430.712, 1.91428, 322.992, 107.72, 22069.3
98.9, 438.152, 1.94734, 329.504, 108.648, 22061.8
101.9, 439.24, 1.95218, 330.704, 108.536, 22060.8
101.9, 439.824, 1.95477, 331.264, 108.56, 22060.2
102.33, 439.856, 1.95492, 331.256, 108.6, 22060.1
106.9, 440.008, 1.95559, 331.68, 108.328, 22060
106.9, 444.336, 1.97483, 335.216, 109.12, 22055.7
109.9, 451.256, 2.00558, 341.864, 109.392, 22048.7
109.9, 464.264, 2.0634, 352.12, 112.144, 22035.7
110.33, 471.624, 2.09611, 357.152, 114.472, 22028.4
111.33, 475.912, 2.11516, 360.832, 115.08, 22024.1
113.33, 477.904, 2.12402, 362.056, 115.848, 22022.1
117.9, 479.816, 2.13252, 362.64, 117.176, 22020.2
117.9, 486.4, 2.16178, 368.4, 118, 22013.6
120.9, 492.12, 2.1872, 374.168, 117.952, 22007.9
