Iteration, Path length, Time, Planning, Flying
1, 0.0554896, 0.85, 0.47, 0.36
2, 0.510388, 1.85, 0.61, 1.22
3, 0.545883, 2.85, 1.51, 1.32
4, 0.635521, 3.85, 1.91, 1.92
5, 1.2397, 4.85, 1.93, 2.9
6, 1.71299, 5.85, 1.95, 3.88
7, 2.58349, 6.85, 1.97, 4.86
8, 2.89045, 7.85, 2.09, 5.74
9, 2.96559, 8.85, 2.35, 6.48
10, 3.51125, 9.85, 2.43, 7.4
11, 5.00139, 10.85, 2.45, 8.38
12, 5.55891, 11.85, 2.47, 9.36
13, 6.91775, 12.85, 2.47, 10.36
14, 7.55275, 13.85, 2.49, 11.34
15, 8.08107, 14.85, 2.49, 12.34
16, 9.33646, 15.85, 2.51, 13.32
17, 9.94423, 16.85, 2.51, 14.32
18, 11.1049, 17.85, 2.53, 15.3
19, 11.8582, 18.85, 2.55, 16.28
20, 12.8993, 19.85, 2.59, 17.24
21, 13.6111, 20.85, 2.61, 18.22
22, 14.9954, 21.85, 2.63, 19.2
23, 15.8093, 22.85, 2.63, 20.2
24, 16.9626, 23.85, 2.65, 21.18
25, 17.4983, 24.85, 2.65, 22.18
26, 17.9021, 25.85, 2.67, 23.16
27, 17.9993, 26.85, 3.33, 23.5
28, 18.1548, 27.85, 3.65, 24.18
29, 19.217, 28.85, 3.65, 25.18
30, 20.7491, 29.85, 3.67, 26.16
31, 21.4395, 30.85, 3.69, 27.14
32, 22.1336, 31.85, 3.69, 28.14
33, 23.5877, 32.85, 3.71, 29.12
34, 25.1741, 33.85, 3.71, 30.12
35, 26.0312, 34.85, 3.75, 31.08
36, 26.6546, 35.85, 3.75, 32.08
37, 27.0043, 36.85, 4.07, 32.76
38, 27.0801, 37.85, 4.53, 33.3
39, 27.8629, 38.85, 4.55, 34.28
40, 28.9297, 39.85, 4.57, 35.26
41, 29.4125, 40.85, 4.61, 36.22
42, 30.6251, 41.85, 4.61, 37.22
43, 30.9898, 42.85, 5.05, 37.78
44, 31.0082, 43.85, 6.03, 37.8
45, 31.3003, 44.85, 6.27, 38.56
46, 32.4944, 45.85, 6.27, 39.56
47, 33.2847, 46.85, 6.29, 40.54
48, 33.9846, 47.85, 6.31, 41.52
