Goal x, Goal y, Goal z, Planner
24.999, -5.99884, 3.80154, racer
25.2227, -5.88893, 3.8451, racer
25.4469, -5.78193, 3.84243, racer
25.4449, -5.79514, 3.79557, racer
25.4808, -5.94395, 3.8019, racer
25.4844, -5.95504, 3.80089, racer
25.4586, -5.80502, 3.79997, racer
25.4563, -5.78788, 3.80007, racer
25.2761, -5.71976, 3.93025, racer
24.2012, -4.86585, 4.02278, racer
23.8188, -4.31847, 3.93772, racer
24.7826, -4.38792, 3.90685, racer
24.9864, -4.78224, 3.96642, racer
24.4162, -5.09142, 4.05417, racer
24.6572, -4.66183, 3.96495, racer
25.1885, -3.51262, 4.07216, racer
24.7072, -3.10249, 3.83818, racer
23.5205, -2.97964, 3.91091, racer
23.0531, -2.79075, 3.85665, racer
23.6574, -3.18302, 4.37239, racer
24.3985, -3.10187, 4.06682, racer
24.7665, -3.06493, 3.87459, racer
24.1653, -2.786, 4.10908, racer
23.3278, -2.46661, 4.1853, racer
22.9979, -1.99235, 4.03941, racer
22.775, -1.5895, 3.8597, racer
23.3667, -2.06052, 4.55613, racer
23.849, -2.4281, 4.94495, racer
23.2551, -1.76032, 4.05794, racer
22.6109, -0.530064, 3.91058, racer
22.5514, -0.176009, 4.42999, racer
22.7442, -0.78843, 4.06632, racer
22.7299, -0.934132, 3.86318, racer
22.2655, -0.523292, 4.07418, racer
21.6648, -0.70487, 3.61518, racer
22.0681, -0.562675, 3.94635, racer
22.8651, 0.139496, 4.73371, racer
22.5675, 0.891572, 4.50753, racer
21.7425, 1.06838, 3.8287, racer
21.7349, 1.00569, 3.80585, racer
22.0188, 1.05516, 4.0634, racer
22.0486, 1.05473, 4.08878, racer
22.0539, 1.08759, 4.13042, racer
21.4352, 1.52027, 4.0238, racer
20.2685, 2.01778, 3.82326, racer
19.5496, 2.22762, 3.8534, racer
20.1033, 2.8625, 3.80637, racer
20.6254, 2.81849, 3.79674, racer
20.4595, 2.04645, 3.83091, racer
20.5803, 2.19247, 3.73485, racer
20.8342, 2.82779, 3.56391, racer
20.4628, 3.34575, 3.8499, racer
19.5084, 4.18473, 3.81393, racer
19.3286, 4.65378, 3.70311, racer
19.8456, 4.14518, 3.82812, racer
20.1581, 3.55907, 3.88786, racer
20.1601, 4.02886, 3.86443, racer
20.2085, 4.65342, 3.72612, racer
20.1427, 4.87384, 3.76351, racer
19.8981, 5.52172, 3.8966, racer
19.8183, 5.65048, 3.91594, racer
18.9977, 6.06077, 3.99156, racer
18.1791, 6.73101, 4.00307, racer
18.6202, 6.67365, 4.0752, racer
19.0293, 6.0276, 3.97633, racer
19.0399, 6.03001, 3.98199, racer
19.0473, 6.0694, 3.9995, racer
18.6855, 6.23185, 3.90692, racer
18.1442, 6.38115, 3.70716, racer
18.5086, 6.23711, 3.54687, racer
18.6178, 6.25411, 3.88884, racer
18.6192, 6.25248, 3.88265, racer
18.3996, 6.48556, 3.82933, racer
17.7087, 7.18243, 3.74543, racer
16.9615, 7.92836, 3.68731, racer
16.3397, 8.51828, 3.667, racer
