Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
5.5, 353, 1.56889, 255.952, 97.048, 22147
9.83, 417.12, 1.85387, 297.704, 119.416, 22082.9
21.88, 478.6, 2.12711, 340.344, 138.256, 22021.4
21.88, 536.464, 2.38428, 380.72, 155.744, 21963.5
24.84, 580.872, 2.58165, 416.344, 164.528, 21919.1
27.84, 663.016, 2.94674, 470.568, 192.448, 21837
32.88, 721.048, 3.20466, 513.472, 207.576, 21779
35.88, 793.176, 3.52523, 565.832, 227.344, 21706.8
36.84, 886.184, 3.9386, 634.84, 251.344, 21613.8
36.84, 957.368, 4.25497, 685.4, 271.968, 21542.6
43.84, 1027.69, 4.5675, 735.224, 292.464, 21472.3
49.88, 1077.26, 4.7878, 767.536, 309.72, 21422.7
53.88, 1133.25, 5.03666, 810.256, 322.992, 21366.8
55.84, 1222.5, 5.43332, 868.344, 354.152, 21277.5
62.88, 1296.61, 5.7627, 924.496, 372.112, 21203.4
62.88, 1370.38, 6.09056, 973.84, 396.536, 21129.6
71.88, 1451.32, 6.45031, 1036.74, 414.584, 21048.7
76.88, 1528.88, 6.79502, 1096.7, 432.184, 20971.1
81.89, 1559.5, 6.93113, 1120.7, 438.8, 20940.5
86.88, 1614.1, 7.1738, 1151.18, 462.92, 20885.9
91.88, 1674.95, 7.44423, 1194.56, 480.392, 20825
91.88, 1723.99, 7.66219, 1226.19, 497.8, 20776
95.86, 1789.96, 7.95538, 1270.43, 519.528, 20710
101.86, 1859.93, 8.26635, 1317.55, 542.376, 20640.1
114.88, 1895.47, 8.42432, 1347.38, 548.088, 20604.5
114.88, 1917.89, 8.52395, 1366.42, 551.464, 20582.1
118.87, 1966.8, 8.74133, 1400.66, 566.136, 20533.2
131.88, 2001.78, 8.89682, 1418.12, 583.664, 20498.2
138.89, 2055.54, 9.13572, 1451.76, 603.776, 20444.5
138.89, 2098.78, 9.32789, 1480.5, 618.28, 20401.2
148.84, 2146.71, 9.54094, 1509.98, 636.736, 20353.3
157.88, 2167.67, 9.6341, 1522.27, 645.4, 20332.3
157.88, 2213.59, 9.83819, 1557.82, 655.768, 20286.4
170.88, 2240.05, 9.95577, 1579.48, 660.568, 20260
170.88, 2283.18, 10.1475, 1609.2, 673.984, 20216.8
183.88, 2300.62, 10.225, 1623.78, 676.84, 20199.4
187.84, 2323.83, 10.3281, 1644.39, 679.44, 20176.2
196.9, 2357.18, 10.4764, 1665.85, 691.336, 20142.8
200.84, 2373.02, 10.5467, 1676.32, 696.696, 20127
208.9, 2393.09, 10.6359, 1690.94, 702.144, 20106.9
214.88, 2417.84, 10.746, 1711.04, 706.8, 20082.2
217.85, 2435.14, 10.8228, 1722.76, 712.376, 20064.9
225.89, 2454.36, 10.9083, 1736.26, 718.096, 20045.6
225.89, 2478.17, 11.0141, 1748.54, 729.632, 20021.8
231.88, 2495.22, 11.0899, 1759.22, 736, 20004.8
231.88, 2507.18, 11.143, 1769.7, 737.472, 19992.8
232.4, 2518.79, 11.1946, 1779.38, 739.408, 19981.2
238.41, 2533.99, 11.2622, 1788.66, 745.336, 19966
247.5, 2544.73, 11.3099, 1797.02, 747.712, 19955.3
264.84, 2551.51, 11.3401, 1800.02, 751.496, 19948.5
267.87, 2562.34, 11.3882, 1804.83, 757.504, 19937.7
273.87, 2570.47, 11.4243, 1813.86, 756.608, 19929.5
284.88, 2587.14, 11.4984, 1828.78, 758.36, 19912.9
286.87, 2592.95, 11.5242, 1831.18, 761.776, 19907
296.89, 2618.3, 11.6369, 1847.6, 770.704, 19881.7
296.89, 2657.94, 11.8131, 1873.89, 784.056, 19842.1
308.89, 2673.03, 11.8801, 1885.73, 787.304, 19827
312.84, 2701.79, 12.008, 1910.18, 791.608, 19798.2
313.86, 2722.07, 12.0981, 1928.4, 793.672, 19777.9
324.85, 2745.29, 12.2013, 1945.65, 799.64, 19754.7
330.84, 2749.9, 12.2218, 1949.52, 800.376, 19750.1
339.88, 2758.99, 12.2622, 1957.51, 801.48, 19741
345.89, 2770.34, 12.3126, 1965.18, 805.152, 19729.7
349.84, 2776.14, 12.3384, 1970.7, 805.432, 19723.9
356.86, 2780.61, 12.3583, 1975.75, 804.856, 19719.4
365.88, 2798.98, 12.4399, 1987.17, 811.816, 19701
371.9, 2808.77, 12.4834, 1993.5, 815.272, 19691.2
378.89, 2812.27, 12.499, 1995.01, 817.264, 19687.7
378.89, 2821.54, 12.5402, 2001.42, 820.12, 19678.5
383.87, 2837.13, 12.6095, 2015.52, 821.608, 19662.9
394.85, 2854.65, 12.6873, 2026.01, 828.64, 19645.4
401.85, 2875.46, 12.7798, 2040.98, 834.472, 19624.5
401.85, 2887.93, 12.8352, 2053.03, 834.896, 19612.1
416.89, 2900.46, 12.891, 2063.03, 837.432, 19599.5
416.89, 2908.74, 12.9277, 2071.92, 836.816, 19591.3
429.89, 2924.53, 12.9979, 2085.1, 839.424, 19575.5
436.88, 2932.52, 13.0334, 2091.77, 840.752, 19567.5
436.88, 2957.68, 13.1452, 2105.3, 852.384, 19542.3
437.5, 2986.32, 13.2725, 2128.76, 857.56, 19513.7
456.88, 3002, 13.3422, 2144.2, 857.8, 19498
463.88, 3018.81, 13.4169, 2160.71, 858.096, 19481.2
467.84, 3044.23, 13.5299, 2184.13, 860.104, 19455.8
473.86, 3059.64, 13.5984, 2197.52, 862.12, 19440.4
479.85, 3095.5, 13.7578, 2231.02, 864.488, 19404.5
480.86, 3104.62, 13.7983, 2238.62, 866, 19395.4
489.87, 3124.06, 13.8847, 2252.95, 871.104, 19375.9
498.86, 3172.14, 14.0984, 2297.46, 874.68, 19327.9
502.88, 3206.69, 14.2519, 2324.4, 882.288, 19293.3
508.88, 3255.17, 14.4674, 2363.38, 891.792, 19244.8
519.89, 3284.32, 14.597, 2389.62, 894.696, 19215.7
519.89, 3308.7, 14.7054, 2407.86, 900.84, 19191.3
529.89, 3332.83, 14.8126, 2428.98, 903.848, 19167.2
533.85, 3349.38, 14.8861, 2445.31, 904.064, 19150.6
542.88, 3368.15, 14.9696, 2462.16, 905.992, 19131.8
542.88, 3383.54, 15.0379, 2474.08, 909.456, 19116.5
553.85, 3423.59, 15.216, 2508.26, 915.328, 19076.4
561.88, 3440.88, 15.2928, 2523.8, 917.08, 19059.1
561.88, 3462.95, 15.3909, 2545.87, 917.08, 19037
