Goal x, Goal y, Goal z, Planner
0.0163689, 0.0121787, 3.79999, racer
0.35263, 0.24782, 3.8, racer
0.535331, 0.235618, 3.79978, racer
0.499301, -0.0363136, 3.79998, racer
0.497855, -0.0479542, 3.79999, racer
0.474638, -0.0189845, 3.76867, racer
-0.0208227, 0.602923, 3.40134, racer
-0.955348, 1.18961, 3.4605, racer
-1.0727, 1.07157, 2.85956, racer
-0.537421, 1.57905, 2.20166, racer
0.0373722, 2.07969, 2.37741, racer
0.588161, 2.3646, 2.58409, racer
0.237282, 2.37804, 2.71922, racer
-0.979878, 2.82877, 2.39149, racer
-1.69727, 2.54725, 1.97981, racer
-2.14148, 1.63663, 2.23772, racer
-2.31293, 0.556669, 2.60045, racer
-1.99177, 0.0709188, 2.44794, racer
-1.89474, -0.801304, 2.1211, racer
-1.91103, -0.934654, 2.24906, racer
-1.81305, 0.0230843, 2.57461, racer
-1.50738, 1.47124, 2.5929, racer
-0.794918, 2.0704, 2.62829, racer
0.30568, 1.6817, 2.77666, racer
0.628588, 0.885296, 3.38367, racer
1.2015, 0.722646, 3.75987, racer
2.0971, 0.942799, 3.12767, racer
2.26025, 0.883617, 2.58097, racer
1.99097, 1.09917, 3.16535, racer
1.61683, 1.58588, 3.66738, racer
1.50729, 2.22936, 3.33771, racer
0.70062, 2.73978, 2.77009, racer
0.334973, 2.89819, 2.24922, racer
-0.154818, 3.61709, 2.57126, racer
-0.0711877, 4.44823, 3.04675, racer
-0.728224, 4.47177, 3.23796, racer
-1.82276, 4.53249, 3.04803, racer
-2.29416, 5.23901, 2.91414, racer
-2.51404, 5.58604, 2.23031, racer
-2.95842, 5.81399, 2.16264, racer
-3.50465, 5.08802, 2.13009, racer
-4.0144, 4.21144, 1.78525, racer
-4.63897, 4.28277, 2.03125, racer
-5.58232, 4.55376, 2.37351, racer
-5.91028, 4.33887, 2.50723, racer
-6.5471, 4.84887, 2.53131, racer
-7.35625, 5.40857, 2.27189, racer
-7.67336, 6.09503, 1.87341, racer
-8.25983, 6.62642, 1.93568, racer
-9.31844, 6.37223, 1.8064, racer
-9.61069, 6.23469, 1.82311, racer
-8.97176, 5.64454, 2.1391, racer
-8.41002, 4.83542, 1.90534, racer
-7.72192, 4.377, 2.09603, racer
-6.41515, 4.41002, 2.23113, racer
-5.6355, 4.44351, 2.41854, racer
-5.33281, 4.69778, 2.91724, racer
-5.19623, 4.96088, 2.88536, racer
-5.45326, 4.24306, 2.18788, racer
-5.8116, 3.66447, 1.97335, racer
-6.22275, 2.87318, 2.10906, racer
-6.47604, 2.07236, 2.01772, racer
-6.80527, 1.15375, 2.00331, racer
-7.17602, 0.654254, 1.88179, racer
-7.32681, 0.623498, 1.9704, racer
-6.38613, 0.526444, 1.99038, racer
-5.18152, 0.508176, 2.00832, racer
-4.9457, 0.120226, 2.07137, racer
-5.61622, -0.825168, 2.07197, racer
-5.81908, -1.43698, 1.98001, racer
-5.17792, -2.09537, 2.06621, racer
-4.89802, -2.65576, 2.13771, racer
-4.43016, -3.37634, 2.29576, racer
-3.99555, -3.33017, 2.2124, racer
-4.12968, -2.31731, 2.24387, racer
-4.48855, -1.41422, 2.2308, racer
-5.29163, -1.08947, 2.10737, racer
-5.93643, -0.513734, 1.83278, racer
-6.65795, -0.67878, 2.06528, racer
-7.56589, -1.2661, 2.3028, racer
-7.97003, -1.02304, 2.50954, racer
-7.76438, -1.1195, 2.54056, racer
-7.05546, -1.98604, 2.40829, racer
-6.61791, -3.0133, 2.09567, racer
-6.34336, -3.40337, 2.07218, racer
-5.89262, -2.89203, 2.13296, racer
-5.50318, -2.52024, 1.99622, racer
-4.95962, -3.1964, 2.23302, racer
-4.7497, -4.39191, 2.21206, racer
-4.6171, -4.84864, 2.19483, racer
-3.64784, -4.62669, 2.29555, racer
-2.48577, -4.32997, 2.29374, racer
-2.18624, -3.46639, 2.24318, racer
-1.92115, -2.69801, 2.37229, racer
-1.20478, -2.7388, 2.40761, racer
-1.23926, -2.34882, 2.44637, racer
-1.89202, -1.3041, 2.5226, racer
-2.48948, -0.442285, 2.15447, racer
-2.7743, -0.0324426, 2.19739, racer
-3.55294, 0.525774, 2.70446, racer
-3.8985, 0.600555, 2.7735, racer
-3.58221, -0.0384677, 2.50469, racer
-3.78558, -0.60572, 2.19724, racer
-4.41374, -1.23229, 2.10234, racer
-5.02712, -1.99775, 1.98239, racer
-5.10281, -2.94856, 2.33889, racer
-4.85665, -3.89642, 2.23142, racer
-4.90958, -4.21604, 2.30481, racer
-5.70997, -4.83775, 2.2397, racer
-6.64347, -5.0153, 1.99293, racer
-7.25547, -5.27296, 2.34532, racer
-7.08739, -4.6386, 2.22601, racer
-6.68597, -4.01912, 2.00383, racer
-6.14955, -3.45749, 2.07923, racer
-5.20326, -3.27451, 1.97518, racer
-4.50736, -3.74425, 2.21266, racer
-3.5796, -4.4307, 2.29658, racer
-3.09421, -4.78813, 2.63272, racer
-2.3294, -5.19397, 2.53466, racer
-1.26428, -4.61995, 2.37865, racer
-0.935906, -4.41144, 2.36115, racer
-1.1077, -5.23115, 2.46993, racer
-1.32156, -6.49572, 2.33858, racer
-1.12554, -6.97778, 2.28033, racer
0.0584786, -7.17156, 2.41418, racer
1.09799, -7.35438, 2.41193, racer
1.23652, -7.33508, 2.43568, racer
0.335881, -6.79987, 2.59909, racer
-0.142895, -6.27545, 2.38977, racer
0.326468, -5.57371, 2.52188, racer
1.13415, -4.84991, 2.55107, racer
1.26468, -4.09448, 2.6169, racer
1.88089, -2.90114, 2.65081, racer
2.30262, -2.07592, 2.82431, racer
2.5841, -2.30952, 3.26079, racer
1.99399, -3.10836, 3.46767, racer
1.01657, -3.26416, 3.42763, racer
0.205559, -3.7587, 2.9394, racer
-0.279808, -3.83467, 2.47446, racer
0.177983, -3.10326, 2.73745, racer
0.416552, -2.55174, 2.8181, racer
-0.390787, -2.35956, 2.6859, racer
-1.16079, -2.3162, 2.20473, racer
-1.66121, -2.21784, 2.37675, racer
-2.27796, -1.63297, 3.28179, racer
-2.33498, -1.15869, 3.2183, racer
-2.66876, -0.359427, 2.74178, racer
-3.13326, 0.608599, 2.84422, racer
-3.92448, 1.10668, 2.85097, racer
-4.96951, 0.841329, 3.06544, racer
-5.233, 1.05623, 2.95852, racer
-5.79907, 1.11897, 2.48146, racer
-6.88618, 0.719712, 2.37552, racer
-7.15861, 0.358565, 2.07787, racer
-7.36163, -0.747652, 2.06337, racer
-7.50328, -1.53632, 1.9384, racer
-7.28884, -1.55674, 2.13888, racer
-6.758, -1.82276, 2.24344, racer
-6.90676, -2.53296, 2.42916, racer
-7.26374, -3.5561, 2.55982, racer
-7.27334, -4.34793, 2.17923, racer
-7.12614, -4.67181, 1.99611, racer
-6.18805, -5.08276, 2.14831, racer
-5.25427, -5.62084, 2.40652, racer
-4.7895, -5.25884, 2.64047, racer
-4.2277, -4.26867, 2.60927, racer
-4.0262, -4.0669, 2.62836, racer
-3.86231, -4.90921, 2.75683, racer
-3.17643, -5.67384, 2.44685, racer
-2.98774, -6.35466, 2.18844, racer
-3.58849, -7.3475, 2.07934, racer
-4.47327, -7.69487, 1.95925, racer
-4.38027, -7.94773, 2.1017, racer
-3.54359, -8.43636, 2.22592, racer
-2.58895, -8.44952, 2.01999, racer
-1.81777, -7.94891, 2.2391, racer
-0.902677, -7.61177, 2.26328, racer
-0.455312, -6.93474, 2.4253, racer
0.153362, -6.6893, 2.70492, racer
0.575553, -6.66623, 2.76097, racer
1.70574, -6.29335, 2.90038, racer
2.31087, -5.77745, 3.19844, racer
2.45743, -5.63423, 2.70785, racer
2.47279, -5.66679, 2.60229, racer
3.26364, -5.57, 2.91646, racer
4.14819, -5.5359, 2.93202, racer
4.97289, -5.99405, 3.12908, racer
5.30678, -6.83087, 2.79112, racer
5.12768, -7.42517, 2.68758, racer
5.19387, -8.26278, 2.8586, racer
5.54077, -8.65621, 2.72292, racer
6.44753, -8.37179, 2.82917, racer
7.18633, -8.15692, 2.75612, racer
7.82819, -7.93446, 2.89342, racer
8.11784, -8.12269, 2.92147, racer
7.89656, -9.00657, 2.92058, racer
8.17777, -9.57461, 2.86388, racer
8.67196, -10.3852, 3.00875, racer
9.21706, -10.9562, 3.00415, racer
9.92043, -10.8897, 2.96717, racer
10.2546, -11.2811, 3.21823, racer
9.96562, -12.4207, 3.20819, racer
9.04611, -13.1179, 2.96739, racer
8.45318, -13.9248, 2.9917, racer
8.3574, -14.9651, 2.86523, racer
8.45641, -15.2188, 2.83022, racer
9.25797, -15.3424, 3.02297, racer
10.1728, -15.4526, 2.95653, racer
9.99411, -16.3004, 2.96956, racer
9.36539, -17.2176, 2.92701, racer
8.86102, -17.4996, 2.82166, racer
8.31928, -16.8337, 2.83286, racer
7.90124, -16.0283, 3.03404, racer
7.227, -15.1825, 3.02134, racer
7.20853, -14.3547, 2.7277, racer
7.94254, -13.6232, 2.86707, racer
8.39159, -12.9502, 2.90567, racer
7.96663, -12.3647, 3.15808, racer
7.67385, -12.1393, 3.25913, racer
7.26173, -12.6644, 2.98574, racer
6.26933, -13.1988, 2.64508, racer
5.53763, -13.2415, 2.75323, racer
5.02034, -13.4712, 2.91643, racer
4.05318, -13.6407, 2.75304, racer
3.21131, -13.6569, 2.6797, racer
3.01444, -13.6228, 2.50965, racer
3.41946, -12.7734, 2.588, racer
3.70905, -11.7188, 2.54082, racer
3.47327, -10.6922, 2.71665, racer
2.8724, -10.3643, 2.79212, racer
2.43579, -10.5218, 2.6483, racer
1.67676, -10.4485, 2.31395, racer
1.34893, -10.8191, 2.36048, racer
0.54593, -11.5681, 2.57429, racer
0.358602, -12.1627, 2.49354, racer
0.0790258, -13.2066, 2.39274, racer
0.148891, -13.8722, 2.41368, racer
0.785562, -14.5155, 2.55675, racer
1.03852, -14.9721, 2.59192, racer
1.41942, -15.459, 2.45756, racer
1.87894, -16.4471, 2.58565, racer
2.664, -17.0193, 2.62057, racer
3.09123, -17.1168, 2.59147, racer
2.54216, -17.2322, 2.58501, racer
1.28462, -17.2416, 2.49198, racer
0.248275, -16.9535, 2.33621, racer
-0.303503, -16.4954, 2.3053, racer
-1.18453, -16.1315, 2.44089, racer
-1.36746, -15.1015, 2.37891, racer
-1.19067, -14.56, 2.16619, racer
-1.10708, -14.0131, 2.22412, racer
-0.906557, -13.1961, 2.65543, racer
-0.665094, -12.2612, 2.52509, racer
-1.05645, -11.4081, 2.49597, racer
-2.05469, -11.133, 2.24734, racer
-2.34322, -11.0648, 2.13193, racer
-2.07506, -11.6077, 2.47336, racer
-1.35398, -12.2352, 2.62324, racer
-1.55353, -12.7375, 2.57435, racer
-2.58596, -13.0618, 2.70337, racer
-3.53655, -13.314, 2.36278, racer
-4.45718, -13.3049, 2.16222, racer
-5.13648, -13.1103, 2.1348, racer
-5.09777, -13.3705, 2.02548, racer
-4.16052, -13.9253, 2.27786, racer
-3.43149, -14.1254, 2.53503, racer
-2.83244, -14.5471, 2.3665, racer
-2.22297, -14.9185, 2.23219, racer
-1.22146, -14.8916, 2.37044, racer
-1.02676, -14.7967, 2.40472, racer
-0.843601, -14.401, 2.5381, racer
0.126142, -14.2184, 2.4388, racer
1.19604, -14.4011, 2.60293, racer
1.56331, -14.2599, 2.55988, racer
1.81778, -13.3897, 2.55352, racer
2.37186, -12.4043, 2.62931, racer
3.07633, -12.14, 2.57983, racer
3.53128, -12.5225, 2.70049, racer
2.90477, -12.2635, 2.62124, racer
2.06784, -12.5722, 2.56744, racer
1.67892, -13.5361, 2.52941, racer
1.72712, -14.0082, 2.54362, racer
2.60885, -14.51, 2.64803, racer
3.0442, -15.0411, 2.56255, racer
2.46768, -15.8985, 2.69234, racer
1.96001, -16.3421, 2.54035, racer
1.85722, -16.5596, 2.35911, racer
1.12352, -17.4767, 2.42858, racer
0.0985337, -17.9258, 2.46898, racer
-0.762823, -18.4624, 2.40901, racer
-1.28377, -19.4551, 2.44145, racer
-1.36707, -19.6668, 2.33584, racer
-1.40901, -18.9241, 2.3984, racer
-2.09845, -18.2749, 2.40726, racer
-3.11102, -18.5116, 2.35434, racer
-3.68274, -19.218, 2.21281, racer
-4.82784, -19.8759, 2.37571, racer
-5.13455, -19.8586, 2.21843, racer
-5.50643, -19.4236, 2.12298, racer
-6.37006, -18.8909, 1.98616, racer
-7.06959, -18.1874, 2.0688, racer
-7.87674, -18.427, 2.02277, racer
-8.21863, -18.8733, 1.72046, racer
-7.88449, -19.1468, 1.88972, racer
-7.0171, -19.764, 2.13274, racer
-6.3053, -20.4143, 2.03754, racer
-6.38519, -21.057, 2.01487, racer
-6.37659, -22.3267, 2.04296, racer
-6.43104, -22.895, 2.04965, racer
-6.94172, -22.8799, 2.03083, racer
-6.9391, -22.2858, 2.07047, racer
-6.49403, -21.5524, 2.05316, racer
-6.09631, -20.6515, 2.0336, racer
-5.40308, -20.3827, 2.13918, racer
-4.55146, -19.8917, 2.21294, racer
-3.84684, -19.1575, 2.01212, racer
-2.75954, -19.4128, 2.30146, racer
-2.06112, -19.9518, 2.37375, racer
-1.72884, -20.3518, 2.45391, racer
-1.821, -20.7144, 2.36805, racer
-1.41582, -21.6313, 2.32533, racer
-1.66919, -22.3124, 2.40277, racer
-2.57492, -22.8649, 2.38994, racer
-3.27835, -23.0663, 2.37067, racer
-3.74344, -23.2025, 2.16603, racer
-3.91806, -23.3833, 2.19532, racer
-4.77608, -23.1918, 2.2801, racer
-5.41244, -22.9755, 2.31516, racer
-5.75852, -22.549, 2.27948, racer
-6.61795, -22.1695, 2.00771, racer
-6.73957, -22.1551, 1.95298, racer
-6.77872, -22.338, 2.04556, racer
-7.72502, -22.7951, 2.04848, racer
-8.70824, -22.9796, 1.84522, racer
-9.01313, -23.3755, 1.75727, racer
-9.17004, -23.7755, 1.57461, racer
-8.72644, -23.2745, 1.88869, racer
-7.75004, -23.0039, 2.03878, racer
-6.63908, -22.7962, 2.1738, racer
-6.00942, -22.835, 2.02154, racer
-5.79158, -23.5634, 2.22654, racer
-5.67454, -24.553, 2.37294, racer
-5.21311, -25.3026, 2.24996, racer
-5.12795, -25.3815, 2.00306, racer
-5.08478, -25.0365, 2.1535, racer
-4.85888, -23.9935, 2.34688, racer
-4.94725, -23.2887, 2.31151, racer
-5.59309, -22.415, 2.23, racer
-6.24907, -21.7752, 2.10499, racer
-6.44408, -20.8936, 2.0545, racer
-6.20109, -19.7761, 2.17493, racer
-6.24314, -19.3141, 2.16614, racer
