Iteration, Path length, Time, Planning, Flying
1, 0.0532161, 0.84, 0.44, 0.38
2, 0.423042, 1.84, 0.44, 1.38
3, 0.630715, 2.84, 0.44, 2.38
4, 0.925557, 3.84, 0.44, 3.38
5, 1.01093, 4.84, 0.72, 4.1
6, 1.04565, 5.84, 1.46, 4.36
7, 1.45366, 6.84, 1.92, 4.9
8, 2.6233, 7.84, 2.28, 5.54
9, 3.19371, 8.84, 2.68, 6.14
10, 4.13538, 9.84, 3.09, 6.73
11, 4.79487, 10.84, 3.43, 7.39
12, 5.7947, 11.84, 3.79, 8.03
13, 6.60697, 12.84, 4.27, 8.55
14, 7.05624, 13.84, 4.63, 9.19
15, 7.96398, 14.84, 5, 9.82
16, 9.43894, 15.84, 5.36, 10.46
17, 10.3923, 16.84, 5.97, 10.85
18, 11.3705, 17.84, 6.33, 11.49
19, 12.0881, 18.84, 6.69, 12.13
20, 12.6254, 19.84, 7.07, 12.75
21, 13.4054, 20.84, 7.43, 13.39
22, 14.536, 21.84, 7.79, 14.03
23, 15.2677, 22.84, 8.15, 14.67
24, 16.3666, 23.84, 8.52, 15.32
25, 17.6315, 24.84, 8.88, 15.94
26, 18.6008, 25.84, 9.28, 16.54
27, 19.1162, 26.84, 9.69, 17.13
28, 19.8628, 27.84, 10.03, 17.79
29, 20.8473, 28.84, 10.43, 18.39
30, 21.6605, 29.84, 10.83, 18.99
31, 22.5837, 30.84, 11.25, 19.57
32, 23.4324, 31.84, 11.7, 20.12
33, 23.9898, 32.84, 12.11, 20.71
34, 24.789, 33.84, 12.51, 21.31
35, 25.7712, 34.84, 12.94, 21.88
36, 26.3822, 35.84, 13.37, 22.45
37, 27.2026, 36.84, 13.78, 23.04
38, 28.1874, 37.84, 14.23, 23.59
39, 29.0836, 38.84, 14.62, 24.2
40, 30.1726, 39.84, 15.03, 24.79
41, 31.2552, 40.84, 15.43, 25.39
42, 32.4594, 41.84, 15.86, 25.96
43, 33.1405, 42.84, 16.3, 26.5
44, 33.4448, 43.84, 16.71, 27.11
45, 34.1566, 44.84, 17.17, 27.65
46, 34.9313, 45.84, 17.65, 28.17
47, 35.9135, 46.84, 18.1, 28.72
48, 36.6483, 47.84, 18.69, 29.13
49, 37.3481, 48.84, 19.05, 29.77
50, 38.3255, 49.84, 19.52, 30.3
51, 39.2886, 50.84, 19.96, 30.86
52, 40.2508, 51.84, 20.44, 31.38
53, 40.9126, 52.84, 20.82, 32
54, 41.493, 53.84, 21.22, 32.6
55, 41.8999, 54.84, 21.69, 33.13
56, 43.0131, 55.84, 22.13, 33.69
57, 43.8809, 56.84, 22.64, 34.18
58, 44.9246, 57.84, 23.15, 34.67
59, 45.776, 58.84, 23.64, 35.18
60, 46.6916, 59.84, 24.06, 35.76
61, 47.0224, 60.84, 24.58, 36.24
62, 48.0629, 61.84, 24.93, 36.89
63, 48.9578, 62.84, 25.49, 37.33
64, 49.6646, 63.84, 25.92, 37.9
65, 50.8521, 64.84, 26.41, 38.41
66, 51.8401, 65.84, 26.93, 38.89
67, 52.4961, 66.84, 27.52, 39.3
68, 52.9444, 67.84, 28.02, 39.8
69, 53.8829, 68.84, 28.45, 40.38
70, 54.8905, 69.84, 28.91, 40.91
71, 55.7455, 70.84, 29.41, 41.41
72, 56.3373, 71.84, 29.86, 41.96
73, 57.2257, 72.84, 30.4, 42.42
74, 58.2744, 73.84, 30.9, 42.92
75, 59.0032, 74.84, 31.38, 43.44
76, 59.7632, 75.84, 31.86, 43.96
77, 60.75, 76.84, 32.36, 44.46
78, 61.8104, 77.84, 32.85, 44.97
79, 62.8622, 78.84, 33.42, 45.4
80, 63.5873, 79.84, 33.91, 45.91
81, 63.9772, 80.84, 34.34, 46.48
82, 64.9913, 81.84, 34.77, 47.05
83, 65.8703, 82.84, 35.26, 47.56
84, 66.8487, 83.84, 35.78, 48.04
85, 67.7053, 84.84, 36.24, 48.58
86, 68.733, 85.84, 36.8, 49.02
87, 69.2122, 86.84, 37.29, 49.54
88, 70.1994, 87.84, 37.77, 50.05
89, 71.0101, 88.84, 38.29, 50.53
90, 71.994, 89.84, 38.82, 51
91, 72.4119, 90.84, 39.36, 51.47
92, 73.1849, 91.84, 39.84, 51.98
93, 74.1675, 92.84, 40.35, 52.47
94, 75.048, 93.84, 40.88, 52.94
95, 75.767, 94.84, 41.39, 53.43
96, 76.3619, 95.84, 41.97, 53.85
97, 77.2137, 96.84, 42.46, 54.36
98, 78.1321, 97.84, 43.08, 54.74
99, 78.5392, 98.84, 43.65, 55.17
100, 79.5762, 99.84, 44.12, 55.7
101, 80.3, 100.84, 44.64, 56.19
102, 81.017, 101.84, 45.11, 56.71
103, 81.9722, 102.84, 45.63, 57.18
104, 82.5211, 103.84, 46.23, 57.59
105, 83.0069, 104.84, 46.74, 58.08
106, 83.9955, 105.85, 47.3, 58.53
107, 84.5904, 106.84, 47.84, 58.98
108, 85.6809, 107.84, 48.37, 59.45
109, 85.8613, 108.84, 48.96, 59.86
110, 86.3381, 109.85, 49.15, 60.67
111, 87.4495, 110.84, 49.23, 61.59
112, 88.5849, 111.85, 49.44, 62.39
113, 89.6586, 112.84, 49.68, 63.15
114, 90.5239, 113.84, 49.92, 63.9
115, 91.389, 114.84, 50.15, 64.68
116, 92.1041, 115.84, 50.38, 65.44
117, 92.4786, 116.84, 50.59, 66.23
