Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0.86, 19.416, 0.0862933, 11.904, 7.512, 22480.6
1.86, 20.688, 0.0919467, 13.192, 7.496, 22479.3
1.86, 22.696, 0.100871, 15.032, 7.664, 22477.3
3.86, 37.416, 0.166293, 25.864, 11.552, 22462.6
3.86, 55.736, 0.247716, 35.912, 19.824, 22444.3
6.86, 78.352, 0.348231, 56.792, 21.56, 22421.6
6.86, 94, 0.417778, 70.952, 23.048, 22406
7.86, 102.368, 0.454969, 78.304, 24.064, 22397.6
9.86, 114.48, 0.5088, 87.64, 26.84, 22385.5
10.86, 124.368, 0.552747, 98.336, 26.032, 22375.6
13.86, 129.112, 0.573831, 103.608, 25.504, 22370.9
13.86, 136.008, 0.60448, 109.968, 26.04, 22364
16.86, 145.496, 0.646649, 117.408, 28.088, 22354.5
16.86, 153.896, 0.683982, 123.168, 30.728, 22346.1
19.86, 168.36, 0.748267, 133.184, 35.176, 22331.6
19.86, 169.16, 0.751822, 133.68, 35.48, 22330.8
20.86, 172.28, 0.765689, 135.752, 36.528, 22327.7
23.86, 178.712, 0.794276, 139.792, 38.92, 22321.3
23.86, 179.44, 0.797511, 140.056, 39.384, 22320.6
26.86, 186.944, 0.830862, 145.16, 41.784, 22313.1
26.86, 191.904, 0.852907, 150.128, 41.776, 22308.1
29.86, 201.552, 0.895787, 156.832, 44.72, 22298.4
29.86, 209.12, 0.929422, 163.264, 45.856, 22290.9
32.86, 211.984, 0.942151, 165.96, 46.024, 22288
32.86, 213.768, 0.95008, 167.632, 46.136, 22286.2
33.86, 225.168, 1.00075, 175.888, 49.28, 22274.8
36.86, 226.896, 1.00843, 177.6, 49.296, 22273.1
36.86, 234.752, 1.04334, 181.856, 52.896, 22265.2
39.86, 243.272, 1.08121, 190.336, 52.936, 22256.7
39.86, 249.472, 1.10876, 196.672, 52.8, 22250.5
42.86, 251.464, 1.11762, 198.144, 53.32, 22248.5
42.86, 252.08, 1.12036, 198.536, 53.544, 22247.9
45.86, 264.08, 1.17369, 208.6, 55.48, 22235.9
45.86, 267.28, 1.18791, 211.528, 55.752, 22232.7
46.86, 281.968, 1.25319, 221.632, 60.336, 22218
49.86, 281.968, 1.25319, 221.728, 60.24, 22218
49.86, 293.144, 1.30286, 231.528, 61.616, 22206.9
52.86, 294.696, 1.30976, 232.968, 61.728, 22205.3
52.86, 305.288, 1.35684, 240.024, 65.264, 22194.7
54.86, 313.672, 1.3941, 246.552, 67.12, 22186.3
55.86, 321.936, 1.43083, 254.264, 67.672, 22178.1
58.86, 325.976, 1.44878, 257.336, 68.64, 22174
58.86, 331.456, 1.47314, 261.584, 69.872, 22168.5
61.86, 335.472, 1.49099, 265.064, 70.408, 22164.5
61.86, 341.984, 1.51993, 271.472, 70.512, 22158
64.86, 342.496, 1.5222, 271.984, 70.512, 22157.5
64.86, 343.288, 1.52572, 272.68, 70.608, 22156.7
65.86, 343.792, 1.52796, 273.48, 70.312, 22156.2
67.86, 354.68, 1.57636, 281.968, 72.712, 22145.3
68.86, 355.784, 1.58126, 282.6, 73.184, 22144.2
71.86, 360.936, 1.60416, 286.192, 74.744, 22139.1
71.86, 362.4, 1.61067, 287.512, 74.888, 22137.6
74.86, 374.264, 1.6634, 295.688, 78.576, 22125.7
74.86, 374.264, 1.6634, 295.496, 78.768, 22125.7
77.86, 377.72, 1.67876, 298.008, 79.712, 22122.3
77.86, 378.472, 1.6821, 298.92, 79.552, 22121.5
80.86, 390.344, 1.73486, 307.968, 82.376, 22109.7
80.86, 394.576, 1.75367, 311.376, 83.2, 22105.4
81.86, 394.576, 1.75367, 311.768, 82.808, 22105.4
84.86, 397.832, 1.76814, 314.992, 82.84, 22102.2
84.86, 404.08, 1.79591, 319.608, 84.472, 22095.9
87.86, 411.752, 1.83001, 325.056, 86.696, 22088.2
87.86, 418.136, 1.85838, 329.472, 88.664, 22081.9
90.86, 421.168, 1.87186, 332.488, 88.68, 22078.8
90.86, 421.736, 1.87438, 333.08, 88.656, 22078.3
91.86, 433.528, 1.92679, 341.056, 92.472, 22066.5
94.86, 440.224, 1.95655, 344.416, 95.808, 22059.8
94.86, 443.8, 1.97244, 347.96, 95.84, 22056.2
97.86, 451.376, 2.00612, 354.536, 96.84, 22048.6
97.86, 454.848, 2.02155, 357.488, 97.36, 22045.2
100.86, 459.024, 2.04011, 359.768, 99.256, 22041
100.86, 462.8, 2.05689, 362.4, 100.4, 22037.2
103.86, 465.808, 2.07026, 365.136, 100.672, 22034.2
103.86, 480.168, 2.13408, 374.96, 105.208, 22019.8
106.86, 489.536, 2.17572, 383.2, 106.336, 22010.5
106.86, 499.048, 2.21799, 390.728, 108.32, 22001
109.86, 511.176, 2.27189, 400.592, 110.584, 21988.8
109.86, 519.84, 2.3104, 407.912, 111.928, 21980.2
110.86, 522.336, 2.32149, 409.712, 112.624, 21977.7
113.86, 528.912, 2.35072, 415.464, 113.448, 21971.1
113.86, 530.704, 2.35868, 416.88, 113.824, 21969.3
