Goal x, Goal y, Goal z, Planner
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0, 0, 3.8, racer
0.319208, -0.0361418, 3.78288, racer
0.987038, -0.0830039, 3.76081, racer
0.987038, -0.0830039, 3.76081, racer
1.66572, 0.2811, 3.83917, racer
0.854244, 0.630682, 3.83055, racer
-0.652676, 0.697796, 3.73531, racer
-2.04687, 0.106333, 3.43875, racer
-3.07356, -0.566725, 2.92383, racer
-3.57091, -0.362947, 2.52402, racer
-4.35316, -0.334461, 2.03653, racer
-4.35316, -0.334461, 2.03653, racer
-4.94422, -0.252918, 1.98986, racer
-5.76576, 0.0923136, 2.14701, racer
-5.82537, -0.295924, 2.53658, racer
-4.83797, -1.42009, 2.98618, racer
-3.27348, -2.98766, 3.21216, racer
-3.19795, -3.06549, 3.22576, racer
-3.19795, -3.06549, 3.22576, racer
-1.82711, -4.43294, 3.24371, racer
-1.82711, -4.43294, 3.24371, racer
-0.794717, -5.50549, 2.87141, racer
-0.786251, -5.47537, 3.06188, racer
-1.63297, -4.74437, 3.76874, racer
-2.08433, -5.07273, 3.76191, racer
-2.29179, -6.05728, 3.42181, racer
-2.71263, -6.02072, 3.72865, racer
-3.18923, -5.17862, 4.29798, racer
-3.83684, -4.12641, 4.75889, racer
-4.04008, -4.43943, 4.39201, racer
-3.99193, -5.66361, 3.71398, racer
-4.13637, -7.1097, 3.19608, racer
-5.12771, -8.25802, 3.10391, racer
-6.49932, -8.274, 3.51997, racer
-7.25216, -7.45892, 3.77735, racer
-7.69325, -7.23483, 3.64313, racer
-8.18778, -8.1305, 3.28903, racer
-8.61047, -9.63757, 2.96516, racer
-8.74826, -10.0783, 2.76478, racer
-9.25198, -11.5523, 2.19947, racer
-9.38056, -12.3462, 2.33077, racer
-9.14381, -13.2156, 2.87363, racer
-8.97594, -14.0817, 3.05851, racer
-8.59133, -15.5586, 2.86714, racer
-8.59133, -15.5586, 2.86714, racer
-8.34328, -17.3789, 2.26404, racer
-9.38377, -18.2884, 2.71743, racer
-10.7055, -18.5096, 2.9985, racer
-11.1994, -18.4618, 3.09107, racer
-11.1994, -18.4618, 3.09107, racer
-11.1994, -18.4618, 3.09107, racer
-10.1203, -19.0665, 3.09709, racer
-8.73032, -19.2086, 3.86625, racer
-8.33744, -19.2056, 4.16449, racer
-7.64596, -19.6521, 4.31036, racer
-7.59444, -19.7026, 4.30973, racer
-7.59444, -19.7026, 4.30973, racer
-6.51188, -20.4, 3.73881, racer
-5.7575, -21.0347, 3.08321, racer
-4.76532, -22.1485, 2.18317, racer
-4.94249, -22.217, 2.55647, racer
-5.16977, -22.0671, 2.83986, racer
-6.60828, -21.2482, 4.63034, racer
-6.66546, -21.5503, 4.96762, racer
-7.20928, -21.8369, 4.75293, racer
-7.42411, -22.1182, 4.39108, racer
-6.78328, -22.6494, 4.57861, racer
-6.10615, -22.5904, 4.80117, racer
-5.06734, -22.5895, 4.95374, racer
-5.02912, -23.6445, 4.29259, racer
-5.37653, -24.5356, 3.81149, racer
-6.3126, -26.4541, 3.29969, racer
-6.23459, -27.7085, 3.21904, racer
-5.18909, -28.8, 3.55826, racer
-4.25498, -29.0577, 3.25236, racer
-3.61463, -28.6769, 2.67229, racer
-3.26583, -27.3596, 3.05361, racer
-2.37718, -26.0626, 3.30514, racer
-1.57593, -25.1583, 3.29972, racer
-1.47838, -25.2179, 3.26022, racer
-1.55397, -26.1146, 3.88633, racer
-1.57036, -26.4251, 4.2449, racer
-1.56982, -26.6073, 4.64304, racer
-1.56982, -26.6073, 4.64304, racer
-2.16587, -26.1377, 4.3245, racer
