Iteration, Path length, Time, Planning, Flying
1, 0, 0.86, 0.84, 0
2, 0, 1.86, 1.84, 0
3, 0, 2.86, 2.84, 0
4, 0, 3.86, 3.84, 0
5, 0.908718, 4.86, 4.18, 0.66
6, 2.92996, 5.86, 4.18, 1.66
7, 4.75245, 6.86, 4.24, 2.6
8, 5.56938, 7.86, 4.3, 3.54
9, 6.8535, 8.86, 4.32, 4.52
10, 7.95797, 9.86, 4.76, 5.08
11, 9.56429, 10.86, 5.1, 5.74
12, 10.3945, 11.86, 5.8, 6.04
13, 11.7192, 12.86, 5.8, 7.04
14, 12.7691, 13.86, 6.14, 7.7
15, 13.4006, 14.86, 6.42, 8.42
16, 14.701, 15.86, 6.7, 9.14
17, 15.5456, 16.86, 6.88, 9.96
18, 16.7187, 17.86, 7.12, 10.72
19, 17.9505, 18.86, 7.12, 11.72
20, 19.6422, 19.86, 7.16, 12.68
21, 20.6105, 20.86, 7.16, 13.68
22, 21.6221, 21.86, 7.16, 14.68
23, 23.3879, 22.86, 7.16, 15.68
24, 25.4764, 23.86, 7.18, 16.66
25, 27.2694, 24.86, 7.88, 16.96
26, 27.2694, 25.86, 8.88, 16.96
27, 28.4976, 26.86, 9.34, 17.5
28, 29.2872, 27.86, 9.62, 18.22
29, 31.5272, 28.86, 9.94, 18.9
30, 32.9559, 29.86, 10, 19.84
31, 34.147, 30.86, 10.1, 20.74
32, 35.7144, 31.86, 10.36, 21.48
33, 37.6169, 32.86, 10.76, 22.08
34, 38.3614, 33.86, 11.4, 22.44
35, 40.0027, 34.86, 11.48, 23.36
36, 41.0013, 35.86, 11.48, 24.36
37, 42.2268, 36.86, 12, 24.84
38, 43.7017, 37.86, 12, 25.84
39, 45.1222, 38.86, 12, 26.84
40, 45.4846, 39.86, 12.78, 27.06
41, 45.4846, 40.86, 13.78, 27.06
42, 47.1837, 41.86, 14.3, 27.54
43, 48.429, 42.86, 14.46, 28.38
44, 49.4881, 43.86, 14.46, 29.38
45, 50.0088, 44.86, 14.82, 30.02
46, 50.2314, 45.86, 15.18, 30.66
47, 51.4155, 46.86, 15.82, 31.02
48, 51.4155, 47.86, 16.82, 31.02
49, 52.9524, 48.86, 17.02, 31.82
50, 54.1793, 49.86, 17.02, 32.82
51, 55.2631, 50.86, 17.02, 33.82
52, 55.9323, 51.86, 17.02, 34.82
53, 57.3779, 52.86, 17.62, 35.22
54, 59.0898, 53.86, 17.64, 36.2
55, 60.1997, 54.86, 17.8, 37.04
56, 61.2677, 55.86, 17.82, 38.02
57, 62.9996, 56.86, 18.54, 38.3
58, 65.074, 57.86, 18.56, 39.28
59, 67.2127, 58.86, 18.78, 40.06
60, 68.8281, 59.86, 18.78, 41.06
61, 69.4435, 60.86, 19.2, 41.64
62, 69.9174, 61.86, 20.02, 41.82
63, 69.9174, 62.86, 21.02, 41.82
64, 71.1801, 63.86, 21.02, 42.82
65, 72.6764, 64.86, 21.02, 43.82
66, 73.3586, 65.86, 21.22, 44.62
67, 73.8836, 66.86, 21.52, 45.32
68, 74.8409, 67.86, 21.82, 46.02
69, 76.7141, 68.86, 21.82, 47.02
70, 76.8876, 69.86, 22.56, 47.28
71, 77.3263, 70.86, 22.92, 47.92
72, 77.3263, 71.86, 23.92, 47.92
73, 77.9597, 72.86, 24.16, 48.68
74, 78.7846, 73.86, 24.36, 49.48
75, 80.6248, 74.86, 24.72, 50.12
76, 82.2972, 75.86, 24.74, 51.1
77, 83.7518, 76.86, 25, 51.84
78, 84.418, 77.86, 25.44, 52.4
79, 85.6138, 78.86, 25.64, 53.2
80, 86.875, 79.86, 26.08, 53.76
81, 87.8607, 80.86, 26.28, 54.56
82, 89.29, 81.86, 26.28, 55.56
83, 90.2594, 82.86, 26.96, 55.88
84, 91.4473, 83.86, 26.96, 56.88
85, 93.0101, 84.86, 27.28, 57.56
86, 94.1426, 85.86, 27.42, 58.42
87, 95.7066, 86.86, 27.64, 59.2
88, 95.855, 87.86, 28.52, 59.32
89, 97.5351, 88.86, 28.74, 60.1
90, 98.8464, 89.86, 29.14, 60.7
91, 99.3862, 90.86, 29.14, 61.7
92, 100.906, 91.86, 29.14, 62.7
93, 102.576, 92.86, 29.14, 63.7
94, 103.723, 93.86, 29.14, 64.7
95, 105.183, 94.86, 29.48, 65.36
96, 106.857, 95.86, 29.82, 66.02
97, 108.014, 96.86, 29.94, 66.9
98, 109.425, 97.86, 29.96, 67.88
99, 111.131, 98.86, 30.32, 68.52
