Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
1.83, 150.088, 0.667058, 120.624, 29.464, 22349.9
27.84, 289.056, 1.28469, 235.12, 53.936, 22210.9
58.84, 443.032, 1.96903, 353.008, 90.024, 22057
90.84, 627.904, 2.79068, 500.928, 126.976, 21872.1
125.83, 815.016, 3.62229, 651, 164.016, 21685
155.84, 1014.67, 4.50965, 834.488, 180.184, 21485.3
191.83, 1217.06, 5.40914, 1007.98, 209.072, 21282.9
222.84, 1382.46, 6.14428, 1154.62, 227.848, 21117.5
257.84, 1577.13, 7.00946, 1330.18, 246.944, 20922.9
292.84, 1695.96, 7.5376, 1431.25, 264.712, 20804
330.83, 1960.93, 8.71524, 1678.36, 282.568, 20539.1
365.83, 2123.16, 9.43627, 1824.46, 298.704, 20376.8
398.84, 2252.5, 10.0111, 1945.27, 307.232, 20247.5
436.83, 2374.97, 10.5554, 2052.68, 322.288, 20125
471.83, 2546.78, 11.319, 2212.55, 334.224, 19953.2
506.83, 2705.6, 12.0249, 2361.67, 343.928, 19794.4
540.84, 2896.18, 12.8719, 2544.26, 351.92, 19603.8
578.83, 2994.02, 13.3067, 2636.73, 357.288, 19506
612.84, 3080.88, 13.6928, 2721.27, 359.608, 19419.1
648.84, 3238.27, 14.3923, 2878.14, 360.136, 19261.7
687.83, 3352.18, 14.8986, 2990.67, 361.504, 19147.8
720.84, 3443.43, 15.3041, 3080.03, 363.4, 19056.6
756.84, 3476.82, 15.4526, 3113.46, 363.36, 19023.2
795.83, 3510.68, 15.603, 3146.3, 364.384, 18989.3
829.84, 3520.81, 15.648, 3156.3, 364.512, 18979.2
865.84, 3567.32, 15.8548, 3202.71, 364.608, 18932.7
904.83, 3606.4, 16.0284, 3239.38, 367.024, 18893.6
938.84, 3657.1, 16.2538, 3288.41, 368.696, 18842.9
977.83, 3664.71, 16.2876, 3295.97, 368.744, 18835.3
1011.84, 3667.14, 16.2984, 3299.98, 367.168, 18832.9
1047.84, 3673.76, 16.3278, 3303.95, 369.808, 18826.2
1083.84, 3681.47, 16.3621, 3310.44, 371.032, 18818.5
1122.83, 3694.5, 16.42, 3323.66, 370.84, 18805.5
1159.83, 3702.72, 16.4565, 3331.63, 371.088, 18797.3
1193.84, 3739, 16.6178, 3367.09, 371.912, 18761
