Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
6.82, 532.184, 2.36526, 420.984, 111.2, 21967.8
122.84, 1025.46, 4.55758, 850.184, 175.272, 21474.5
251.82, 1305.57, 5.80252, 1112.1, 193.464, 21194.4
376.34, 1502.13, 6.67612, 1294.09, 208.04, 20997.9
512.3, 1629.62, 7.24274, 1411.14, 218.472, 20870.4
652.82, 1741.84, 7.74151, 1514.7, 227.136, 20758.2
777.34, 1827.86, 8.1238, 1599.81, 228.048, 20672.1
923.84, 1894.06, 8.41803, 1664.7, 229.36, 20605.9
1058.84, 2022.56, 8.98916, 1780.63, 241.928, 20477.4
1193.84, 2109.02, 9.37344, 1858.35, 250.672, 20391
1330.84, 2216.16, 9.8496, 1948.6, 267.56, 20283.8
1466.33, 2279.45, 10.1309, 2009.28, 270.168, 20220.6
1605.3, 2386.57, 10.607, 2111.39, 275.176, 20113.4
1758.84, 2536.14, 11.2717, 2254.06, 282.072, 19963.9
1906.88, 2660.89, 11.8262, 2362.54, 298.344, 19839.1
2040.34, 2705.55, 12.0247, 2408.8, 296.752, 19794.4
2197.82, 2735.32, 12.157, 2439.26, 296.064, 19764.7
2347.82, 2844.46, 12.6421, 2527.82, 316.64, 19655.5
2489.34, 2885.55, 12.8247, 2567.9, 317.648, 19614.4
2647.82, 2982.29, 13.2546, 2655.54, 326.744, 19517.7
2805.88, 3053.03, 13.569, 2712.78, 340.248, 19447
2959.84, 3188.37, 14.1705, 2850.55, 337.816, 19311.6
3105.3, 3320.47, 14.7577, 2965.54, 354.936, 19179.5
3267.82, 3328, 14.7911, 2969.34, 358.656, 19172
3424.82, 3371.92, 14.9863, 3006.8, 365.12, 19128.1
