Iteration, Path length, Time, Planning, Flying
0, 2.55797, 6.82, 3.76, 1.92
1, 88.7284, 122.84, 21.52, 105.74
2, 180.725, 251.82, 59.96, 217.2
3, 447.422, 376.34, 110.11, 540.99
4, 736.824, 512.3, 245.46, 917.01
5, 736.824, 652.82, 245.46, 917.01
6, 943.485, 777.34, 350.03, 1214.7
7, 1322.93, 923.84, 640.56, 1726.17
8, 1415.85, 1058.84, 661.66, 1838.27
9, 1510.05, 1193.84, 683, 1952.53
10, 1598.09, 1330.84, 707.36, 2066.51
11, 1612.22, 1466.33, 711.02, 2079.97
12, 1991.17, 1605.3, 1277.61, 2606.78
13, 2219.44, 1758.84, 1405.98, 2905.79
14, 2693.45, 1906.88, 2552.96, 3665.64
15, 3072.77, 2040.34, 3233.62, 4248.9
16, 3076.35, 2197.82, 5023.08, 4264.56
17, 3076.35, 2347.82, 5023.08, 4264.56
18, 3231.66, 2489.34, 5259.11, 4477.49
19, 3231.66, 2647.82, 5259.11, 4477.49
20, 3329.71, 2805.88, 5948.39, 4687.23
21, 3654.46, 2959.84, 6674.72, 5161.68
22, 3910.89, 3105.3, 7736.63, 5600.05
23, 3915.65, 3267.82, 9022.5, 5621.12
24, 3918.45, 3424.82, 9167.17, 5632.89
25, 3921.16, 3582.82, 9313.75, 5645.01
