Iteration, Path length, Time, Planning, Flying
1, 0.028498, 0.3, 0.25, 0.04
2, 0.332615, 1.3, 0.27, 1.02
3, 0.933653, 2.3, 0.29, 2
4, 1.37506, 3.3, 0.31, 2.98
5, 2.22167, 4.3, 0.31, 3.98
6, 3.33904, 5.3, 0.31, 4.98
7, 4.17134, 6.3, 0.31, 5.98
8, 4.90442, 7.3, 0.33, 6.96
9, 5.98366, 8.3, 0.33, 7.96
10, 7.34904, 9.3, 0.35, 8.94
11, 8.09679, 10.3, 0.35, 9.94
12, 9.25448, 11.3, 0.37, 10.92
13, 10.3877, 12.3, 0.41, 11.88
14, 11.6073, 13.3, 0.41, 12.88
15, 12.8118, 14.3, 0.41, 13.88
16, 13.8281, 15.3, 0.43, 14.86
17, 14.731, 16.3, 0.43, 15.86
18, 15.3031, 17.3, 0.43, 16.86
19, 16.5919, 18.3, 0.43, 17.86
20, 17.6246, 19.3, 0.45, 18.84
21, 18.2469, 20.3, 0.47, 19.82
22, 19.8286, 21.3, 0.47, 20.82
23, 20.7368, 22.3, 0.49, 21.8
24, 21.7861, 23.3, 0.49, 22.8
25, 22.8657, 24.3, 0.49, 23.8
26, 23.4252, 25.3, 0.51, 24.78
27, 24.4311, 26.3, 0.51, 25.78
28, 25.4962, 27.3, 0.53, 26.76
29, 25.8961, 28.3, 0.55, 27.74
30, 26.9953, 29.3, 0.55, 28.74
31, 27.7914, 30.3, 0.59, 29.7
32, 28.5198, 31.3, 0.59, 30.7
33, 28.873, 32.3, 0.59, 31.7
34, 29.5224, 33.3, 0.61, 32.68
35, 29.8915, 34.3, 0.71, 33.58
36, 30.5518, 35.3, 0.71, 34.58
37, 30.6119, 36.3, 1.15, 35.14
38, 31.271, 37.3, 1.15, 36.14
39, 32.5529, 38.3, 1.15, 37.14
40, 33.0406, 39.3, 1.15, 38.14
41, 33.9615, 40.3, 1.15, 39.14
42, 34.9882, 41.3, 1.15, 40.14
43, 35.9597, 42.3, 1.17, 41.12
44, 36.9382, 43.3, 1.23, 42.06
45, 37.287, 44.3, 1.23, 43.06
46, 38.0875, 45.3, 1.23, 44.06
47, 38.7031, 46.3, 1.25, 45.04
48, 39.5415, 47.3, 1.27, 46.02
49, 40.0879, 48.3, 1.27, 47.02
50, 40.9588, 49.3, 1.27, 48.02
51, 42.2087, 50.3, 1.41, 48.88
52, 42.22, 51.3, 2.41, 48.88
53, 42.2953, 52.3, 3.11, 49.18
54, 43.2311, 53.3, 3.11, 50.18
55, 44.1115, 54.3, 3.11, 51.18
56, 44.7467, 55.3, 3.13, 52.16
57, 45.5823, 56.3, 3.15, 53.14
58, 46.2153, 57.3, 3.15, 54.14
59, 47.1432, 58.3, 3.15, 55.14
60, 47.6533, 59.3, 3.15, 56.14
