Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
4.88, 625.6, 2.78044, 511.048, 114.552, 21874.4
141.89, 1123.06, 4.99136, 900.536, 222.52, 21376.9
310.89, 1617.47, 7.18876, 1296.22, 321.256, 20882.5
523.9, 2059.8, 9.15467, 1631.32, 428.48, 20440.2
760.9, 2550.99, 11.3377, 2031.99, 519, 19949
1006.86, 3287.69, 14.6119, 2674.39, 613.296, 19212.3
1259.87, 3883.1, 17.2582, 3237.38, 645.728, 18616.9
1536.9, 4450.84, 19.7815, 3787.68, 663.16, 18049.2
1804.89, 5342.66, 23.7451, 4628.22, 714.432, 17157.3
2092.9, 5844.99, 25.9777, 5043.97, 801.024, 16655
2379.91, 6248.32, 27.7703, 5377.54, 870.784, 16251.7
2668.86, 6611.01, 29.3823, 5688.16, 922.848, 15889
2966.9, 6878.52, 30.5712, 5919.11, 959.408, 15621.5
