Iteration, Path length, Time, Planning, Flying
1, 0.141702, 0.86, 0.24, 0.6
2, 0.433379, 1.86, 0.24, 1.6
3, 0.638595, 2.86, 0.24, 2.6
4, 0.808895, 3.86, 0.44, 3.4
5, 0.880587, 4.86, 0.76, 4.08
6, 1.11369, 5.86, 0.96, 4.88
7, 2.32342, 6.86, 0.96, 5.88
8, 3.00714, 7.86, 0.96, 6.88
9, 4.13405, 8.86, 0.96, 7.88
10, 5.47913, 9.86, 0.96, 8.88
11, 5.95145, 10.86, 0.96, 9.88
12, 6.7737, 11.86, 0.96, 10.88
13, 8.00321, 12.86, 0.98, 11.86
14, 8.57912, 13.86, 1, 12.84
15, 9.75469, 14.86, 1.02, 13.82
16, 10.4827, 15.86, 1.04, 14.8
17, 11.5575, 16.86, 1.04, 15.8
18, 12.6844, 17.86, 1.04, 16.8
19, 13.0949, 18.86, 1.06, 17.78
20, 14.0609, 19.86, 1.06, 18.78
21, 15.0525, 20.86, 1.06, 19.78
22, 15.8199, 21.86, 1.06, 20.78
23, 16.8011, 22.86, 1.06, 21.78
24, 17.1806, 23.86, 1.08, 22.76
25, 17.967, 24.86, 1.08, 23.76
26, 18.8285, 25.86, 1.08, 24.76
27, 19.9077, 26.86, 1.08, 25.76
28, 21.208, 27.86, 1.1, 26.74
29, 21.8604, 28.86, 1.12, 27.72
30, 22.2546, 29.86, 1.14, 28.7
31, 23.3942, 30.86, 1.14, 29.7
32, 24.4618, 31.86, 1.16, 30.68
33, 24.9106, 32.86, 1.18, 31.66
34, 26.0412, 33.86, 1.18, 32.66
35, 27.0636, 34.86, 1.18, 33.66
36, 28.074, 35.86, 1.18, 34.66
37, 29.072, 36.86, 1.2, 35.64
38, 29.9086, 37.86, 1.2, 36.64
39, 31.0875, 38.86, 1.2, 37.64
40, 31.8337, 39.86, 1.2, 38.64
41, 33.0264, 40.86, 1.2, 39.64
42, 33.6917, 41.86, 1.2, 40.64
43, 34.2922, 42.86, 1.2, 41.64
44, 35.5196, 43.86, 1.2, 42.64
45, 36.4604, 44.86, 1.22, 43.62
46, 37.2911, 45.86, 1.22, 44.62
47, 37.9428, 46.86, 1.26, 45.58
48, 38.8859, 47.86, 1.26, 46.58
49, 39.9787, 48.86, 1.26, 47.58
50, 40.7299, 49.86, 1.26, 48.58
51, 41.6011, 50.86, 1.26, 49.58
52, 42.5028, 51.86, 1.28, 50.56
53, 43.6897, 52.86, 1.28, 51.56
54, 44.5323, 53.86, 1.28, 52.56
55, 45.5447, 54.86, 1.31, 53.53
56, 46.1281, 55.86, 1.37, 54.47
57, 46.1331, 56.86, 2.31, 54.53
58, 46.7967, 57.86, 2.33, 55.51
59, 47.9542, 58.86, 2.33, 56.51
60, 48.6342, 59.86, 2.33, 57.51
61, 49.3784, 60.86, 2.35, 58.49
62, 50.6491, 61.86, 2.37, 59.47
63, 51.2127, 62.86, 2.37, 60.47
64, 51.9602, 63.86, 2.37, 61.47
65, 53.5389, 64.86, 2.41, 62.43
66, 54.2492, 65.86, 2.41, 63.43
67, 54.839, 66.86, 2.43, 64.41
68, 56.1062, 67.86, 2.45, 65.39
69, 56.6097, 68.86, 2.45, 66.39
70, 57.6167, 69.86, 2.47, 67.37
71, 58.3629, 70.86, 2.51, 68.33
72, 59.3279, 71.86, 2.51, 69.33
73, 60.3641, 72.86, 2.51, 70.33
74, 60.9382, 73.86, 2.51, 71.33
75, 62.0724, 74.86, 2.53, 72.31
76, 62.726, 75.86, 2.55, 73.29
77, 63.749, 76.86, 2.55, 74.29
78, 64.6032, 77.86, 2.55, 75.29
79, 65.9166, 78.86, 2.57, 76.27
80, 66.5756, 79.86, 2.59, 77.25
81, 67.5169, 80.86, 2.61, 78.23
82, 68.738, 81.86, 2.61, 79.23
83, 69.6522, 82.86, 2.61, 80.23
84, 70.1978, 83.86, 2.65, 81.19
85, 71.1781, 84.86, 2.67, 82.17
86, 72.3238, 85.86, 2.69, 83.15
87, 73.0466, 86.86, 2.71, 84.13
88, 73.9531, 87.86, 2.73, 85.11
89, 75.1009, 88.86, 2.73, 86.11
90, 76.0897, 89.86, 2.75, 87.09
91, 77.1693, 90.86, 2.77, 88.07
92, 77.5481, 91.86, 2.77, 89.07
93, 78.4542, 92.86, 2.77, 90.07
94, 79.3187, 93.86, 2.77, 91.07
95, 80.2521, 94.86, 2.79, 92.05
96, 80.8094, 95.86, 2.83, 93.02
97, 81.4924, 96.86, 2.83, 94.01
