Goal x, Goal y, Goal z, Planner
0.00139549, 0.000153167, 3.79993, racer
0.174344, 0.0583528, 3.79977, racer
0.593874, 0.18566, 3.79992, racer
0.544598, 0.154758, 3.80029, racer
0.440637, 0.249438, 3.80001, racer
0.398894, 0.29629, 3.79755, racer
0.820613, -0.0333642, 3.80829, racer
1.27977, -0.60803, 3.29717, racer
1.47067, -1.36654, 2.77109, racer
1.64082, -2.41429, 2.38078, racer
1.31634, -2.83107, 2.55, racer
1.32678, -2.63208, 2.62876, racer
2.13162, -1.87604, 2.58627, racer
2.93711, -1.86357, 2.98164, racer
3.72778, -1.69154, 3.168, racer
4.07702, -2.29864, 3.32316, racer
4.79022, -2.40776, 2.903, racer
5.22239, -2.08506, 2.77255, racer
4.78507, -2.65326, 3.05657, racer
4.29312, -3.48692, 3.20084, racer
3.85178, -4.08077, 2.95681, racer
2.95553, -4.71705, 2.93027, racer
2.20096, -5.38101, 2.76482, racer
1.80447, -5.35876, 2.49562, racer
2.51282, -5.20197, 2.59111, racer
3.51934, -5.58311, 2.77235, racer
4.18904, -5.90726, 2.77893, racer
5.35233, -5.83846, 2.91349, racer
6.11123, -5.84212, 3.25773, racer
7.06379, -5.66112, 3.42434, racer
7.2419, -5.21219, 3.01773, racer
7.44597, -5.60595, 3.19033, racer
7.7259, -6.73814, 3.18947, racer
7.76047, -7.76065, 2.97182, racer
8.45373, -8.25487, 2.97144, racer
9.39424, -8.36431, 2.95722, racer
9.48539, -8.35004, 2.96163, racer
8.49978, -8.44002, 3.05852, racer
7.82019, -8.81552, 3.07414, racer
6.98919, -8.78533, 2.86525, racer
6.16977, -9.10438, 2.84571, racer
5.98147, -9.67198, 2.7973, racer
5.5517, -10.4611, 2.76973, racer
5.30901, -10.3154, 2.7419, racer
5.13975, -9.1964, 2.42683, racer
4.8902, -8.39486, 2.40045, racer
4.44949, -7.55652, 2.5397, racer
4.0549, -6.90833, 2.44239, racer
2.97226, -6.50719, 2.79759, racer
1.98163, -6.59808, 3.01668, racer
1.53178, -6.71747, 2.96221, racer
0.955354, -6.87218, 2.71771, racer
0.939605, -7.85111, 2.66156, racer
1.09667, -8.50462, 2.63067, racer
1.35025, -8.84814, 2.38514, racer
1.80344, -8.28169, 2.73721, racer
1.93059, -7.43188, 2.99298, racer
2.31046, -6.83312, 2.59009, racer
3.1599, -7.06369, 2.41557, racer
3.67866, -7.44473, 2.67688, racer
4.38141, -8.11638, 2.6675, racer
4.51486, -8.95877, 2.40857, racer
4.44422, -9.44116, 2.39293, racer
3.94608, -8.84275, 2.65342, racer
3.33519, -8.21121, 2.48088, racer
2.34847, -8.56715, 2.53973, racer
1.55348, -9.06033, 2.35983, racer
0.747015, -9.17045, 2.29169, racer
-0.15819, -9.23788, 2.50796, racer
-0.695842, -8.82175, 2.52103, racer
-0.376589, -8.91783, 2.68443, racer
0.400913, -9.03906, 2.78597, racer
1.04232, -9.66254, 2.80532, racer
1.2657, -10.2594, 2.60174, racer
2.10027, -10.762, 2.54159, racer
3.21986, -10.975, 2.53035, racer
3.73717, -11.7286, 2.59413, racer
3.93471, -12.7211, 2.56434, racer
3.99458, -12.9106, 2.56348, racer
4.39984, -12.4488, 2.65276, racer
4.42857, -11.4589, 2.74096, racer
4.16898, -10.8072, 2.76669, racer
3.35401, -10.5244, 2.6171, racer
2.76852, -10.0431, 2.59313, racer
2.06682, -10.3778, 2.76473, racer
1.13412, -10.8224, 2.72397, racer
0.446176, -11.3476, 2.56813, racer
-0.180228, -11.6413, 2.60852, racer
-0.266447, -11.7095, 2.58691, racer
-0.980221, -12.2753, 2.46506, racer
-1.98892, -12.4679, 2.34818, racer
-2.4221, -13.1555, 2.22431, racer
-2.46131, -13.3351, 2.20742, racer
-1.86822, -13.3295, 2.31019, racer
-0.647314, -13.1976, 2.46235, racer
-0.133277, -12.8705, 2.32633, racer
0.705666, -12.9658, 2.68049, racer
1.26231, -13.508, 2.49421, racer
1.35278, -13.4358, 2.35955, racer
1.04972, -12.5274, 2.45799, racer
0.411021, -11.5185, 2.41506, racer
-0.316011, -11.4532, 2.65821, racer
-0.863901, -10.861, 2.37439, racer
-1.37043, -10.7338, 2.25003, racer
-2.26806, -10.9348, 2.33181, racer
-2.52286, -10.3176, 2.70985, racer
-2.53453, -10.2592, 2.72728, racer
-2.47146, -11.0348, 2.26433, racer
-2.5934, -11.9184, 2.22848, racer
-3.37444, -12.7149, 2.08518, racer
-3.58018, -13.4199, 1.94743, racer
-3.26013, -14.1576, 2.12934, racer
-2.73663, -14.7782, 2.32552, racer
-2.34198, -15.3532, 2.18568, racer
-2.37302, -15.3993, 2.18667, racer
-2.78598, -15.7909, 2.17712, racer
-2.68943, -16.4425, 2.14273, racer
-2.51611, -17.4825, 2.09924, racer
-3.05483, -17.895, 2.10966, racer
-3.98752, -18.3989, 2.17538, racer
-4.89, -18.026, 2.03801, racer
-5.58881, -17.5444, 2.00329, racer
-5.46478, -17.7031, 2.03052, racer
-5.19094, -18.7018, 2.23301, racer
-5.34101, -19.2658, 2.06197, racer
-5.46352, -20.1332, 2.0675, racer
-4.83425, -20.446, 2.05101, racer
-3.64147, -20.4698, 2.06225, racer
-2.93733, -20.4029, 2.21438, racer
-2.69864, -20.4003, 2.18971, racer
-3.53754, -20.5571, 2.28452, racer
-4.44494, -20.5996, 2.10945, racer
-5.27287, -19.9171, 2.25814, racer
-5.82456, -19.3633, 2.14793, racer
-6.35359, -18.7126, 1.91567, racer
-7.1554, -18.2257, 2.08973, racer
-7.39691, -18.1835, 2.09145, racer
-7.48607, -18.3571, 1.81867, racer
-7.93253, -17.6038, 1.96428, racer
-8.36171, -16.9944, 2.07618, racer
-9.15269, -16.5636, 1.97282, racer
-9.86884, -16.6822, 1.84411, racer
-9.93981, -16.7152, 1.85579, racer
-10.4578, -16.841, 1.80988, racer
-11.2016, -16.7382, 1.85389, racer
-11.4908, -16.2767, 1.69669, racer
-12.3784, -16.049, 1.65208, racer
-13.0299, -15.8526, 1.58648, racer
-12.9732, -15.9339, 1.20228, racer
-12.62, -16.5774, 1.5207, racer
-12.0816, -17.562, 1.63104, racer
-11.8387, -18.0402, 1.49437, racer
-11.756, -18.922, 1.6934, racer
-12.0823, -19.5066, 1.63991, racer
-12.1182, -20.1408, 1.46283, racer
-12.2901, -19.7222, 1.32514, racer
-12.7119, -18.8149, 1.22998, racer
-12.9495, -18.3577, 1.57792, racer
-13.5164, -17.9154, 1.59138, racer
-14.3254, -17.181, 1.36035, racer
-14.889, -16.9397, 1.2541, racer
-15.1851, -17.1199, 1.33064, racer
-14.6537, -17.6974, 1.49919, racer
-14.0882, -18.6145, 1.67119, racer
-13.6257, -19.2773, 1.67919, racer
-12.8859, -19.9632, 1.68556, racer
-12.2605, -20.4578, 1.57907, racer
-12.0713, -20.6174, 1.16867, racer
-12.4944, -20.5873, 1.41821, racer
-13.4515, -20.425, 1.74765, racer
-14.4756, -19.9112, 1.49615, racer
-15.1467, -19.7632, 1.28514, racer
-15.4021, -19.1652, 1.4975, racer
-15.4309, -19.0896, 1.5257, racer
-14.9657, -19.4483, 1.57872, racer
-14.4198, -19.8864, 1.51462, racer
-14.1301, -20.807, 1.62082, racer
-13.9189, -21.6061, 1.34788, racer
-13.1398, -21.4893, 1.46138, racer
-12.1386, -21.3331, 1.64849, racer
-12.0396, -21.3234, 1.65723, racer
-12.5937, -21.2218, 1.65005, racer
-13.4764, -20.7259, 1.61587, racer
-14.1818, -20.0805, 1.627, racer
-15.0493, -20.0685, 1.58601, racer
-15.7301, -19.9099, 1.30379, racer
-16.547, -19.7132, 1.29783, racer
-17.1617, -19.6246, 1.29494, racer
-17.6315, -19.3172, 1.17747, racer
-17.6751, -19.2569, 0.812172, racer
-17.6795, -19.0209, 1.01167, racer
-17.682, -18.0577, 1.03743, racer
-17.9531, -17.5883, 1.03994, racer
-19.0069, -17.6344, 1.14507, racer
-19.6574, -17.5794, 0.947841, racer
-19.8399, -16.9963, 1.10123, racer
-19.8361, -16.9484, 1.11068, racer
-19.8361, -16.9484, 1.11068, racer
-19.8361, -16.9484, 1.11068, racer
-19.8714, -16.9771, 1.13622, racer
-20.0615, -17.7, 1.23512, racer
-20.003, -18.6565, 1.05998, racer
-20.5784, -19.1603, 1.08017, racer
-20.8099, -19.94, 1.05578, racer
-20.7147, -20.3706, 1.04499, racer
-20.6375, -20.8363, 1.22384, racer
-20.6329, -20.7921, 1.20071, racer
-21.022, -19.9705, 1.2241, racer
-21.3951, -19.3474, 1.09325, racer
-21.9374, -18.794, 0.97153, racer
-21.5264, -18.1212, 1.00192, racer
-20.8854, -17.3967, 0.795737, racer
-20.5923, -16.6712, 1.11483, racer
-19.8047, -16.5034, 1.34111, racer
-19.3818, -17.099, 1.37383, racer
-19.3009, -17.2746, 1.37281, racer
-19.3447, -17.2178, 1.36542, racer
-19.8785, -16.5198, 1.18827, racer
-20.4914, -15.755, 1.12749, racer
-20.7764, -15.3371, 1.10503, racer
-21.0239, -14.5374, 1.25533, racer
-20.5491, -13.6112, 1.18326, racer
-20.194, -12.7738, 1.23046, racer
-19.4574, -12.6051, 1.3874, racer
-19.2606, -12.6158, 1.42717, racer
-19.4094, -12.6837, 1.39918, racer
-19.4135, -13.4161, 1.429, racer
-19.3847, -13.7927, 1.03719, racer
-19.6836, -14.4484, 1.1312, racer
-19.7599, -15.4747, 1.21484, racer
-20.3262, -16.0658, 1.34097, racer
-20.7767, -16.5923, 1.35724, racer
-20.8237, -16.6475, 1.35926, racer
-20.8442, -16.6512, 1.34476, racer
-21.2117, -16.647, 1.11534, racer
