Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
2.85, 166.792, 0.741298, 132.592, 34.2, 22333.2
52.86, 458.632, 2.03836, 395.04, 63.592, 22041.4
116.85, 785.48, 3.49102, 698.464, 87.016, 21714.5
179.83, 1031.74, 4.58553, 925.552, 106.192, 21468.3
243.83, 1121.51, 4.9845, 997.44, 124.072, 21378.5
309.86, 1156.2, 5.13867, 1031.99, 124.208, 21343.8
376.85, 1195.28, 5.31236, 1071.07, 124.208, 21304.7
439.83, 1385.58, 6.15812, 1253.06, 132.52, 21114.4
508.85, 1418.93, 6.30635, 1285.59, 133.336, 21081.1
574.85, 1506.09, 6.69372, 1372.75, 133.336, 20993.9
640.85, 1542.09, 6.85372, 1408.75, 133.336, 20957.9
703.83, 1573.73, 6.99435, 1437.44, 136.288, 20926.3
772.85, 1616.24, 7.18329, 1474.54, 141.696, 20883.8
839.85, 1616.5, 7.18446, 1474.82, 141.688, 20883.5
905.85, 1616.53, 7.18457, 1474.82, 141.704, 20883.5
971.85, 1616.58, 7.18478, 1474.87, 141.704, 20883.4
1034.83, 1616.58, 7.18478, 1474.87, 141.704, 20883.4
