Goal x, Goal y, Goal z, Planner
-0.5, -23, 3.8, racer
-0.5, -23, 3.8, racer
-0.5, -23, 3.8, racer
-0.40791, -23.0645, 3.79582, racer
-0.233945, -23.1862, 3.78699, racer
0.0435523, -23.1175, 3.78152, racer
0.273004, -22.9421, 3.79437, racer
0.49429, -22.3507, 3.87063, racer
0.563815, -22.2053, 3.88819, racer
-0.084122, -22.3736, 3.79675, racer
-1.24869, -22.2384, 3.74974, racer
-1.33526, -22.2064, 3.75426, racer
-1.33526, -22.2064, 3.75426, racer
-2.50604, -22.089, 3.6105, racer
-2.50604, -22.089, 3.6105, racer
-2.7519, -22.0016, 3.63116, racer
-3.79829, -22.1053, 3.32876, racer
-4.26225, -22.3464, 2.77085, racer
-3.69304, -22.2206, 2.25221, racer
-2.87208, -22.2705, 2.40551, racer
-2.14682, -23.3559, 2.81091, racer
-1.47417, -24.9132, 3.17593, racer
-1.49078, -26.4418, 3.30056, racer
-1.64472, -26.787, 3.28435, racer
-1.92709, -28.3073, 3.1692, racer
-1.4729, -28.3828, 3.18628, racer
-0.032168, -27.9513, 3.31157, racer
0.280266, -27.9313, 3.32102, racer
0.280266, -27.9313, 3.32102, racer
1.17809, -27.5078, 3.31595, racer
1.18235, -27.5072, 3.31581, racer
1.35646, -27.5924, 3.81179, racer
1.89006, -27.6561, 4.66624, racer
1.91845, -27.6676, 4.7633, racer
1.79731, -27.8865, 4.80937, racer
1.79731, -27.8865, 4.80937, racer
2.03386, -27.6287, 4.80227, racer
3.00022, -26.6815, 4.43955, racer
3.78158, -26.1983, 3.59312, racer
3.80084, -26.1905, 3.55317, racer
4.48706, -27.2092, 3.33671, racer
5.08898, -27.9269, 3.58825, racer
6.37928, -29.0584, 3.82703, racer
6.49939, -29.0885, 3.55736, racer
6.49939, -29.0885, 3.55736, racer
7.26465, -28.9593, 3.34607, racer
7.59446, -29.0082, 3.69783, racer
8.70563, -29.0665, 4.82761, racer
9.88431, -28.9007, 4.64465, racer
10.5251, -28.6536, 4.07563, racer
10.711, -27.4995, 3.57105, racer
10.6684, -27.3307, 3.57842, racer
10.5867, -25.781, 3.69265, racer
11.0407, -25.441, 3.61046, racer
11.0407, -25.441, 3.61046, racer
11.8431, -25.1301, 3.37748, racer
11.2077, -24.8447, 3.34045, racer
10.2047, -24.7173, 3.37468, racer
9.98608, -24.9442, 3.41034, racer
9.98608, -24.9442, 3.41034, racer
10.6606, -25.446, 3.47378, racer
10.879, -25.4756, 3.48076, racer
10.879, -25.4756, 3.48076, racer
12.5851, -25.7887, 3.61773, racer
14.0639, -25.7401, 3.66659, racer
14.3516, -25.7399, 3.655, racer
14.3516, -25.7399, 3.655, racer
14.8527, -26.0811, 3.66977, racer
15.0015, -27.3536, 3.6871, racer
14.7093, -28.3794, 3.72912, racer
14.7751, -28.6547, 3.78297, racer
14.8048, -27.9131, 4.2737, racer
14.7479, -26.758, 4.69575, racer
14.8219, -26.4534, 4.67402, racer
15.3015, -26.2654, 4.52483, racer
15.9178, -25.7758, 3.88333, racer
15.3509, -24.7986, 3.38045, racer
14.6083, -24.3849, 3.23714, racer
14.5725, -24.7206, 3.5392, racer
15.1602, -24.721, 3.49065, racer
17.0754, -24.6067, 3.46603, racer
18.0582, -24.5135, 3.69724, racer
19.529, -24.3944, 3.85615, racer
19.529, -24.3944, 3.85615, racer
19.529, -24.3944, 3.85615, racer
19.5609, -25.9913, 3.78383, racer
19.4386, -26.7833, 3.8296, racer
19.4266, -26.8703, 3.83856, racer
19.4266, -26.8703, 3.83856, racer
18.9177, -27.9673, 3.80426, racer
18.0485, -28.8844, 3.96267, racer
18.3243, -28.5502, 4.16283, racer
19.4789, -27.9415, 4.22744, racer
20.9873, -28.0984, 4.11423, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
22.2654, -28.9477, 3.98589, racer
