Iteration, Path length, Time, Planning, Flying
1, 0, 0.86, 0.85, 0
2, 0, 1.86, 1.85, 0
3, 0, 2.86, 2.85, 0
4, 0, 3.86, 3.85, 0
5, 0, 4.86, 4.85, 0
6, 0, 5.86, 5.85, 0
7, 0, 6.86, 6.85, 0
8, 0, 7.86, 7.85, 0
9, 0, 8.86, 8.85, 0
10, 0.0281802, 9.86, 9.77, 0.08
11, 0.99371, 10.86, 9.81, 1.04
12, 3.04877, 11.86, 10.07, 1.78
13, 3.69367, 12.86, 10.63, 2.22
14, 3.69367, 13.86, 11.63, 2.22
15, 4.4576, 14.86, 11.89, 2.96
16, 5.86151, 15.86, 11.95, 3.9
17, 6.61304, 16.86, 11.95, 4.9
18, 7.35642, 17.86, 12.51, 5.34
19, 7.52239, 18.86, 13.29, 5.56
20, 9.24327, 19.86, 13.75, 6.1
21, 10.6855, 20.86, 13.87, 6.98
22, 11.607, 21.86, 13.89, 7.96
23, 12.4224, 22.86, 13.89, 8.96
24, 13.6684, 23.86, 14.07, 9.78
25, 14.6687, 24.86, 14.15, 10.7
26, 15.6177, 25.86, 14.17, 11.68
27, 16.5125, 26.86, 14.23, 12.62
28, 17.4703, 27.86, 14.23, 13.62
29, 18.8818, 28.86, 14.25, 14.6
30, 20.3777, 29.86, 14.35, 15.5
31, 21.8478, 30.86, 14.77, 16.08
32, 23.6767, 31.86, 15.01, 16.84
33, 25.1988, 32.86, 15.01, 17.84
34, 26.4981, 33.86, 15.49, 18.36
35, 28.1253, 34.86, 15.51, 19.34
36, 28.83, 35.86, 16.07, 19.78
37, 30.0734, 36.86, 16.59, 20.26
38, 30.8244, 37.86, 16.75, 21.1
39, 32.4251, 38.86, 16.97, 21.88
40, 33.4831, 39.86, 17.11, 22.74
41, 34.9252, 40.86, 17.71, 23.14
42, 36.0985, 41.86, 17.89, 23.96
43, 36.0985, 42.86, 18.89, 23.96
44, 38.575, 43.86, 19.15, 24.7
45, 39.3906, 44.86, 19.17, 25.68
46, 40.2276, 45.86, 19.31, 26.54
47, 41.8233, 46.86, 19.31, 27.54
48, 42.6558, 47.86, 19.83, 28.02
49, 43.733, 48.86, 20.71, 28.14
50, 44.1463, 49.86, 21.23, 28.62
51, 44.5095, 50.86, 21.95, 28.9
52, 45.5988, 51.86, 21.95, 29.9
53, 46.4707, 52.86, 22.23, 30.62
54, 47.7543, 53.86, 22.57, 31.28
55, 47.7905, 54.86, 23.51, 31.34
56, 47.7905, 55.86, 24.51, 31.34
57, 48.8157, 56.86, 25.45, 31.4
58, 50.5506, 57.86, 25.47, 32.38
59, 51.6499, 58.86, 25.47, 33.38
60, 51.6672, 59.86, 26.43, 33.42
61, 51.9305, 60.86, 27.41, 33.44
62, 51.9305, 61.86, 28.41, 33.44
63, 51.9305, 62.86, 29.41, 33.44
64, 52.3601, 63.86, 30.03, 33.82
65, 53.4563, 64.86, 30.03, 34.82
66, 53.8915, 65.86, 30.37, 35.48
67, 53.9316, 66.86, 31.03, 35.82
68, 53.9316, 67.86, 32.03, 35.82
69, 53.9316, 68.86, 33.03, 35.82
70, 53.9316, 69.86, 34.03, 35.82
71, 55.6489, 70.86, 34.15, 36.7
72, 57.48, 71.86, 34.31, 37.54
73, 57.48, 72.86, 35.31, 37.54
74, 57.48, 73.86, 36.31, 37.54
75, 58.6616, 74.86, 37.29, 37.56
76, 58.6616, 75.86, 38.29, 37.56
77, 58.6616, 76.86, 39.29, 37.56
78, 59.7765, 77.86, 39.65, 38.2
79, 60.961, 78.86, 39.65, 39.2
80, 62.4127, 79.86, 39.75, 40.1
81, 63.0419, 80.86, 40.39, 40.46
82, 63.3588, 81.86, 41.13, 40.72
83, 63.3588, 82.86, 42.13, 40.72
84, 63.3588, 83.86, 43.13, 40.72
85, 63.6719, 84.86, 43.61, 41.24
86, 64.845, 85.86, 43.65, 42.2
87, 65.2715, 86.86, 43.99, 42.86
88, 65.5183, 87.86, 44.33, 43.52
89, 66.7052, 88.86, 44.35, 44.5
90, 67.8952, 89.86, 44.35, 45.5
91, 67.9605, 90.86, 45.25, 45.6
92, 67.9605, 91.86, 46.25, 45.6
93, 69.6301, 92.86, 46.95, 45.9
94, 70.3089, 93.86, 47.41, 46.44
95, 71.1142, 94.86, 47.51, 47.34
96, 72.5202, 95.86, 47.53, 48.32
97, 73.7661, 96.86, 47.57, 49.28
98, 74.1098, 97.86, 47.69, 50.16
99, 74.192, 98.86, 48.45, 50.4
100, 74.192, 99.86, 49.45, 50.4
101, 74.192, 100.86, 50.45, 50.4
102, 76.5718, 101.86, 50.93, 50.92
103, 77.9439, 102.86, 51.03, 51.82
104, 78.5485, 103.86, 51.03, 52.82
105, 79.7471, 104.86, 51.07, 53.78
106, 79.7471, 105.86, 52.07, 53.78
107, 82.4805, 106.86, 52.51, 54.34
108, 84.2073, 107.86, 52.51, 55.34
109, 84.6078, 108.86, 53.15, 55.7
110, 85.0381, 109.86, 53.73, 56.12
111, 85.6259, 110.86, 53.75, 57.1
112, 87.0614, 111.86, 53.75, 58.1
113, 88.6073, 112.86, 53.77, 59.08
114, 89.5688, 113.86, 53.79, 60.06
115, 89.7122, 114.86, 54.57, 60.28
116, 89.7122, 115.86, 55.57, 60.28
117, 89.7122, 116.86, 56.57, 60.28
118, 89.7122, 117.86, 57.57, 60.28
119, 89.7122, 118.86, 58.57, 60.28
120, 89.7122, 119.86, 59.57, 60.28
121, 89.7122, 120.86, 60.57, 60.28
122, 89.7122, 121.86, 61.57, 60.28
123, 89.7122, 122.86, 62.57, 60.28
124, 89.7122, 123.86, 63.57, 60.28
125, 89.7122, 124.86, 64.57, 60.28
126, 89.7122, 125.86, 65.57, 60.28
127, 89.7122, 126.86, 66.57, 60.28
128, 89.7122, 127.86, 67.57, 60.28
129, 89.7122, 128.86, 68.57, 60.28
130, 89.7122, 129.86, 69.57, 60.28
131, 89.7122, 130.86, 70.57, 60.28
132, 89.7122, 131.86, 71.57, 60.28
133, 89.7122, 132.86, 72.57, 60.28
134, 89.7122, 133.86, 73.57, 60.28
135, 89.7122, 134.86, 74.57, 60.28
136, 89.7122, 135.86, 75.57, 60.28
137, 89.7122, 136.86, 76.57, 60.28
138, 89.7122, 137.86, 77.57, 60.28
139, 89.7122, 138.86, 78.57, 60.28
140, 89.7122, 139.86, 79.57, 60.28
141, 89.7122, 140.86, 80.57, 60.28
142, 89.7122, 141.86, 81.57, 60.28
143, 89.7122, 142.86, 82.57, 60.28
144, 89.7122, 143.86, 83.57, 60.28
145, 89.7122, 144.86, 84.57, 60.28
146, 89.7122, 145.86, 85.57, 60.28
147, 89.7122, 146.86, 86.57, 60.28
148, 89.7122, 147.86, 87.57, 60.28
149, 89.7122, 148.86, 88.57, 60.28
150, 89.7122, 149.86, 89.57, 60.28
151, 89.7122, 150.86, 90.57, 60.28
152, 89.7122, 151.86, 91.57, 60.28
153, 89.7122, 152.86, 92.57, 60.28
154, 89.7122, 153.86, 93.57, 60.28
155, 89.7122, 154.86, 94.57, 60.28
156, 89.7122, 155.86, 95.57, 60.28
157, 89.7122, 156.86, 96.57, 60.28
158, 89.7122, 157.86, 97.57, 60.28
159, 89.7122, 158.86, 98.57, 60.28
160, 89.7122, 159.86, 99.57, 60.28
161, 89.7122, 160.86, 100.57, 60.28
162, 89.7122, 161.86, 101.57, 60.28
163, 89.7122, 162.86, 102.57, 60.28
164, 89.7122, 163.86, 103.57, 60.28
165, 89.7122, 164.86, 104.57, 60.28
166, 89.7122, 165.86, 105.57, 60.28
167, 89.7122, 166.86, 106.57, 60.28
168, 89.7122, 167.86, 107.57, 60.28
169, 89.7122, 168.86, 108.57, 60.28
170, 89.7122, 169.86, 109.57, 60.28
171, 89.7122, 170.86, 110.57, 60.28
172, 89.7122, 171.86, 111.57, 60.28
173, 89.7122, 172.86, 112.57, 60.28
174, 89.7122, 173.86, 113.57, 60.28
175, 89.7122, 174.86, 114.57, 60.28
176, 89.7122, 175.86, 115.57, 60.28
177, 89.7122, 176.86, 116.57, 60.28
178, 89.7122, 177.86, 117.57, 60.28
179, 89.7122, 178.86, 118.57, 60.28
180, 89.7122, 179.86, 119.57, 60.28
181, 89.7122, 180.86, 120.57, 60.28
182, 89.7122, 181.86, 121.57, 60.28
183, 89.7122, 182.86, 122.57, 60.28
184, 89.7122, 183.86, 123.57, 60.28
185, 89.7122, 184.86, 124.57, 60.28
186, 89.7122, 185.86, 125.57, 60.28
187, 89.7122, 186.86, 126.57, 60.28
188, 89.7122, 187.86, 127.57, 60.28
189, 89.7122, 188.86, 128.57, 60.28
190, 89.7122, 189.86, 129.57, 60.28
191, 89.7122, 190.86, 130.57, 60.28
192, 89.7122, 191.86, 131.57, 60.28
193, 89.7122, 192.86, 132.57, 60.28
194, 89.7122, 193.86, 133.57, 60.28
195, 89.7122, 194.86, 134.57, 60.28
196, 89.7122, 195.86, 135.57, 60.28
197, 89.7122, 196.86, 136.57, 60.28
198, 89.7122, 197.86, 137.57, 60.28
199, 89.7122, 198.86, 138.57, 60.28
200, 89.7122, 199.86, 139.57, 60.28
201, 89.7122, 200.86, 140.57, 60.28
202, 89.7122, 201.86, 141.57, 60.28
203, 89.7122, 202.86, 142.57, 60.28
204, 89.7122, 203.86, 143.57, 60.28
205, 89.7122, 204.86, 144.57, 60.28
206, 89.7122, 205.86, 145.57, 60.28
207, 89.7122, 206.86, 146.57, 60.28
208, 89.7122, 207.86, 147.57, 60.28
209, 89.7122, 208.86, 148.57, 60.28
210, 89.7122, 209.86, 149.57, 60.28
211, 89.7122, 210.86, 150.57, 60.28
212, 89.7122, 211.86, 151.57, 60.28
213, 89.7122, 212.86, 152.57, 60.28
214, 89.7122, 213.86, 153.57, 60.28
215, 89.7122, 214.86, 154.57, 60.28
216, 89.7122, 215.86, 155.57, 60.28
217, 89.7122, 216.86, 156.57, 60.28
218, 89.7122, 217.86, 157.57, 60.28
219, 89.7122, 218.86, 158.57, 60.28
220, 89.7122, 219.86, 159.57, 60.28
221, 89.7122, 220.86, 160.57, 60.28
222, 89.7122, 221.86, 161.57, 60.28
223, 89.7122, 222.86, 162.57, 60.28
224, 89.7122, 223.86, 163.57, 60.28
225, 89.7122, 224.86, 164.57, 60.28
226, 89.7122, 225.86, 165.57, 60.28
227, 89.7122, 226.86, 166.57, 60.28
228, 89.7122, 227.86, 167.57, 60.28
229, 89.7122, 228.86, 168.57, 60.28
230, 89.7122, 229.86, 169.57, 60.28
231, 89.7122, 230.86, 170.57, 60.28
232, 89.7122, 231.86, 171.57, 60.28
233, 89.7122, 232.86, 172.57, 60.28
234, 89.7122, 233.86, 173.57, 60.28
235, 89.7122, 234.86, 174.57, 60.28
236, 89.7122, 235.86, 175.57, 60.28
237, 89.7122, 236.86, 176.57, 60.28
