Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
1.884, 18.872, 0.108835, 13.184, 5.688, 17321.1
2.884, 20.176, 0.116355, 13.984, 6.192, 17319.8
2.884, 23.008, 0.132687, 16.032, 6.976, 17317
4.884, 33.896, 0.195479, 23.28, 10.616, 17306.1
5.884, 34.816, 0.200784, 23.912, 10.904, 17305.2
5.884, 43.792, 0.252549, 29.144, 14.648, 17296.2
5.884, 44.344, 0.255732, 29.6, 14.744, 17295.7
9.884, 44.856, 0.258685, 30.072, 14.784, 17295.1
10.884, 45.456, 0.262145, 30.624, 14.832, 17294.5
10.884, 46.024, 0.265421, 30.824, 15.2, 17294
13.884, 48.872, 0.281845, 32.968, 15.904, 17291.1
14.884, 49.272, 0.284152, 33.24, 16.032, 17290.7
14.884, 50.784, 0.292872, 34.472, 16.312, 17289.2
17.884, 52.352, 0.301915, 36.016, 16.336, 17287.6
18.885, 54.888, 0.31654, 38.232, 16.656, 17285.1
18.885, 57.648, 0.332457, 41.016, 16.632, 17282.4
18.885, 58.704, 0.338547, 41.808, 16.896, 17281.3
22.884, 60.288, 0.347682, 43.496, 16.792, 17279.7
22.884, 63.176, 0.364337, 46.04, 17.136, 17276.8
22.884, 65.08, 0.375317, 47.84, 17.24, 17274.9
26.884, 65.616, 0.378408, 48.312, 17.304, 17274.4
26.884, 65.816, 0.379562, 48.496, 17.32, 17274.2
26.884, 66.664, 0.384452, 49.312, 17.352, 17273.3
30.884, 72.408, 0.417578, 52.856, 19.552, 17267.6
30.884, 77.08, 0.444521, 56.64, 20.44, 17262.9
30.884, 81.264, 0.468651, 60.472, 20.792, 17258.7
34.884, 83.896, 0.483829, 62.84, 21.056, 17256.1
34.884, 86.192, 0.49707, 64.96, 21.232, 17253.8
34.884, 88.296, 0.509204, 66.936, 21.36, 17251.7
38.884, 92.776, 0.53504, 70.952, 21.824, 17247.2
38.884, 96.512, 0.556586, 74.392, 22.12, 17243.5
41.884, 98.904, 0.570381, 76.576, 22.328, 17241.1
42.885, 100.6, 0.580161, 77.736, 22.864, 17239.4
42.885, 105.528, 0.608581, 81.04, 24.488, 17234.5
45.884, 111.8, 0.644752, 86.832, 24.968, 17228.2
46.884, 113.848, 0.656563, 89.528, 24.32, 17226.2
46.884, 116.824, 0.673725, 92.192, 24.632, 17223.2
49.884, 118.28, 0.682122, 93.624, 24.656, 17221.7
50.884, 119.112, 0.68692, 94.584, 24.528, 17220.9
50.884, 122.592, 0.70699, 97.6, 24.992, 17217.4
53.884, 122.68, 0.707497, 97.44, 25.24, 17217.3
54.884, 123.128, 0.710081, 98.016, 25.112, 17216.9
54.884, 127.544, 0.735548, 102.68, 24.864, 17212.5
57.884, 127.784, 0.736932, 102.576, 25.208, 17212.2
57.884, 130.328, 0.751603, 105.152, 25.176, 17209.7
60.884, 130.784, 0.754233, 105.752, 25.032, 17209.2
61.884, 132.232, 0.762584, 107.36, 24.872, 17207.8
61.884, 132.872, 0.766275, 107.912, 24.96, 17207.1
64.884, 133.4, 0.769319, 108.248, 25.152, 17206.6
64.884, 136.608, 0.78782, 110.728, 25.88, 17203.4
64.884, 139.112, 0.802261, 112.016, 27.096, 17200.9
68.884, 139.16, 0.802537, 112.032, 27.128, 17200.8
68.884, 147.08, 0.848212, 119.76, 27.32, 17192.9
68.884, 147.624, 0.851349, 120.768, 26.856, 17192.4
72.884, 149.6, 0.862745, 122.944, 26.656, 17190.4
72.884, 149.64, 0.862976, 122.912, 26.728, 17190.4
75.884, 149.688, 0.863253, 122.672, 27.016, 17190.3
75.884, 150.328, 0.866943, 123.32, 27.008, 17189.7
75.884, 150.608, 0.868558, 123.024, 27.584, 17189.4
79.885, 151.688, 0.874787, 123.824, 27.864, 17188.3
79.885, 154.48, 0.890888, 127.136, 27.344, 17185.5
82.884, 154.528, 0.891165, 127.208, 27.32, 17185.5
82.884, 157.808, 0.910081, 129.696, 28.112, 17182.2
85.884, 166.952, 0.962814, 138.112, 28.84, 17173
86.884, 168.704, 0.972918, 140.048, 28.656, 17171.3
86.884, 170.24, 0.981776, 141.784, 28.456, 17169.8
89.884, 171.32, 0.988005, 143.12, 28.2, 17168.7
89.884, 171.712, 0.990265, 143.552, 28.16, 17168.3
92.885, 172.2, 0.99308, 144.184, 28.016, 17167.8
93.884, 173.696, 1.00171, 145.832, 27.864, 17166.3
93.884, 175.28, 1.01084, 147.504, 27.776, 17164.7
96.884, 175.304, 1.01098, 147.736, 27.568, 17164.7
96.884, 176.352, 1.01702, 147.976, 28.376, 17163.6
99.884, 193.2, 1.11419, 161.688, 31.512, 17146.8
99.884, 205.344, 1.18422, 172.624, 32.72, 17134.7
