Iteration, Path length, Time, Planning, Flying
1, 0.112342, 0.937, 0.328, 0.6
2, 0.57393, 1.937, 0.348, 1.58
3, 1.02646, 2.937, 0.348, 2.58
4, 1.91716, 3.937, 0.348, 3.58
5, 1.98872, 4.937, 0.947, 3.98
6, 2.05744, 5.937, 1.669, 4.258
7, 2.94225, 6.937, 1.669, 5.259
8, 4.35666, 7.937, 1.689, 6.238
9, 4.93779, 8.937, 1.709, 7.218
10, 6.0812, 9.937, 1.709, 8.219
11, 7.27624, 10.937, 1.709, 9.219
12, 7.92853, 11.938, 1.709, 10.218
13, 8.9108, 12.937, 1.709, 11.219
14, 9.84808, 13.937, 1.709, 12.22
15, 10.5889, 14.937, 1.709, 13.218
16, 12.0571, 15.937, 1.709, 14.218
17, 12.6121, 16.937, 1.709, 15.219
18, 13.4035, 17.937, 1.709, 16.218
19, 14.2292, 18.937, 1.709, 17.219
20, 14.9696, 19.937, 1.709, 18.218
21, 15.5588, 20.938, 1.709, 19.219
22, 16.7101, 21.937, 1.709, 20.218
23, 17.3127, 22.937, 1.709, 21.218
24, 18.8926, 23.937, 1.709, 22.218
25, 19.5373, 24.937, 1.709, 23.218
26, 20.1895, 25.937, 1.709, 24.218
27, 20.5426, 26.937, 1.709, 25.218
28, 21.43, 27.937, 1.849, 26.078
29, 21.438, 28.937, 2.85, 26.078
30, 21.5677, 29.937, 3.45, 26.477
31, 22.3491, 30.937, 3.45, 27.478
32, 22.6864, 31.937, 3.45, 28.478
33, 23.7177, 32.937, 3.45, 29.478
34, 24.7944, 33.937, 3.45, 30.478
35, 25.9841, 34.938, 3.45, 31.478
36, 26.4883, 35.937, 3.45, 32.478
37, 27.3005, 36.937, 3.45, 33.478
38, 27.6682, 37.938, 3.89, 34.038
39, 27.6814, 38.938, 4.889, 34.038
40, 27.8372, 39.938, 5.231, 34.697
41, 28.6065, 40.937, 5.231, 35.696
42, 29.194, 41.937, 5.231, 36.697
43, 29.8073, 42.937, 5.251, 37.677
44, 30.5886, 43.937, 5.251, 38.677
45, 32.032, 44.937, 5.251, 39.677
46, 33.0595, 45.937, 5.251, 40.677
47, 33.7842, 46.937, 5.251, 41.676
48, 34.6203, 47.937, 5.251, 42.677
49, 35.2503, 48.937, 5.391, 43.537
50, 35.4041, 49.937, 5.671, 44.257
51, 35.9859, 50.937, 5.671, 45.257
52, 37.024, 51.937, 5.671, 46.257
53, 38.0451, 52.937, 5.671, 47.257
54, 38.754, 53.937, 5.671, 48.256
55, 39.3163, 54.937, 5.691, 49.237
56, 40.5353, 55.937, 5.691, 50.236
57, 41.4738, 56.937, 5.711, 51.217
58, 42.0951, 57.937, 5.711, 52.216
59, 42.6846, 58.937, 5.711, 53.217
60, 43.8268, 59.937, 5.711, 54.216
61, 44.32, 60.937, 5.711, 55.217
62, 45.0007, 61.937, 5.711, 56.216
63, 45.5405, 62.938, 5.711, 57.216
64, 46.6154, 63.937, 5.731, 58.197
65, 47.5319, 64.937, 5.731, 59.197
