Goal x, Goal y, Goal z, Planner
10.7183, 13.8161, 6.80013, racer
11.103, 14.1269, 6.80009, racer
11.0905, 14.1169, 6.80008, racer
11.0949, 14.1109, 6.80007, racer
11.1349, 13.8912, 6.80002, racer
11.174, 13.6646, 6.80001, racer
11.1803, 13.7077, 6.8, racer
11.1924, 13.8614, 6.8, racer
11.1911, 13.8491, 6.8, racer
11.1906, 13.8397, 6.8, racer
11.1949, 13.8675, 6.80056, racer
10.7368, 13.4952, 6.61373, racer
9.72766, 12.6482, 6.60909, racer
9.63737, 13.159, 6.47234, racer
9.2119, 13.8267, 6.80229, racer
8.23822, 13.9174, 6.98492, racer
8.11527, 14.6906, 6.42014, racer
7.90897, 14.4384, 6.41223, racer
7.71073, 13.4412, 6.6295, racer
7.76287, 13.5719, 6.39354, racer
7.86343, 14.3123, 6.47743, racer
7.8715, 14.3312, 6.44712, racer
7.78693, 14.288, 6.50102, racer
6.96391, 14.0206, 7.26195, racer
6.49552, 13.5926, 7.28462, racer
6.50212, 13.383, 6.9014, racer
6.49768, 13.4443, 7.02246, racer
6.49421, 13.49, 7.11157, racer
6.46107, 13.5126, 7.16212, racer
5.8189, 13.3805, 6.99652, racer
4.88627, 13.2628, 6.81818, racer
4.55354, 12.7174, 6.70178, racer
4.3634, 12.3881, 6.65572, racer
4.72833, 13.0154, 6.72161, racer
5.34305, 14.2356, 7.20654, racer
5.14001, 14.5088, 7.36764, racer
4.03777, 13.7735, 7.07031, racer
3.0883, 12.8659, 6.68093, racer
3.12104, 12.5919, 6.49911, racer
3.5372, 12.4256, 6.45232, racer
2.74665, 11.9939, 6.15813, racer
2.06039, 11.8425, 5.66303, racer
2.36053, 12.1461, 6.00895, racer
3.30126, 12.1395, 6.70912, racer
4.05673, 12.0355, 6.84213, racer
3.53501, 12.5609, 6.68152, racer
2.17984, 12.9103, 6.44429, racer
1.1348, 12.6442, 6.06311, racer
1.01763, 13.023, 5.50851, racer
1.48004, 13.4768, 5.27568, racer
1.6753, 12.9587, 6.1111, racer
1.70692, 12.8335, 6.41371, racer
1.74519, 13.6903, 6.39827, racer
2.01781, 14.6142, 6.4926, racer
2.77345, 14.2573, 6.59105, racer
3.59796, 14.1319, 6.61983, racer
3.96921, 14.5185, 6.59841, racer
3.12412, 14.4029, 6.59628, racer
2.14908, 13.8938, 6.74139, racer
1.9665, 13.5727, 6.92537, racer
2.18392, 13.6829, 6.89046, racer
1.87677, 13.2871, 6.47831, racer
1.06379, 12.3951, 5.67745, racer
1.11345, 12.3959, 6.2871, racer
1.48458, 12.685, 7.08665, racer
1.64866, 13.0015, 6.50393, racer
1.64781, 13.0536, 6.11352, racer
1.14952, 12.292, 6.36972, racer
1.09499, 12.2104, 6.39155, racer
1.07486, 12.2308, 6.38104, racer
0.349425, 12.8307, 6.28523, racer
-1.05493, 13.4473, 6.15023, racer
-1.52335, 13.4488, 6.23357, racer
-0.408265, 13.1764, 6.22532, racer
-0.0836835, 13.6486, 6.63063, racer
-0.343622, 14.0383, 6.77085, racer
-0.263047, 13.4305, 6.41303, racer
-0.230256, 13.1934, 6.27537, racer
-0.22996, 13.1847, 6.26968, racer
-0.113395, 12.9224, 6.20351, racer
0.209183, 12.3825, 5.92089, racer
0.206788, 12.3758, 5.92226, racer
0.268708, 12.342, 5.89104, racer
0.782319, 12.1053, 5.65379, racer
1.59105, 12.0016, 5.70769, racer
1.78484, 12.7271, 6.62764, racer
1.57802, 13.0238, 6.8834, racer
1.1757, 12.2859, 6.08927, racer
1.09168, 12.0009, 5.57658, racer
1.19829, 12.313, 6.06248, racer
1.3027, 12.5911, 6.35739, racer
1.53493, 13.2307, 6.5238, racer
1.97048, 13.2574, 6.7234, racer
2.82877, 13.5661, 6.38068, racer
3.20184, 13.2469, 6.50277, racer
3.17477, 12.1027, 7.08364, racer
2.80835, 12.1119, 7.06033, racer
2.4955, 13.1064, 6.71051, racer
2.42289, 13.3456, 6.62992, racer
2.42652, 13.3274, 6.63491, racer
2.2266, 13.5166, 6.68724, racer
1.21575, 14.4165, 7.36154, racer
0.707837, 14.6356, 7.34234, racer
1.0783, 13.9127, 6.414, racer
1.16126, 13.626, 5.85847, racer
0.40412, 14.2265, 5.55725, racer
-0.592582, 15.486, 6.06988, racer
-0.540565, 15.6867, 6.60482, racer
0.398927, 14.7688, 6.76183, racer
0.878115, 14.2492, 6.80548, racer
0.878824, 14.2484, 6.80585, racer
0.903923, 14.2024, 6.81097, racer
0.755632, 13.9762, 6.66058, racer
0.366724, 13.7304, 6.35164, racer
0.975688, 14.2294, 6.86608, racer
1.5958, 14.5752, 7.47894, racer
0.807672, 13.6125, 7.06, racer
-0.155831, 12.8425, 6.69708, racer
-0.426475, 12.9519, 6.61424, racer
-0.870587, 13.199, 6.59759, racer
-1.27945, 13.5573, 6.67915, racer
-1.27365, 13.5547, 6.67828, racer
-1.05591, 13.4277, 6.65963, racer
-0.0146734, 12.577, 6.51944, racer
0.339231, 12.3146, 6.5213, racer
-0.61432, 13.186, 6.69841, racer
-1.19869, 13.6825, 6.71335, racer
-1.18788, 13.6771, 6.71484, racer
-1.19114, 13.6526, 6.70506, racer
-0.543334, 13.1248, 6.69294, racer
-0.550284, 13.1306, 6.693, racer
-0.54647, 13.1736, 6.66954, racer
-0.114127, 13.7851, 6.47965, racer
0.66908, 13.7374, 6.80332, racer
0.971422, 13.0666, 7.01419, racer
1.40574, 12.9973, 6.71211, racer
2.55909, 13.2134, 6.43475, racer
2.63707, 13.5468, 6.90798, racer
2.38999, 13.6296, 7.15786, racer
2.09262, 13.4173, 7.09278, racer
1.8593, 13.0392, 6.53227, racer
1.86332, 13.0439, 6.53708, racer
1.77052, 13.1725, 6.5383, racer
0.911755, 14.1156, 6.52842, racer
0.305166, 14.534, 6.22589, racer
0.50504, 13.7225, 5.85305, racer
0.424724, 13.4375, 5.5552, racer
-0.14646, 13.315, 5.12793, racer
-0.134288, 13.3099, 5.13407, racer
-0.0967541, 13.3901, 5.18819, racer
0.367387, 13.6352, 5.49013, racer
0.668246, 13.6034, 6.06201, racer
0.371713, 13.1698, 6.0666, racer
-0.771695, 13.0702, 6.37367, racer
-1.13081, 13.4446, 6.81833, racer
-0.229527, 13.5476, 6.34383, racer
0.573958, 13.4666, 6.1135, racer
0.625329, 13.461, 6.14076, racer
0.335977, 13.2239, 6.04168, racer
-0.23359, 12.9883, 5.96461, racer
