Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
1.877, 19.192, 0.110681, 14.104, 5.088, 17320.8
2.877, 37.336, 0.215317, 27.84, 9.496, 17302.7
3.877, 62.192, 0.358662, 45.896, 16.296, 17277.8
4.877, 80.504, 0.464268, 59.096, 21.408, 17259.5
4.877, 85.736, 0.494441, 63.112, 22.624, 17254.3
7.877, 87.824, 0.506482, 64.848, 22.976, 17252.2
7.877, 93.032, 0.536517, 69.008, 24.024, 17247
7.882, 104.768, 0.604198, 78.968, 25.8, 17235.2
11.877, 114.072, 0.657855, 85.264, 28.808, 17225.9
11.877, 118.584, 0.683875, 88.52, 30.064, 17221.4
14.878, 121.784, 0.70233, 90.144, 31.64, 17218.2
15.877, 124.888, 0.720231, 93.472, 31.416, 17215.1
15.877, 127.352, 0.734441, 96.096, 31.256, 17212.6
18.877, 129.128, 0.744683, 97.52, 31.608, 17210.9
19.878, 131.016, 0.755571, 99.192, 31.824, 17209
19.878, 133.72, 0.771165, 101.568, 32.152, 17206.3
22.877, 136.384, 0.786528, 103.896, 32.488, 17203.6
22.877, 139.888, 0.806736, 107.656, 32.232, 17200.1
22.882, 148.344, 0.855502, 116.664, 31.68, 17191.7
26.877, 149.28, 0.8609, 117.752, 31.528, 17190.7
26.877, 150.176, 0.866067, 117.864, 32.312, 17189.8
29.877, 150.456, 0.867682, 117.768, 32.688, 17189.5
29.877, 150.552, 0.868235, 117.616, 32.936, 17189.4
32.877, 152.384, 0.8788, 119.184, 33.2, 17187.6
33.877, 157.232, 0.906759, 123.208, 34.024, 17182.8
33.877, 167.328, 0.964983, 130.928, 36.4, 17172.7
36.877, 173.096, 0.998247, 135.232, 37.864, 17166.9
36.877, 182.256, 1.05107, 141.88, 40.376, 17157.7
39.877, 185.16, 1.06782, 144.424, 40.736, 17154.8
40.877, 207.416, 1.19617, 162.904, 44.512, 17132.6
40.877, 215.12, 1.2406, 170.832, 44.288, 17124.9
43.877, 217.6, 1.2549, 172.736, 44.864, 17122.4
43.877, 222.8, 1.28489, 177.88, 44.92, 17117.2
46.877, 230.84, 1.33126, 185.152, 45.688, 17109.2
