Goal x, Goal y, Goal z, Planner
10.0152, -12.0063, 1.00959, racer
10.3603, -12.1181, 1.06637, racer
10.4928, -11.9214, 1.01296, racer
10.3046, -11.6424, 1.04486, racer
10.3043, -12.1896, 1.19567, racer
10.4079, -12.2041, 1.21324, racer
11.1003, -11.8314, 1.62506, racer
11.9647, -11.8728, 1.97607, racer
12.5641, -12.5349, 2.09903, racer
12.655, -13.3648, 2.27922, racer
12.7022, -14.3299, 2.11554, racer
12.7358, -14.3398, 1.95625, racer
12.6289, -13.6254, 1.81805, racer
12.8007, -13.2493, 1.94757, racer
13.734, -13.273, 2.11894, racer
14.5402, -13.3273, 1.90259, racer
14.4392, -13.0778, 1.08684, racer
14.0584, -13.1703, 0.935591, racer
14.3735, -13.636, 1.61371, racer
13.9916, -13.4355, 2.09758, racer
13.0938, -13.1446, 2.09848, racer
12.279, -12.7989, 1.79027, racer
12.0466, -11.9816, 1.64847, racer
11.682, -11.2211, 1.48704, racer
11.0888, -10.6206, 1.00889, racer
11.2014, -10.4932, 1.01445, racer
11.8541, -10.5059, 1.37847, racer
12.5616, -10.6302, 1.6277, racer
13.425, -10.3976, 1.73495, racer
14.0385, -10.2164, 1.82644, racer
14.7049, -9.98325, 1.39089, racer
15.4867, -9.81795, 0.959356, racer
15.4493, -10.5073, 0.976593, racer
15.236, -11.8546, 1.07242, racer
15.6575, -12.6277, 1.4969, racer
15.9227, -13.5162, 1.24099, racer
15.912, -13.9537, 0.984718, racer
15.8072, -13.2451, 1.34174, racer
15.744, -12.4155, 1.52956, racer
15.502, -11.7833, 1.58689, racer
15.269, -11.2906, 1.139, racer
15.0205, -10.5564, 0.826628, racer
14.5025, -9.91346, 1.00865, racer
14.4607, -9.05703, 1.24927, racer
14.9474, -8.47834, 1.21768, racer
15.1551, -8.97537, 1.55374, racer
14.7218, -10.0192, 2.16256, racer
14.3699, -10.9087, 1.98908, racer
14.5579, -11.3682, 1.4374, racer
14.5619, -12.0791, 1.49692, racer
14.1337, -13.0132, 1.16583, racer
14.5387, -13.5886, 0.99544, racer
15.3396, -13.8238, 1.07691, racer
15.1703, -13.6001, 1.17903, racer
14.5552, -13.0335, 1.55272, racer
14.219, -12.291, 2.01247, racer
14.4301, -12.0416, 2.71973, racer
14.6859, -11.244, 3.4305, racer
14.6273, -11.1273, 3.08023, racer
14.8488, -10.9023, 2.43852, racer
14.7453, -10.0101, 2.30948, racer
14.6858, -9.31525, 1.82587, racer
14.5986, -8.76912, 1.17794, racer
14.4917, -8.13023, 1.63384, racer
14.0585, -7.91083, 2.15021, racer
13.4279, -7.93651, 2.12904, racer
12.5394, -7.61322, 1.5457, racer
11.3241, -8.03913, 1.33615, racer
11.0827, -8.66343, 1.53983, racer
11.2869, -9.40492, 1.39837, racer
10.9066, -10.2705, 1.39607, racer
10.6881, -10.8036, 1.53681, racer
10.8557, -10.2872, 1.95873, racer
10.8956, -9.99384, 1.97509, racer
10.3435, -10.2749, 1.87942, racer
9.39464, -10.877, 1.45936, racer
8.97765, -11.751, 1.62952, racer
8.7266, -12.5613, 1.94096, racer
8.52707, -13.3309, 1.57604, racer
8.2955, -14.0582, 0.96876, racer
8.31641, -14.3386, 0.982913, racer
8.3481, -13.4878, 1.35297, racer
8.77759, -12.5224, 1.4137, racer
8.83915, -12.447, 1.38733, racer
8.97918, -12.3925, 1.36445, racer
9.92032, -12.2414, 1.28674, racer
10.6728, -12.1438, 1.58308, racer
11.0886, -12.3749, 1.97656, racer
11.355, -12.6548, 2.08146, racer
11.422, -12.0352, 1.97214, racer
11.5337, -11.1904, 2.04279, racer
11.9563, -10.8402, 2.00418, racer
11.8936, -10.7634, 1.92594, racer
11.6419, -10.0587, 1.55201, racer
11.6173, -9.2428, 1.47655, racer
11.5741, -8.0804, 1.65867, racer
12.1315, -7.64056, 1.43372, racer
13.2818, -7.7295, 1.15995, racer
14.2225, -7.57633, 1.35775, racer
14.5936, -6.83628, 1.30038, racer
14.5264, -5.67559, 1.40931, racer
14.439, -5.581, 1.71168, racer
14.2332, -6.5241, 1.97393, racer
14.1296, -7.47763, 2.04955, racer
14.5547, -8.37864, 2.01584, racer
14.711, -9.14681, 1.65422, racer
14.442, -9.48807, 2.00401, racer
14.0248, -9.55835, 2.55084, racer
14.5507, -10.3233, 2.63181, racer
15.0452, -11.0488, 2.35675, racer
14.6195, -11.3855, 2.29856, racer
14.3886, -10.9399, 2.9826, racer
14.064, -10.3574, 3.31978, racer
14.2026, -10.3824, 3.2914, racer
14.647, -10.5059, 3.22715, racer
14.5935, -11.1023, 3.64266, racer
14.1661, -11.9633, 3.93088, racer
14.4088, -12.7355, 3.96116, racer
14.8025, -12.2871, 3.64255, racer
14.6785, -10.9282, 3.44027, racer
14.4578, -10.2493, 3.47762, racer
14.1915, -10.2711, 3.57935, racer
13.9988, -10.2258, 3.83597, racer
14.4956, -9.84424, 3.4262, racer
14.6539, -9.4018, 2.76573, racer
14.6646, -8.4857, 2.37935, racer
14.4835, -7.96909, 2.18486, racer
13.4579, -7.73758, 2.04968, racer
12.2013, -7.97828, 2.02049, racer
11.561, -8.41742, 1.49592, racer
11.5628, -8.17547, 1.0077, racer
11.2243, -7.6437, 1.58812, racer
10.5328, -7.15498, 1.93324, racer
10.4507, -6.24823, 1.86289, racer
10.768, -5.30732, 1.7611, racer
10.8265, -4.70436, 1.06509, racer
11.3405, -4.97621, 1.12499, racer
11.9006, -5.41588, 1.67044, racer
12.8378, -4.99859, 1.41133, racer
13.5318, -4.65807, 1.23437, racer
13.5715, -3.67487, 1.61344, racer
13.4414, -3.09088, 1.80912, racer
12.66, -2.8435, 1.55404, racer
11.8527, -2.74845, 1.02056, racer
11.0127, -2.59126, 0.90443, racer
11.0329, -1.68972, 1.04505, racer
11.2963, -0.773115, 1.04927, racer
10.8096, 0.00372303, 0.931387, racer
10.5816, 0.374399, 0.919554, racer
9.57552, 0.494546, 1.02032, racer
8.493, -0.126081, 0.973603, racer
7.78522, -0.47264, 0.983897, racer
7.20473, -1.20876, 1.10552, racer
6.96691, -2.02316, 0.883062, racer
6.29291, -1.66328, 0.776796, racer
5.30561, -1.39584, 1.01377, racer
4.72403, -1.91843, 0.989078, racer
3.66808, -2.36112, 1.21931, racer
3.21085, -2.64467, 1.69829, racer
3.28727, -2.84138, 1.87435, racer
3.64639, -2.93658, 2.10642, racer
3.55809, -2.9374, 2.02255, racer
3.1164, -2.61611, 1.35515, racer
2.73173, -1.65376, 1.13613, racer
2.11737, -1.07606, 1.62109, racer
2.17591, -0.231258, 1.87821, racer
2.54147, -0.247067, 1.39259, racer
2.33265, -1.17041, 0.965244, racer
2.6599, -1.81355, 1.00964, racer
3.47926, -2.69266, 0.942843, racer
3.61314, -3.2792, 1.13439, racer
4.09737, -3.08213, 2.04453, racer
4.73632, -2.71214, 2.77419, racer
4.56932, -3.00381, 2.52342, racer
3.77223, -3.71123, 1.63736, racer
3.74573, -3.72431, 1.60952, racer
3.74573, -3.72431, 1.60952, racer
3.69524, -3.74855, 1.54159, racer
3.57442, -3.6573, 1.46194, racer
3.45882, -3.57104, 1.55556, racer
3.42646, -3.58976, 1.59097, racer
3.25377, -3.77035, 2.06918, racer
4.03181, -3.81447, 2.13154, racer
5.16774, -4.11455, 2.01431, racer
5.86986, -4.30907, 2.38359, racer
6.95528, -4.51478, 2.96927, racer
7.59243, -4.51586, 2.82083, racer
8.25266, -3.63814, 2.42058, racer
8.71923, -3.1445, 2.08538, racer
9.01185, -3.3568, 1.54736, racer
8.37188, -3.66492, 1.88303, racer
7.60819, -3.49487, 2.55658, racer
7.06662, -4.03515, 2.78645, racer
6.22393, -4.81978, 2.59896, racer
6.27456, -5.85071, 2.62847, racer
6.50096, -6.16736, 2.67866, racer
