Iteration, Path length, Time, Planning, Flying
1, 0.0298599, 0.794, 0.669, 0.098
2, 0.294136, 1.785, 0.91, 0.865
3, 0.544737, 2.801, 1.253, 1.526
4, 0.75458, 3.795, 1.684, 2.086
5, 0.820616, 4.798, 2.222, 2.555
6, 0.871974, 5.787, 2.85, 2.923
7, 1.38486, 6.791, 3.102, 3.676
8, 2.574, 7.796, 3.337, 4.442
9, 3.5999, 8.786, 3.59, 5.18
10, 4.65291, 9.798, 3.84, 5.939
11, 5.46284, 10.789, 4.208, 6.572
12, 6.1365, 11.793, 4.434, 7.335
13, 6.30145, 12.786, 4.956, 7.818
14, 6.58293, 13.791, 5.438, 8.326
15, 6.60518, 14.793, 6.418, 8.363
16, 6.76325, 15.796, 7.117, 8.665
17, 6.79638, 16.795, 7.861, 8.902
18, 6.85491, 17.786, 8.535, 9.236
19, 6.85491, 18.799, 9.538, 9.236
20, 6.85491, 19.791, 10.536, 9.236
21, 6.85491, 20.799, 11.533, 9.236
22, 6.85491, 21.8, 12.542, 9.236
23, 6.89571, 22.784, 13.432, 9.342
24, 7.04153, 23.788, 13.954, 9.819
25, 7.86529, 24.789, 14.258, 10.511
26, 8.58577, 25.789, 14.574, 11.194
27, 9.20488, 26.807, 14.797, 11.98
28, 10.2163, 27.784, 15.159, 12.608
29, 11.0094, 28.794, 15.485, 13.292
30, 12.0308, 29.793, 15.793, 13.985
31, 13.0578, 30.793, 16.202, 14.562
32, 13.8319, 31.796, 16.62, 15.157
33, 14.3852, 32.786, 17.053, 15.712
34, 15.1152, 33.784, 17.459, 16.311
35, 15.7009, 34.787, 17.768, 16.995
36, 16.8595, 35.787, 18.089, 17.683
37, 17.4741, 36.786, 18.486, 18.281
38, 18.2142, 37.787, 18.895, 18.853
39, 18.9861, 38.802, 19.17, 19.609
40, 19.8812, 39.793, 19.566, 20.211
41, 20.4747, 40.793, 20.036, 20.735
42, 21.3228, 41.789, 20.457, 21.314
43, 22.4304, 42.8, 20.765, 22.018
44, 23.1246, 43.801, 21.166, 22.61
45, 23.8238, 44.798, 21.449, 23.319
46, 24.9546, 45.785, 21.821, 23.946
47, 25.5111, 46.785, 22.238, 24.534
48, 26.5315, 47.798, 22.49, 25.273
49, 27.1629, 48.789, 22.866, 25.904
50, 28.0443, 49.787, 23.245, 26.523
51, 29.0177, 50.797, 23.567, 27.204
52, 30.0785, 51.796, 23.888, 27.878
53, 31.1052, 52.789, 24.232, 28.538
54, 31.6387, 53.791, 24.593, 29.178
55, 32.6333, 54.786, 24.994, 29.766
56, 33.0829, 55.805, 25.453, 30.33
57, 33.9874, 56.784, 25.788, 30.979
58, 34.7587, 57.787, 26.245, 31.522
59, 35.5758, 58.801, 26.579, 32.2
60, 36.7176, 59.788, 26.929, 32.845
61, 37.5716, 60.788, 27.364, 33.411
62, 38.3273, 61.804, 27.779, 34.002
63, 39.0741, 62.788, 28.247, 34.527
64, 40.087, 63.786, 28.569, 35.201
65, 40.7796, 64.788, 28.949, 35.822
66, 41.4361, 65.789, 29.314, 36.456
67, 42.4008, 66.785, 29.724, 37.039
68, 43.3583, 67.787, 30.114, 37.663
69, 44.4131, 68.786, 30.494, 38.281
70, 45.3402, 69.797, 30.815, 38.964
71, 45.7968, 70.79, 31.078, 39.695
72, 46.5306, 71.797, 31.661, 40.11
73, 47.4644, 72.802, 32.093, 40.681
74, 48.3307, 73.788, 32.429, 41.337
75, 48.7681, 74.793, 32.903, 41.86
76, 49.8447, 75.8, 33.388, 42.388
77, 50.884, 76.791, 33.801, 42.964
