Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
1.89, 65.44, 0.377393, 46.832, 18.608, 17274.6
2.89, 93.872, 0.541361, 67.464, 26.408, 17246.1
2.89, 134.688, 0.776747, 100.8, 33.888, 17205.3
2.913, 162.168, 0.935225, 124.856, 37.312, 17177.8
5.882, 200.56, 1.15663, 159.064, 41.496, 17139.4
8.891, 222.952, 1.28577, 181.76, 41.192, 17117
11.94, 241.144, 1.39068, 200.176, 40.968, 17098.9
11.94, 270.368, 1.55922, 230.216, 40.152, 17069.6
11.94, 303.464, 1.75008, 262.92, 40.544, 17036.5
12.882, 361.84, 2.08674, 317.048, 44.792, 16978.2
17.94, 396.136, 2.28452, 350.024, 46.112, 16943.9
17.94, 435.984, 2.51433, 389.704, 46.28, 16904
17.94, 472.824, 2.72678, 426.12, 46.704, 16867.2
18.882, 518.736, 2.99156, 468.584, 50.152, 16821.3
18.913, 547.2, 3.15571, 494.424, 52.776, 16792.8
21.883, 573.488, 3.30731, 519.384, 54.104, 16766.5
24.891, 599.104, 3.45504, 545.36, 53.744, 16740.9
24.891, 629.408, 3.6298, 574.624, 54.784, 16710.6
27.89, 643.56, 3.71142, 588.968, 54.592, 16696.4
27.89, 668.368, 3.85449, 614.152, 54.216, 16671.6
30.891, 695.736, 4.01232, 640.608, 55.128, 16644.3
30.891, 721.912, 4.16328, 663.672, 58.24, 16618.1
33.89, 766.84, 4.42238, 700.76, 66.08, 16573.2
36.94, 841.168, 4.85103, 763.104, 78.064, 16498.8
36.94, 883.968, 5.09785, 796.376, 87.592, 16456
36.94, 927.768, 5.35045, 830.6, 97.168, 16412.2
37.882, 944.96, 5.4496, 846.432, 98.528, 16395
37.913, 994.568, 5.73569, 887.288, 107.28, 16345.4
40.883, 1044.06, 6.02108, 927.064, 116.992, 16295.9
40.914, 1061.64, 6.12249, 943.704, 117.936, 16278.4
43.882, 1091.61, 6.29532, 970.528, 121.08, 16248.4
46.89, 1134.93, 6.54514, 1012.73, 122.2, 16205.1
49.94, 1183.73, 6.82657, 1057.19, 126.536, 16156.3
49.94, 1216.16, 7.01361, 1088, 128.16, 16123.8
49.94, 1253.26, 7.22754, 1124.58, 128.68, 16086.7
50.882, 1285.62, 7.41421, 1156.39, 129.232, 16054.4
53.89, 1306.98, 7.53739, 1177.63, 129.352, 16033
53.89, 1332.22, 7.68295, 1202.58, 129.64, 16007.8
56.89, 1359.09, 7.83788, 1228.94, 130.144, 15980.9
59.94, 1380.42, 7.96088, 1249.95, 130.464, 15959.6
59.94, 1408.7, 8.12401, 1277.86, 130.848, 15931.3
59.94, 1431.16, 8.25352, 1300.25, 130.912, 15908.8
60.882, 1455.86, 8.39599, 1324.94, 130.928, 15884.1
60.913, 1468.46, 8.4686, 1338.2, 130.256, 15871.5
63.882, 1486.09, 8.57029, 1355.5, 130.584, 15853.9
63.913, 1518.09, 8.75483, 1386.86, 131.232, 15821.9
66.882, 1540.5, 8.88411, 1406.79, 133.712, 15799.5
69.892, 1554.92, 8.96724, 1419.63, 135.288, 15785.1
69.892, 1567.41, 9.03926, 1428.07, 139.336, 15772.6
70.882, 1577.58, 9.09795, 1437.74, 139.84, 15762.4
70.913, 1587.39, 9.15451, 1447.37, 140.024, 15752.6
73.883, 1596.8, 9.20877, 1456.64, 140.16, 15743.2
76.89, 1620.89, 9.34768, 1480.22, 140.664, 15719.1
79.94, 1639.58, 9.45546, 1499.17, 140.408, 15700.4
79.94, 1649.31, 9.5116, 1509.11, 140.2, 15690.7
79.94, 1658.5, 9.56457, 1518.27, 140.224, 15681.5
80.882, 1702.26, 9.81698, 1561.09, 141.176, 15637.7
80.913, 1734.35, 10.002, 1587.72, 146.632, 15605.6
83.882, 1773.72, 10.2291, 1622.54, 151.184, 15566.3
86.89, 1795.64, 10.3555, 1641.82, 153.816, 15544.4
89.94, 1820.98, 10.5016, 1664.47, 156.512, 15519
89.94, 1840.24, 10.6127, 1680.36, 159.88, 15499.8
89.94, 1850.43, 10.6715, 1693.26, 157.176, 15489.6
92.89, 1858.14, 10.7159, 1699.42, 158.72, 15481.9
95.94, 1862.25, 10.7396, 1703.53, 158.72, 15477.8
95.94, 1871.63, 10.7937, 1712.91, 158.72, 15468.4
95.94, 1874.32, 10.8092, 1715.6, 158.72, 15465.7
96.882, 1883.63, 10.8629, 1724.91, 158.72, 15456.4
