Iteration, Path length, Time, Planning, Flying
1, 0, 0.953, 0.934, 0
2, 0, 1.952, 1.938, 0
3, 0, 2.954, 2.935, 0
4, 0, 3.953, 3.935, 0
5, 0, 4.953, 4.934, 0
6, 0, 5.952, 5.938, 0
7, 0, 6.953, 6.934, 0
8, 0, 7.952, 7.936, 0
9, 0, 8.953, 8.936, 0
10, 0, 9.954, 9.935, 0
11, 0, 10.954, 10.935, 0
12, 0, 11.953, 11.934, 0
13, 0, 12.954, 12.936, 0
14, 0, 13.954, 13.937, 0
15, 0, 14.953, 14.934, 0
16, 0, 15.954, 15.935, 0
17, 0, 16.953, 16.935, 0
18, 0, 17.953, 17.935, 0
19, 0, 18.952, 18.936, 0
20, 0, 19.953, 19.935, 0
21, 0, 20.954, 20.935, 0
22, 0, 21.954, 21.935, 0
23, 0, 22.952, 22.936, 0
24, 0, 23.953, 23.934, 0
25, 0, 24.954, 24.935, 0
26, 0, 25.954, 25.935, 0
27, 0, 26.952, 26.936, 0
28, 0, 27.952, 27.934, 0
29, 0, 28.953, 28.935, 0
30, 0, 29.952, 29.935, 0
31, 0, 30.953, 30.941, 0
32, 0, 31.952, 31.935, 0
33, 0, 32.953, 32.935, 0
34, 0, 33.952, 33.938, 0
35, 0, 34.952, 34.934, 0
36, 0, 35.952, 35.935, 0
37, 0, 36.953, 36.935, 0
38, 0, 37.952, 37.935, 0
39, 0, 38.952, 38.935, 0
40, 0, 39.952, 39.935, 0
41, 0, 40.952, 40.935, 0
42, 0, 41.952, 41.935, 0
43, 0, 42.953, 42.935, 0
44, 0, 43.953, 43.936, 0
45, 0, 44.955, 44.936, 0
46, 0, 45.952, 45.935, 0
47, 0, 46.952, 46.934, 0
48, 0, 47.952, 47.935, 0
49, 0, 48.954, 48.935, 0
50, 0, 49.952, 49.935, 0
51, 0, 50.953, 50.935, 0
52, 0, 51.952, 51.935, 0
53, 0, 52.953, 52.934, 0
54, 0, 53.952, 53.938, 0
55, 0, 54.953, 54.934, 0
56, 0, 55.953, 55.935, 0
57, 0, 56.952, 56.935, 0
58, 0, 57.953, 57.937, 0
59, 0, 58.953, 58.935, 0
60, 0, 59.953, 59.934, 0
61, 0, 60.952, 60.936, 0
62, 0, 61.952, 61.935, 0
63, 0, 62.952, 62.934, 0
64, 0, 63.952, 63.935, 0
65, 0, 64.952, 64.935, 0
66, 0, 65.952, 65.935, 0
67, 0, 66.954, 66.934, 0
68, 0, 67.952, 67.935, 0
69, 0, 68.953, 68.935, 0
70, 0, 69.952, 69.934, 0
71, 0, 70.952, 70.935, 0
72, 0, 71.954, 71.935, 0
73, 0, 72.953, 72.935, 0
74, 0, 73.952, 73.934, 0
75, 0, 74.952, 74.935, 0
76, 0, 75.954, 75.954, 0
77, 0, 76.952, 76.936, 0
78, 0, 77.954, 77.934, 0
79, 0, 78.953, 78.935, 0
80, 0, 79.954, 79.936, 0
81, 0, 80.953, 80.936, 0
82, 0, 81.954, 81.934, 0
83, 0, 82.953, 82.934, 0
84, 0, 83.952, 83.935, 0
85, 0, 84.953, 84.936, 0
86, 0, 85.953, 85.935, 0
87, 0, 86.953, 86.935, 0
88, 0, 87.952, 87.934, 0
89, 0, 88.953, 88.934, 0
90, 0, 89.953, 89.935, 0
91, 0, 90.952, 90.936, 0
92, 0, 91.952, 91.934, 0
93, 0, 92.952, 92.936, 0
94, 0, 93.953, 93.934, 0
95, 0, 94.954, 94.934, 0
96, 0, 95.953, 95.938, 0
97, 0, 96.954, 96.935, 0
98, 0, 97.953, 97.935, 0
99, 0, 98.952, 98.934, 0
100, 0, 99.952, 99.935, 0
