start-time,duration,end-time,type-of-collision
89.664,0.47899999999999998,90.143,Agent-Human
119.331,1.173,120.504,Agent-Human
160.495,1.155,161.65,Agent-Human
190.948,1.159,192.107,Agent-Human
232.161,1.163,233.324,Agent-Human
262.622,1.232,263.854,Agent-Human
303.946,0.96199999999999997,304.908,Agent-Human
334.266,1.1759999999999999,335.442,Agent-Human
375.516,1.095,376.611,Agent-Human
405.956,1.163,407.119,Agent-Human
447.227,1.03,448.257,Agent-Human
477.647,1.1599999999999999,478.807,Agent-Human
518.84,1.163,520.003,Agent-Human
549.286,1.163,550.449,Agent-Human
590.542,1.1639999999999999,591.706,Agent-Human
620.885,1.2989999999999999,622.184,Agent-Human
662.262,0.95799999999999996,663.22,Agent-Human
692.686,1.1639999999999999,693.85,Agent-Human
733.95,1.097,735.047,Agent-Human
764.337,1.0860000000000001,765.423,Agent-Human
805.582,1.175,806.757,Agent-Human
835.951,1.1579999999999999,837.109,Agent-Human
877.292,1.083,878.375,Agent-Human
907.767,1.226,908.993,Agent-Human
949.036,1.0880000000000001,950.124,Agent-Human
