Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
4.898, 132.368, 0.763368, 97.664, 34.704, 17207.6
4.898, 159.304, 0.918708, 118.112, 41.192, 17180.7
4.898, 183.592, 1.05878, 134.728, 48.864, 17156.4
4.898, 197.568, 1.13938, 143.4, 54.168, 17142.4
6.571, 203.272, 1.17227, 147.248, 56.024, 17136.7
7.571, 205.128, 1.18298, 148.352, 56.776, 17134.9
7.571, 209.872, 1.21033, 151.152, 58.72, 17130.1
10.57, 214.416, 1.23654, 154.296, 60.12, 17125.6
14.898, 219.96, 1.26851, 158.928, 61.032, 17120
14.898, 231.896, 1.33735, 168.88, 63.016, 17108.1
14.898, 243.08, 1.40185, 176.288, 66.792, 17096.9
16.571, 246.808, 1.42334, 177.856, 68.952, 17093.2
16.571, 251.336, 1.44946, 181.68, 69.656, 17088.7
19.571, 260.76, 1.50381, 189.384, 71.376, 17079.2
23.898, 278.16, 1.60415, 204.432, 73.728, 17061.8
23.898, 288.992, 1.66662, 214.504, 74.488, 17051
23.898, 290.824, 1.67719, 215.8, 75.024, 17049.2
25.571, 293.856, 1.69467, 219.432, 74.424, 17046.1
29.898, 306.392, 1.76697, 230.056, 76.336, 17033.6
33.911, 313.032, 1.80526, 237.576, 75.456, 17027
33.911, 321.608, 1.85472, 244.336, 77.272, 17018.4
33.911, 330.464, 1.90579, 252.088, 78.376, 17009.5
33.911, 336.128, 1.93845, 257.44, 78.688, 17003.9
33.911, 354.12, 2.04221, 272.728, 81.392, 16985.9
35.57, 364.336, 2.10113, 279.416, 84.92, 16975.7
35.57, 374.608, 2.16037, 289.264, 85.344, 16965.4
41.898, 386.6, 2.22953, 301.576, 85.024, 16953.4
41.898, 404.896, 2.33504, 318.216, 86.68, 16935.1
41.898, 421.384, 2.43013, 331.6, 89.784, 16918.6
43.571, 429.232, 2.47539, 339.208, 90.024, 16910.8
43.571, 435.032, 2.50884, 344.992, 90.04, 16905
46.571, 443.152, 2.55566, 354.68, 88.472, 16896.8
50.899, 447.824, 2.58261, 361.008, 86.816, 16892.2
50.899, 464.216, 2.67714, 375.48, 88.736, 16875.8
50.899, 508.216, 2.93089, 409.96, 98.256, 16831.8
52.57, 527.28, 3.04083, 423.16, 104.12, 16812.7
52.57, 554.392, 3.19719, 443.712, 110.68, 16785.6
55.571, 571.288, 3.29463, 460.064, 111.224, 16768.7
55.571, 573.328, 3.30639, 463.328, 110, 16766.7
58.57, 575.712, 3.32014, 466.296, 109.416, 16764.3
58.57, 578.952, 3.33882, 468.528, 110.424, 16761
61.57, 581.112, 3.35128, 471.656, 109.456, 16758.9
61.57, 583.048, 3.36245, 473.992, 109.056, 16757
64.57, 584.128, 3.36867, 473.816, 110.312, 16755.9
64.57, 587.48, 3.388, 477.128, 110.352, 16752.5
67.57, 589.44, 3.39931, 479.136, 110.304, 16750.6
67.57, 589.912, 3.40203, 480.728, 109.184, 16750.1
70.571, 593.152, 3.42072, 483.328, 109.824, 16746.8
70.571, 593.64, 3.42353, 484, 109.64, 16746.4
76.898, 597.232, 3.44424, 485.536, 111.696, 16742.8
76.898, 602.112, 3.47239, 490.144, 111.968, 16737.9
79.898, 615, 3.54671, 500.936, 114.064, 16725
79.898, 615.864, 3.5517, 501.512, 114.352, 16724.1
79.898, 616.12, 3.55317, 501.112, 115.008, 16723.9
84.899, 616.712, 3.55659, 501.576, 115.136, 16723.3
84.899, 620.984, 3.58122, 504.776, 116.208, 16719
84.899, 621.08, 3.58178, 504.8, 116.28, 16718.9
86.57, 621.552, 3.5845, 505.352, 116.2, 16718.4
86.57, 625.24, 3.60577, 508.232, 117.008, 16714.8
92.898, 627.536, 3.61901, 509.576, 117.96, 16712.5
92.898, 628.288, 3.62334, 510.12, 118.168, 16711.7
95.898, 629.576, 3.63077, 511.616, 117.96, 16710.4
95.898, 629.664, 3.63128, 512.104, 117.56, 16710.3
95.898, 630.928, 3.63857, 513.416, 117.512, 16709.1
97.57, 631.472, 3.64171, 513.792, 117.68, 16708.5
97.57, 633.36, 3.6526, 515.584, 117.776, 16706.6
103.898, 634.368, 3.65841, 516.6, 117.768, 16705.6
103.898, 634.552, 3.65947, 517.848, 116.704, 16705.4
103.898, 635.112, 3.6627, 518.072, 117.04, 16704.9
105.57, 637.424, 3.67603, 519.728, 117.696, 16702.6
105.57, 638, 3.67935, 519.76, 118.24, 16702
111.899, 638.568, 3.68263, 520.32, 118.248, 16701.4
111.899, 639.032, 3.68531, 520.736, 118.296, 16701
111.899, 639.224, 3.68641, 520.848, 118.376, 16700.8
113.57, 639.52, 3.68812, 521.544, 117.976, 16700.5
113.57, 639.672, 3.689, 520.904, 118.768, 16700.3
119.898, 640.392, 3.69315, 521.336, 119.056, 16699.6
119.898, 640.576, 3.69421, 521.456, 119.12, 16699.4
119.898, 641.448, 3.69924, 522.44, 119.008, 16698.6
121.571, 642.192, 3.70353, 523.072, 119.12, 16697.8
128.911, 644.208, 3.71516, 524.6, 119.608, 16695.8
128.911, 645.168, 3.72069, 525.256, 119.912, 16694.8
128.911, 645.824, 3.72448, 525.888, 119.936, 16694.2
128.911, 649.168, 3.74376, 529.504, 119.664, 16690.8
129.571, 651.2, 3.75548, 531.984, 119.216, 16688.8
129.571, 651.72, 3.75848, 533.96, 117.76, 16688.3
135.898, 651.896, 3.75949, 533.752, 118.144, 16688.1
135.898, 652.144, 3.76092, 533.968, 118.176, 16687.9
135.898, 652.456, 3.76272, 533.192, 119.264, 16687.5
137.57, 655.68, 3.78131, 534.664, 121.016, 16684.3
137.57, 660.48, 3.809, 538.088, 122.392, 16679.5
143.898, 662.056, 3.81809, 538.6, 123.456, 16677.9
143.898, 664.84, 3.83414, 541.04, 123.8, 16675.2
143.898, 665.576, 3.83839, 542.12, 123.456, 16674.4
148.898, 665.72, 3.83922, 542.36, 123.36, 16674.3
148.898, 667.296, 3.8483, 543.976, 123.32, 16672.7
148.898, 674.304, 3.88872, 550.912, 123.392, 16665.7
150.57, 676.32, 3.90035, 553.328, 122.992, 16663.7
157.912, 676.752, 3.90284, 553.176, 123.576, 16663.2
157.912, 677.04, 3.9045, 553.12, 123.92, 16663
157.912, 679.24, 3.91719, 554.296, 124.944, 16660.8
157.912, 679.256, 3.91728, 554.72, 124.536, 16660.7
158.57, 680.264, 3.92309, 555.848, 124.416, 16659.7
160.57, 680.36, 3.92364, 555.928, 124.432, 16659.6
164.898, 680.36, 3.92364, 556.176, 124.184, 16659.6
164.898, 680.416, 3.92397, 556.008, 124.408, 16659.6
164.898, 680.608, 3.92507, 556.536, 124.072, 16659.4
166.57, 680.792, 3.92614, 556.984, 123.808, 16659.2
168.57, 681.432, 3.92983, 558.12, 123.312, 16658.6
172.898, 681.568, 3.93061, 558.32, 123.248, 16658.4
172.898, 683.128, 3.93961, 559.904, 123.224, 16656.9
172.898, 683.568, 3.94215, 560.672, 122.896, 16656.4
174.571, 685.696, 3.95442, 563.016, 122.68, 16654.3
174.571, 688.12, 3.9684, 565.072, 123.048, 16651.9
180.898, 688.24, 3.96909, 564.872, 123.368, 16651.8
180.898, 691.68, 3.98893, 567.8, 123.88, 16648.3
183.898, 700.232, 4.03825, 575.488, 124.744, 16639.8
183.898, 711.384, 4.10256, 585.928, 125.456, 16628.6
183.898, 713.288, 4.11354, 586.992, 126.296, 16626.7
188.899, 717.32, 4.13679, 589.856, 127.464, 16622.7
188.899, 717.616, 4.1385, 589.784, 127.832, 16622.4
188.899, 719.496, 4.14934, 591.312, 128.184, 16620.5
190.57, 721.312, 4.15982, 593.064, 128.248, 16618.7
192.571, 722.656, 4.16757, 594.952, 127.704, 16617.3
192.571, 725.4, 4.18339, 596.056, 129.344, 16614.6
195.57, 731.272, 4.21725, 601.064, 130.208, 16608.7
195.57, 733.632, 4.23087, 604.184, 129.448, 16606.4
198.571, 736.72, 4.24867, 607.304, 129.416, 16603.3
198.571, 741.928, 4.27871, 612.92, 129.008, 16598.1
204.899, 743.584, 4.28826, 614.824, 128.76, 16596.4
204.899, 745.376, 4.29859, 616.592, 128.784, 16594.6
204.899, 748.456, 4.31636, 619.824, 128.632, 16591.5
206.571, 748.8, 4.31834, 620.12, 128.68, 16591.2
206.571, 749.576, 4.32281, 620.896, 128.68, 16590.4
212.898, 751.24, 4.33241, 622.664, 128.576, 16588.8
212.898, 752.136, 4.33758, 623.552, 128.584, 16587.9
212.898, 756.176, 4.36088, 628.088, 128.088, 16583.8
214.57, 761.408, 4.39105, 633.408, 128, 16578.6
214.57, 766.608, 4.42104, 638.184, 128.424, 16573.4
220.898, 769.224, 4.43612, 641.496, 127.728, 16570.8
220.898, 769.352, 4.43686, 640.928, 128.424, 16570.6
220.898, 770.04, 4.44083, 642.288, 127.752, 16570
222.57, 782.192, 4.51091, 652.736, 129.456, 16557.8
