Iteration, Path length, Time, Planning, Flying
0, 3.18964, 4.657, 0.412, 2.359
1, 8.58291, 10.605, 2.892, 9.882
2, 14.5979, 14.894, 8.07, 14.079
3, 15.3593, 14.894, 8.612, 17.942
4, 18.1134, 17.894, 8.631, 23.564
5, 23.8944, 17.894, 8.667, 29.466
6, 31.9116, 17.894, 9.29, 40.205
7, 41.1357, 17.894, 9.982, 50.093
8, 45.5362, 21.604, 10.023, 54.953
9, 46.0771, 21.604, 10.479, 56.135
10, 56.6676, 27.895, 10.479, 56.135
11, 61.2908, 27.895, 10.479, 56.135
12, 61.2908, 27.895, 10.479, 56.135
13, 65.0384, 32.896, 10.498, 71.196
14, 68.0809, 32.896, 10.498, 71.196
15, 68.0809, 32.896, 10.498, 71.196
16, 78.3829, 32.896, 10.991, 89.062
17, 83.4877, 36.605, 11.01, 100.662
18, 85.936, 36.605, 12.635, 104.5
19, 85.936, 36.605, 12.635, 104.5
20, 104.348, 36.656, 13.153, 124.082
21, 109.015, 43.604, 13.153, 124.082
22, 109.015, 43.604, 13.153, 124.082
23, 114.057, 44.434, 13.206, 136.149
24, 120.942, 44.434, 13.248, 146.228
25, 126.54, 50.604, 13.248, 146.228
26, 126.54, 50.604, 13.248, 146.228
27, 145.474, 56.896, 15.023, 169.013
28, 151.583, 56.896, 15.146, 175.113
29, 157.207, 57.604, 15.164, 197.936
30, 157.207, 57.604, 15.164, 197.936
31, 161.419, 63.894, 15.863, 203.476
32, 166.932, 63.894, 15.999, 208.535
33, 172.692, 64.605, 16.079, 216.097
34, 172.692, 64.605, 16.079, 216.097
35, 184.522, 65.435, 17.439, 236.096
36, 190.195, 65.435, 17.538, 243.998
37, 193.423, 71.604, 18.496, 250.521
38, 193.423, 71.604, 18.496, 250.521
39, 193.423, 71.604, 18.496, 250.521
40, 203.271, 79.895, 21.02, 265.257
41, 210.208, 79.895, 21.594, 274.663
42, 216.895, 80.606, 23.353, 282.281
43, 216.895, 80.606, 23.353, 282.281
44, 216.895, 80.606, 23.353, 282.281
45, 223.604, 88.894, 23.431, 287.908
46, 230.193, 88.894, 25.316, 292.684
47, 237.794, 89.606, 28.182, 294.68
48, 239.419, 91.607, 28.182, 294.68
49, 239.419, 91.607, 28.182, 294.68
50, 254.987, 92.434, 29.182, 321.161
51, 260.7, 99.894, 31.971, 333.791
52, 265.405, 99.894, 35.061, 342.361
53, 268.889, 100.604, 38.822, 352.237
54, 271.601, 102.604, 38.822, 352.237
55, 271.601, 102.604, 38.822, 352.237
56, 271.601, 102.604, 38.822, 352.237
57, 278.744, 105.437, 40.369, 363.589
58, 286.957, 105.437, 41.654, 372.563
59, 295.179, 111.605, 43.454, 381.545
60, 298.104, 113.604, 43.454, 381.545
61, 298.104, 113.604, 43.454, 381.545
62, 298.104, 113.604, 43.454, 381.545
63, 298.104, 113.604, 43.454, 381.545
64, 307.121, 118.435, 43.571, 393.108
65, 322.299, 125.897, 50.011, 412.706
66, 335.919, 125.897, 50.683, 428.153
67, 346.826, 126.604, 51.062, 443.512
68, 346.826, 126.604, 51.062, 443.512
69, 346.826, 126.604, 51.062, 443.512
70, 352.828, 129.434, 51.479, 456.016
71, 357.112, 136.895, 56.975, 461.18
72, 364.342, 136.895, 57.05, 472.425
73, 371.828, 137.605, 59.808, 481.088
74, 371.908, 139.605, 61.591, 482.504
75, 371.908, 139.605, 61.591, 482.504
76, 371.908, 139.605, 61.591, 482.504
77, 371.908, 139.605, 61.591, 482.504
78, 378.164, 144.435, 65.538, 494.776
79, 386.12, 151.894, 70.648, 504.145
80, 398.18, 151.894, 75.532, 515.763
81, 406.706, 152.606, 79.031, 525.309
82, 407.558, 154.606, 79.031, 525.309
83, 407.558, 154.606, 79.031, 525.309
84, 407.558, 154.606, 79.031, 525.309
85, 407.558, 154.606, 79.031, 525.309
