Iteration, Path length, Time, Planning, Flying
1, 0.0708177, 0.866, 0.44, 0.421
2, 0.524643, 1.866, 0.68, 1.181
3, 0.535553, 2.867, 1.68, 1.181
4, 0.559154, 3.867, 2.499, 1.362
5, 0.874511, 4.866, 2.499, 2.362
6, 1.3167, 5.866, 2.54, 3.321
7, 1.87728, 6.866, 2.662, 4.2
8, 1.88509, 7.866, 3.66, 4.2
9, 1.89171, 8.867, 4.662, 4.2
10, 1.90925, 9.867, 5.501, 4.361
11, 2.91453, 10.867, 5.501, 5.359
12, 4.39663, 11.866, 5.643, 6.22
13, 6.5796, 12.867, 5.643, 7.218
14, 6.78848, 13.867, 6.343, 7.518
15, 7.70185, 14.866, 6.343, 8.518
16, 9.49653, 15.867, 6.343, 9.518
17, 11.0301, 16.867, 6.343, 10.517
18, 11.5158, 17.868, 6.343, 11.517
19, 12.5424, 18.866, 6.343, 12.517
20, 13.7218, 19.868, 6.343, 13.519
21, 14.5086, 20.866, 6.343, 14.518
22, 15.2059, 21.866, 6.343, 15.518
23, 16.6315, 22.868, 6.343, 16.519
24, 17.2591, 23.866, 6.343, 17.519
25, 17.8768, 24.867, 6.343, 18.521
26, 18.2455, 25.868, 6.422, 19.438
27, 19.1997, 26.868, 6.422, 20.438
28, 19.8293, 27.866, 6.422, 21.44
29, 20.8183, 28.867, 6.443, 22.417
30, 21.8893, 29.866, 6.443, 23.42
31, 22.566, 30.866, 6.443, 24.421
32, 23.6005, 31.868, 6.443, 25.42
33, 24.0885, 32.868, 6.443, 26.419
34, 24.8434, 33.866, 6.443, 27.422
35, 25.1455, 34.867, 6.92, 27.921
36, 25.1455, 35.867, 7.943, 27.921
37, 25.5772, 36.867, 8.144, 28.719
38, 26.6812, 37.866, 8.144, 29.719
39, 27.146, 38.866, 8.162, 30.704
40, 27.9919, 39.869, 8.162, 31.699
41, 28.4979, 40.867, 8.162, 32.702
42, 29.2221, 41.87, 8.162, 33.708
43, 29.7821, 42.868, 8.162, 34.703
44, 30.4405, 43.866, 8.162, 35.699
45, 30.8337, 44.868, 8.239, 36.626
46, 31.6542, 45.868, 8.239, 37.626
47, 32.8842, 46.868, 8.239, 38.624
48, 34.1328, 47.866, 8.258, 39.608
49, 35.0783, 48.866, 8.284, 40.578
50, 35.5864, 49.866, 8.301, 41.562
51, 36.4227, 50.868, 8.301, 42.562
52, 37.1021, 51.869, 8.324, 43.545
53, 37.7822, 52.866, 8.324, 44.541
54, 38.6549, 53.869, 8.345, 45.515
55, 39.5186, 54.868, 8.607, 46.235
56, 40.1164, 55.866, 8.686, 47.159
57, 41.2404, 56.867, 8.686, 48.178
58, 42.2723, 57.866, 8.686, 49.178
59, 43.4753, 58.866, 8.706, 50.137
60, 44.0102, 59.869, 8.722, 51.142
61, 44.8822, 60.866, 8.743, 52.12
62, 45.3384, 61.871, 8.743, 53.119
63, 46.0144, 62.867, 8.759, 54.105
64, 46.754, 63.868, 8.759, 55.081
65, 47.3906, 64.868, 8.799, 56.062
66, 47.6281, 65.868, 8.799, 57.069
67, 47.8276, 66.867, 8.999, 57.863
68, 48.5373, 67.868, 9.039, 58.821
69, 49.4923, 68.868, 9.039, 59.826
70, 50.505, 69.867, 9.039, 60.828
71, 51.8835, 70.867, 9.039, 61.824
72, 53.1165, 71.868, 9.039, 62.823
73, 53.6805, 72.866, 9.039, 63.824
74, 54.3641, 73.866, 9.039, 64.803
75, 54.9496, 74.869, 9.039, 65.826
76, 55.3293, 75.868, 9.039, 66.803
77, 55.6655, 76.868, 9.741, 67.123
78, 55.6718, 77.866, 10.743, 67.123
79, 55.8003, 78.867, 11.103, 67.761
80, 56.4703, 79.867, 11.103, 68.759
81, 56.9742, 80.868, 11.103, 69.762
82, 57.5459, 81.868, 11.103, 70.762
83, 57.8071, 82.869, 11.126, 71.739
84, 58.6084, 83.867, 11.148, 72.719
85, 59.1096, 84.867, 11.148, 73.716
86, 60.2276, 85.869, 11.148, 74.714
87, 61.1097, 86.866, 11.17, 75.673
88, 61.7081, 87.869, 11.188, 76.672
89, 62.5596, 88.867, 11.188, 77.677
90, 63.4253, 89.866, 11.188, 78.675
91, 64.8695, 90.871, 11.188, 79.677
92, 65.6755, 91.867, 11.23, 80.634
93, 66.3445, 92.867, 11.23, 81.631
94, 67.1965, 93.869, 11.23, 82.633
95, 67.7349, 94.866, 11.23, 83.633
96, 68.8555, 95.871, 11.23, 84.635
97, 69.8993, 96.867, 11.23, 85.63
98, 70.3954, 97.867, 11.23, 86.634
99, 71.3479, 98.868, 11.23, 87.635
100, 71.744, 99.869, 11.292, 88.572
101, 72.8223, 100.867, 11.292, 89.571
102, 73.9612, 101.868, 11.292, 90.569
103, 74.4163, 102.871, 11.292, 91.55
104, 75.3827, 103.868, 11.311, 92.552
105, 76.101, 104.866, 11.33, 93.531
106, 76.7854, 105.868, 11.346, 94.519
107, 77.8145, 106.869, 11.346, 95.518
108, 78.5522, 107.867, 11.346, 96.516
109, 79.0978, 108.867, 11.346, 97.498
110, 79.9344, 109.866, 11.369, 98.495
111, 80.3283, 110.868, 11.405, 99.457
112, 81.0537, 111.866, 11.405, 100.458
113, 81.5635, 112.867, 11.424, 101.417
114, 82.3021, 113.868, 11.424, 102.441
115, 82.9606, 114.866, 11.424, 103.421
116, 83.5288, 115.866, 11.424, 104.439
117, 84.8473, 116.87, 11.424, 105.446
118, 85.8688, 117.868, 11.468, 106.374
119, 86.1273, 118.866, 11.487, 107.379
120, 86.5855, 119.868, 11.487, 108.377
121, 87.6362, 120.866, 11.507, 109.335
122, 88.6483, 121.866, 11.507, 110.355
123, 89.4433, 122.868, 11.507, 111.335
124, 90.1588, 123.868, 11.507, 112.358
125, 91.1835, 124.866, 11.522, 113.338
126, 91.768, 125.868, 11.522, 114.346
127, 93.0589, 126.868, 11.522, 115.34
128, 93.91, 127.868, 11.522, 116.343
129, 94.5697, 128.866, 11.522, 117.344
130, 95.2906, 129.867, 11.547, 118.317
131, 95.9293, 130.871, 11.547, 119.315
132, 97.0046, 131.872, 11.584, 120.281
133, 97.0966, 132.866, 12.316, 120.548
134, 97.1222, 133.866, 13.154, 120.712
135, 97.8939, 134.87, 13.176, 121.688
136, 98.61, 135.866, 13.188, 122.674
137, 98.909, 136.868, 13.285, 123.58
138, 99.5742, 137.866, 13.301, 124.565
139, 99.6957, 138.869, 13.339, 125.525
140, 100.338, 139.866, 13.339, 126.527
141, 101.017, 140.866, 13.411, 127.432
142, 101.029, 141.868, 14.436, 127.432
143, 101.175, 142.866, 15.012, 127.851
144, 101.944, 143.868, 15.032, 128.831
145, 102.414, 144.867, 15.032, 129.83
146, 103.46, 145.867, 15.05, 130.814
147, 104.218, 146.866, 15.05, 131.812
148, 105.001, 147.867, 15.05, 132.791
149, 105.447, 148.87, 15.05, 133.815
150, 106.159, 149.868, 15.05, 134.815
151, 106.326, 150.866, 15.425, 135.422
152, 106.676, 151.868, 15.519, 136.342
153, 107.386, 152.87, 15.758, 137.087
154, 107.395, 153.866, 16.773, 137.087
155, 107.499, 154.868, 17.354, 137.509
156, 108.509, 155.867, 17.354, 138.506
157, 109.364, 156.866, 17.354, 139.491
158, 110.308, 157.868, 17.354, 140.509
159, 111.252, 158.866, 17.375, 141.489
160, 111.35, 159.868, 17.91, 141.952
161, 111.38, 160.867, 18.852, 142.01
162, 111.595, 161.869, 18.881, 142.983
163, 112.347, 162.869, 18.881, 143.984
164, 113.038, 163.868, 18.897, 144.968
165, 114.01, 164.867, 18.897, 145.967
166, 114.737, 165.867, 18.921, 146.94
167, 115.85, 166.867, 18.921, 147.946
168, 116.715, 167.867, 18.921, 148.923
169, 117.23, 168.869, 18.921, 149.939
170, 118.017, 169.866, 18.921, 150.945
171, 119.145, 170.867, 18.941, 151.923
172, 119.977, 171.867, 18.941, 152.923
173, 120.429, 172.867, 18.951, 153.916
174, 121.273, 173.866, 18.951, 154.912
175, 122.186, 174.868, 18.993, 155.868
176, 123.025, 175.869, 19.014, 156.851
177, 123.648, 176.868, 19.36, 157.504
178, 123.673, 177.869, 20.307, 157.558
179, 123.879, 178.871, 20.502, 158.369
180, 124.748, 179.868, 20.502, 159.36
181, 126.219, 180.866, 20.502, 160.358
182, 127.141, 181.869, 20.502, 161.363
183, 128.39, 182.868, 20.546, 162.319
184, 129.681, 183.871, 20.546, 163.297
185, 130.193, 184.867, 20.621, 164.227
186, 130.231, 185.867, 21.482, 164.382
187, 130.273, 186.868, 22.218, 164.647
188, 130.924, 187.87, 22.252, 165.612
189, 132.009, 188.867, 22.274, 166.59
190, 132.892, 189.868, 22.299, 167.563
191, 134.021, 190.868, 22.33, 168.538
