Goal x, Goal y, Goal z, Planner
-8.09867, -14.0024, 6.80002, racer
-7.89728, -14.0956, 6.80007, racer
-7.62805, -14.1811, 6.79999, racer
-7.62328, -14.0831, 6.79998, racer
-7.65592, -13.8529, 6.80001, racer
-7.6606, -13.813, 6.8008, racer
-7.21168, -14.1145, 6.84446, racer
-6.05219, -14.3948, 6.60404, racer
-5.37178, -14.1033, 6.43067, racer
-4.55532, -13.5643, 6.61756, racer
-4.52123, -12.9703, 6.66448, racer
-4.73269, -12.7524, 6.66503, racer
-4.48909, -13.3179, 6.64917, racer
-4.41691, -13.1301, 6.67498, racer
-3.94188, -12.3402, 6.78236, racer
-3.54874, -12.3048, 6.69454, racer
-3.23521, -12.8117, 6.5735, racer
-2.4471, -13.4678, 6.08646, racer
-2.19306, -13.7378, 5.46375, racer
-1.4456, -13.6659, 5.30165, racer
-0.893478, -13.4076, 4.60436, racer
-1.15327, -13.5312, 4.89321, racer
-1.46339, -13.6471, 5.35528, racer
-0.967019, -13.3786, 4.87683, racer
-0.0058788, -13.379, 4.35167, racer
0.36198, -13.5675, 4.72723, racer
0.224102, -13.4006, 4.61714, racer
0.173044, -13.3608, 4.58226, racer
0.311958, -13.4927, 4.73681, racer
0.261293, -13.4317, 4.91337, racer
-0.0257218, -13.1261, 5.49206, racer
-0.423575, -13.3207, 5.73254, racer
-0.99045, -13.7515, 5.80356, racer
-1.61675, -13.2304, 5.38386, racer
-2.10543, -12.7671, 4.97511, racer
-2.11692, -12.7965, 5.02374, racer
-2.04637, -12.8159, 5.00893, racer
-1.61197, -12.6161, 5.02018, racer
-0.709649, -12.3793, 5.24341, racer
-0.359442, -13.0355, 5.15658, racer
-0.33609, -14.1458, 4.97052, racer
-0.297346, -14.5893, 4.92617, racer
-0.297352, -13.8441, 5.10174, racer
-0.373789, -13.0291, 5.1414, racer
-0.967055, -13.0669, 4.92186, racer
-2.05141, -12.9924, 4.67117, racer
-2.2292, -12.9108, 4.64548, racer
-1.64969, -13.0563, 4.74404, racer
-1.39346, -13.0913, 4.78778, racer
-0.956205, -12.6928, 4.86726, racer
-0.0482989, -12.7677, 4.88883, racer
0.594389, -13.0131, 4.47557, racer
0.643305, -12.9508, 4.56549, racer
0.283342, -12.8989, 4.72674, racer
0.270133, -12.9186, 4.75239, racer
0.332634, -12.9103, 4.71554, racer
0.332718, -12.9119, 4.7226, racer
-0.179838, -12.912, 4.87756, racer
-0.583298, -13.0729, 4.7227, racer
0.0457533, -13.0362, 4.47473, racer
0.712858, -13.4484, 4.07989, racer
0.911301, -13.6047, 3.94153, racer
1.83386, -13.4425, 4.00301, racer
2.11827, -13.4156, 4.06717, racer
2.4679, -13.4428, 4.67698, racer
2.86859, -13.7407, 4.67086, racer
3.10321, -13.7386, 4.55552, racer
2.68628, -13.5958, 4.74767, racer
2.61988, -13.5319, 4.75954, racer
2.6099, -13.6613, 4.67566, racer
2.74773, -13.8251, 4.08732, racer
2.59295, -14.4132, 4.01113, racer
2.43398, -14.5526, 4.29025, racer
2.45821, -14.5496, 4.25068, racer
2.48029, -14.5464, 4.21495, racer
2.48193, -14.5347, 4.21479, racer
2.51945, -14.2008, 4.50921, racer
2.61711, -13.428, 4.94089, racer
2.56448, -13.2553, 4.79695, racer
2.4602, -13.1476, 4.49928, racer
2.48923, -13.1009, 4.35986, racer
2.48923, -13.1009, 4.35986, racer
2.48923, -13.1009, 4.35986, racer
2.48923, -13.1009, 4.35986, racer
2.48923, -13.1009, 4.35986, racer
2.35406, -13.2386, 4.49849, racer
2.29383, -13.7178, 4.78035, racer
2.58643, -13.8387, 4.62309, racer
2.61286, -13.4608, 4.42398, racer
2.48813, -13.1103, 4.3654, racer
2.40216, -12.995, 4.35224, racer
2.33025, -13.106, 4.23106, racer
2.33025, -13.106, 4.23106, racer
2.15328, -13.3013, 4.04843, racer
1.47027, -13.6669, 3.94943, racer
0.729103, -13.7188, 4.00516, racer
0.532469, -13.305, 3.94205, racer
0.113023, -13.5309, 3.64181, racer
0.408615, -13.6296, 3.82246, racer
0.862944, -13.7675, 4.00476, racer
0.892456, -13.7758, 4.01384, racer
1.04266, -13.7646, 3.98583, racer
1.51763, -13.6309, 3.83091, racer
1.71166, -13.5549, 3.96185, racer
2.00094, -13.778, 4.06984, racer
2.77799, -13.8763, 4.00047, racer
2.84009, -13.7251, 3.84875, racer
2.73365, -13.6254, 3.86984, racer
2.74397, -13.5638, 3.87794, racer
2.74966, -13.4041, 3.88628, racer
2.75784, -13.3951, 3.88185, racer
2.73125, -13.4682, 3.89272, racer
2.71715, -13.5061, 3.8988, racer
2.71449, -13.5129, 3.90004, racer
2.71707, -13.5063, 3.89884, racer
2.71707, -13.5063, 3.89884, racer
2.7291, -13.5323, 4.08649, racer
2.72509, -13.7931, 4.66742, racer
2.61214, -13.8597, 4.72758, racer
2.79372, -13.713, 4.36875, racer
2.71771, -13.5116, 3.9175, racer
2.70487, -13.502, 3.90277, racer
2.15554, -13.3135, 4.0503, racer
1.75715, -13.1716, 3.9403, racer
1.74304, -13.0987, 3.68641, racer
1.10636, -12.7644, 3.96539, racer
0.912776, -12.6875, 3.97609, racer
0.997509, -12.7353, 3.75832, racer
0.479586, -12.6112, 4.18808, racer
0.155208, -12.2385, 4.85644, racer
0.245212, -12.2632, 4.96978, racer
-0.460278, -12.1969, 4.85085, racer
-0.760574, -12.1379, 4.7247, racer
-0.10096, -12.305, 5.0032, racer
0.723705, -12.4179, 4.90195, racer
0.398591, -12.358, 4.75653, racer
0.168507, -12.331, 4.70796, racer
0.543959, -12.3956, 4.75908, racer
0.959112, -12.313, 4.22388, racer
0.892913, -12.3092, 3.94887, racer
1.63664, -12.4045, 4.05301, racer
1.80187, -12.4292, 3.80935, racer
1.48031, -12.4137, 3.33167, racer
1.13967, -12.3667, 3.75979, racer
0.858183, -12.3047, 3.93101, racer
0.82962, -12.4905, 4.01912, racer
0.840474, -13.0935, 4.04423, racer
0.652696, -13.0297, 4.03422, racer
0.291496, -13.0437, 4.04829, racer
0.413759, -13.6375, 4.46375, racer
0.40008, -13.9223, 4.79162, racer
0.0653335, -13.898, 4.68556, racer
-0.123665, -13.8694, 4.60332, racer
-0.510964, -13.7325, 5.23461, racer
-0.608782, -13.7037, 5.3203, racer
-1.00262, -13.9718, 5.57385, racer
-1.39091, -14.0577, 5.79777, racer
-1.39815, -14.0592, 5.80163, racer
-1.10092, -13.9078, 5.59393, racer
-0.63571, -13.7159, 5.33386, racer
-0.611487, -13.7063, 5.32073, racer
-0.610181, -13.7058, 5.31998, racer
-0.845888, -13.4971, 5.05144, racer
-1.36677, -13.2937, 4.81022, racer
-1.36177, -13.2995, 4.81202, racer
-1.49615, -13.2184, 4.79829, racer
-1.79052, -12.4854, 4.78901, racer
-1.84518, -12.3429, 4.85046, racer
-2.199, -12.5205, 5.34952, racer
-2.56049, -12.5559, 5.36566, racer
-2.44155, -12.5536, 5.4476, racer
-2.28591, -12.5902, 6.13285, racer
-2.42679, -12.6055, 6.32848, racer
-2.16574, -12.6101, 5.92044, racer
-2.08649, -12.5345, 5.10878, racer
-2.46734, -12.5499, 5.28275, racer
-2.55749, -12.5556, 5.36084, racer
-2.25972, -12.4409, 5.56292, racer
-2.23479, -12.1946, 6.18584, racer
-2.2111, -12.4184, 6.45364, racer
-1.66452, -12.7633, 6.55359, racer
-1.52738, -12.7991, 6.53823, racer
-1.66006, -12.5571, 6.38832, racer
-2.20037, -12.2224, 6.12176, racer
-2.21343, -12.2173, 6.11786, racer
-2.2097, -12.2188, 6.11894, racer
-2.15548, -12.3167, 6.11889, racer
-1.73542, -12.9635, 6.14288, racer
-1.67816, -13.056, 6.14586, racer
-1.68181, -13.0515, 6.14688, racer
-2.06543, -12.4717, 6.13773, racer
-2.1923, -12.2431, 6.1219, racer
-2.20688, -12.216, 6.12008, racer
-2.20195, -12.219, 6.12113, racer
-1.79353, -12.5875, 6.31384, racer
-1.50708, -12.8503, 6.45892, racer
-1.50323, -12.8659, 6.45373, racer
-1.33044, -13.2108, 5.90908, racer
-1.27571, -13.3152, 5.59995, racer
-1.07768, -13.2639, 5.49926, racer
-0.797959, -12.7078, 5.05992, racer
-0.788204, -12.6627, 5.03679, racer
-0.864083, -12.7711, 5.12706, racer
-1.17292, -13.1855, 5.48387, racer
-1.27975, -13.3208, 5.6033, racer
-1.28, -13.3211, 5.60359, racer
-1.27448, -13.3143, 5.59751, racer
-1.263, -13.3266, 5.60763, racer
-0.90057, -13.7114, 5.87319, racer
-0.696247, -13.9693, 6.04764, racer
-0.681159, -13.9887, 6.06053, racer
-0.588759, -13.9806, 6.07143, racer
0.125284, -13.9541, 6.3248, racer
0.248762, -13.9494, 6.36999, racer
0.26297, -13.9487, 6.37558, racer
