Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
1.873, 12, 0.0692042, 8.512, 3.488, 17328
2.873, 15.528, 0.0895502, 11.088, 4.44, 17324.5
2.873, 27.992, 0.16143, 19.264, 8.728, 17312
4.873, 37.912, 0.218639, 26.808, 11.104, 17302.1
5.873, 44.88, 0.258824, 31.872, 13.008, 17295.1
5.873, 46.48, 0.268051, 33.304, 13.176, 17293.5
5.936, 48.272, 0.278385, 34.824, 13.448, 17291.7
6.936, 55.52, 0.320185, 40.488, 15.032, 17284.5
10.873, 67.488, 0.389204, 49.88, 17.608, 17272.5
11.873, 73.344, 0.422976, 55.088, 18.256, 17266.7
11.873, 77.448, 0.446644, 58.848, 18.6, 17262.6
11.936, 80.952, 0.466851, 61.696, 19.256, 17259
15.873, 83.632, 0.482307, 63.16, 20.472, 17256.4
16.873, 90.952, 0.524521, 69.824, 21.128, 17249
16.873, 97.888, 0.564521, 75.672, 22.216, 17242.1
16.936, 103.12, 0.594694, 80.216, 22.904, 17236.9
20.873, 104.352, 0.601799, 81.528, 22.824, 17235.6
21.873, 107.512, 0.620023, 84.384, 23.128, 17232.5
21.873, 110.176, 0.635386, 86.736, 23.44, 17229.8
21.936, 112.544, 0.649043, 88.848, 23.696, 17227.5
25.873, 121.496, 0.700669, 97.992, 23.504, 17218.5
26.873, 125.232, 0.722215, 101.512, 23.72, 17214.8
26.873, 128.776, 0.742653, 105.344, 23.432, 17211.2
26.936, 132.88, 0.766321, 109.28, 23.6, 17207.1
30.873, 140.256, 0.808858, 116.616, 23.64, 17199.7
30.873, 159.296, 0.918662, 132.992, 26.304, 17180.7
30.936, 171.528, 0.989204, 142.408, 29.12, 17168.5
31.936, 174.392, 1.00572, 144.256, 30.136, 17165.6
35.873, 176.896, 1.02016, 145.928, 30.968, 17163.1
35.873, 180.664, 1.04189, 149.24, 31.424, 17159.3
35.937, 189.024, 1.0901, 156.304, 32.72, 17151
39.873, 193.512, 1.11599, 160.912, 32.6, 17146.5
40.873, 196.96, 1.13587, 164.24, 32.72, 17143
40.873, 198.096, 1.14242, 165.328, 32.768, 17141.9
40.936, 199.88, 1.15271, 166.568, 33.312, 17140.1
44.873, 201, 1.15917, 167.456, 33.544, 17139
45.873, 211.336, 1.21878, 176.408, 34.928, 17128.7
45.873, 226.672, 1.30722, 188.816, 37.856, 17113.3
45.936, 242.16, 1.39654, 200.312, 41.848, 17097.8
49.873, 246.68, 1.42261, 202.728, 43.952, 17093.3
50.873, 267.12, 1.54048, 219.048, 48.072, 17072.9
50.873, 277.576, 1.60078, 225.568, 52.008, 17062.4
50.936, 285.24, 1.64498, 232.384, 52.856, 17054.8
54.874, 290.672, 1.67631, 236.424, 54.248, 17049.3
55.873, 292.832, 1.68877, 237.288, 55.544, 17047.2
55.873, 293.52, 1.69273, 237.088, 56.432, 17046.5
58.873, 296.376, 1.7092, 238.512, 57.864, 17043.6
59.873, 299.48, 1.7271, 241.776, 57.704, 17040.5
59.873, 306.464, 1.76738, 248.712, 57.752, 17033.5
59.936, 312.8, 1.80392, 255.728, 57.072, 17027.2
63.873, 314.816, 1.81555, 257.896, 56.92, 17025.2
63.873, 315.408, 1.81896, 258.856, 56.552, 17024.6
63.936, 315.872, 1.82164, 258.376, 57.496, 17024.1
67.873, 318.712, 1.83802, 260.36, 58.352, 17021.3
67.873, 319.856, 1.84461, 260.504, 59.352, 17020.1
67.936, 322.096, 1.85753, 262.424, 59.672, 17017.9
71.873, 323.184, 1.86381, 263.648, 59.536, 17016.8
72.873, 325.184, 1.87534, 266.232, 58.952, 17014.8
72.873, 325.624, 1.87788, 266.488, 59.136, 17014.4
75.873, 326.216, 1.88129, 267.104, 59.112, 17013.8
76.873, 328.056, 1.8919, 269.752, 58.304, 17011.9
76.873, 334.536, 1.92927, 276.392, 58.144, 17005.5
79.873, 341.392, 1.96881, 283.312, 58.08, 16998.6
80.873, 342.008, 1.97236, 283.92, 58.088, 16998
80.873, 352.152, 2.03087, 294.696, 57.456, 16987.8
80.936, 358, 2.06459, 300.744, 57.256, 16982
84.873, 359.256, 2.07183, 302.152, 57.104, 16980.7
85.874, 359.6, 2.07382, 302.76, 56.84, 16980.4
85.874, 361.896, 2.08706, 304.752, 57.144, 16978.1
85.936, 361.984, 2.08757, 304.904, 57.08, 16978
89.873, 362.176, 2.08867, 305.336, 56.84, 16977.8
90.873, 362.448, 2.09024, 305.824, 56.624, 16977.6
90.873, 363.056, 2.09375, 306.664, 56.392, 16976.9
90.936, 363.248, 2.09486, 306.12, 57.128, 16976.8
94.873, 363.952, 2.09892, 306.736, 57.216, 16976
94.873, 365.392, 2.10722, 308.424, 56.968, 16974.6
94.936, 365.416, 2.10736, 308.584, 56.832, 16974.6
98.873, 365.568, 2.10824, 308.92, 56.648, 16974.4
98.873, 366.68, 2.11465, 309.736, 56.944, 16973.3
98.936, 366.752, 2.11506, 309.512, 57.24, 16973.2
102.873, 366.824, 2.11548, 309.688, 57.136, 16973.2
103.873, 367.672, 2.12037, 310.024, 57.648, 16972.3
103.873, 368.328, 2.12415, 309.656, 58.672, 16971.7
106.873, 377.232, 2.1755, 317.4, 59.832, 16962.8
106.873, 380.848, 2.19636, 319.48, 61.368, 16959.2
109.873, 381.416, 2.19963, 319.136, 62.28, 16958.6
110.873, 383.152, 2.20964, 320.264, 62.888, 16956.8
110.873, 385.272, 2.22187, 322.544, 62.728, 16954.7
110.936, 386.904, 2.23128, 323.904, 63, 16953.1
114.873, 387.112, 2.23248, 324.568, 62.544, 16952.9
114.873, 389.16, 2.24429, 326.592, 62.568, 16950.8
114.936, 389.8, 2.24798, 327.328, 62.472, 16950.2
118.873, 393.008, 2.26648, 330.776, 62.232, 16947
119.873, 395.544, 2.28111, 333.336, 62.208, 16944.5
119.873, 396.864, 2.28872, 334.544, 62.32, 16943.1
122.873, 398.84, 2.30012, 336.584, 62.256, 16941.2
123.873, 399.304, 2.30279, 337.008, 62.296, 16940.7
123.873, 399.448, 2.30362, 337.272, 62.176, 16940.6
123.936, 401.904, 2.31779, 340.08, 61.824, 16938.1
127.873, 407.784, 2.3517, 345.136, 62.648, 16932.2
127.873, 413.096, 2.38233, 350.032, 63.064, 16926.9
127.936, 418.128, 2.41135, 354.824, 63.304, 16921.9
131.873, 423.016, 2.43954, 359.808, 63.208, 16917
131.873, 423.64, 2.44314, 360.792, 62.848, 16916.4
131.936, 425.248, 2.45241, 362.44, 62.808, 16914.8
135.873, 427.368, 2.46464, 364.664, 62.704, 16912.6
135.873, 428.736, 2.47253, 365.896, 62.84, 16911.3
135.936, 428.736, 2.47253, 365.784, 62.952, 16911.3
139.873, 429.104, 2.47465, 366.2, 62.904, 16910.9
139.873, 429.744, 2.47834, 366.768, 62.976, 16910.3
139.936, 430.048, 2.48009, 367.08, 62.968, 16910
143.873, 430.888, 2.48494, 367.712, 63.176, 16909.1
143.873, 432.536, 2.49444, 369.28, 63.256, 16907.5
146.873, 434.784, 2.5074, 370.832, 63.952, 16905.2
147.873, 435.224, 2.50994, 371.4, 63.824, 16904.8
147.873, 437.032, 2.52037, 373.048, 63.984, 16903
150.873, 437.376, 2.52235, 373.304, 64.072, 16902.6
