Goal x, Goal y, Goal z, Planner
10.0687, -11.9998, 1.00923, racer
10.4325, -11.9997, 1.00354, racer
10.4776, -12.1305, 1.00512, racer
10.4773, -12.1137, 1.00201, racer
10.4917, -12.0545, 1.01072, racer
10.8325, -12.2107, 1.39418, racer
11.2327, -12.4387, 2.05426, racer
11.2625, -12.4484, 2.1055, racer
11.2512, -12.4737, 2.12952, racer
11.2511, -12.4799, 2.13762, racer
11.1418, -12.7208, 2.10918, racer
10.2993, -13.422, 2.17207, racer
9.86674, -13.4216, 2.28094, racer
10.0598, -13.301, 2.06311, racer
10.9533, -12.9818, 1.55153, racer
11.9245, -13.0451, 1.32452, racer
12.4269, -13.5725, 1.58568, racer
12.4017, -14.4291, 1.90138, racer
12.3767, -14.5464, 1.96849, racer
12.636, -14.2501, 2.21751, racer
12.5741, -13.8511, 1.99067, racer
12.022, -12.7361, 1.58196, racer
12.03, -12.0953, 1.95569, racer
11.874, -11.498, 2.07871, racer
11.0716, -10.849, 2.13214, racer
10.3903, -10.6308, 1.82764, racer
10.5787, -11.0682, 1.48703, racer
11.4464, -11.8436, 1.47792, racer
11.7212, -12.2305, 1.06987, racer
12.0012, -12.6014, 1.57008, racer
12.3769, -12.6211, 2.07422, racer
12.3969, -13.1047, 1.99539, racer
12.0007, -13.1613, 1.92356, racer
11.8701, -12.2092, 2.00308, racer
11.6861, -11.4303, 1.80327, racer
10.83, -11.1683, 1.89988, racer
9.76224, -10.7959, 2.00293, racer
8.80099, -10.9577, 2.09967, racer
8.24649, -11.1705, 2.08212, racer
8.81303, -11.1505, 1.96384, racer
9.78087, -11.2215, 1.96006, racer
10.2493, -11.4068, 1.93502, racer
10.9425, -11.7393, 1.87382, racer
11.664, -11.3215, 1.37111, racer
12.307, -10.2364, 1.57421, racer
12.4029, -9.79463, 1.64933, racer
11.8029, -9.88957, 1.25382, racer
11.7033, -9.51822, 1.21459, racer
11.4474, -8.50033, 1.2614, racer
11.031, -8.11339, 1.28277, racer
9.94767, -7.78727, 1.35599, racer
9.3277, -7.58521, 1.38214, racer
8.69182, -7.30786, 1.51919, racer
8.69182, -7.30786, 1.51919, racer
8.81759, -7.31983, 1.53088, racer
9.35221, -6.86423, 1.42393, racer
9.61997, -5.6634, 1.23687, racer
9.23188, -5.06478, 1.5495, racer
9.65875, -5.41072, 1.80304, racer
10.533, -5.96903, 1.36475, racer
11.3051, -6.09278, 1.38585, racer
12.2026, -6.16068, 1.23609, racer
12.4308, -6.79761, 1.11604, racer
11.712, -6.7044, 1.22886, racer
10.899, -6.16337, 1.21647, racer
10.3922, -5.76932, 1.21664, racer
9.78932, -5.30582, 1.56387, racer
9.40472, -4.68344, 1.33588, racer
8.65316, -4.08818, 0.949428, racer
8.09054, -4.25821, 0.994766, racer
8.50758, -4.59991, 0.999578, racer
9.4667, -4.65835, 0.876292, racer
9.96642, -5.40522, 1.26838, racer
10.7837, -6.04669, 1.47354, racer
11.7506, -6.22362, 1.76411, racer
12.2053, -6.99849, 1.94498, racer
12.2114, -7.1791, 1.88128, racer
11.8588, -6.29787, 1.90415, racer
11.3865, -5.34729, 1.91193, racer
10.714, -4.77336, 1.54553, racer
11.0777, -4.65946, 1.06925, racer
11.9945, -4.42305, 1.05419, racer
13.1221, -4.0846, 0.943105, racer
13.5268, -4.61139, 1.06681, racer
12.9138, -4.90003, 1.31039, racer
11.8499, -4.56149, 1.05291, racer
10.9256, -4.38972, 0.952537, racer
10.0812, -3.92056, 0.929421, racer
9.64416, -3.43637, 1.14034, racer
9.37124, -2.22961, 1.63961, racer
8.94688, -1.87182, 1.51167, racer
8.23139, -2.55523, 1.64256, racer
7.56795, -3.24129, 1.36283, racer
7.58661, -3.81908, 1.37862, racer
7.27152, -4.73719, 1.53618, racer
7.12259, -5.61953, 1.98191, racer
7.64194, -6.25316, 1.66959, racer
7.32554, -6.17986, 1.50471, racer
6.45646, -5.90767, 1.27037, racer
5.76355, -5.06864, 0.955583, racer
5.36095, -4.12761, 1.04609, racer
5.59198, -3.99408, 1.33697, racer
5.24012, -4.8324, 1.6781, racer
4.2011, -5.33512, 1.52561, racer
3.63759, -5.57278, 1.38306, racer
2.8507, -5.54388, 1.51628, racer
2.10843, -5.28729, 1.18226, racer
1.78892, -4.34293, 0.996692, racer
1.87986, -3.12994, 1.03685, racer
1.59604, -1.97284, 1.49714, racer
1.69381, -1.47173, 2.13271, racer
1.27572, -1.77008, 1.73783, racer
1.04335, -2.05104, 1.19788, racer
1.04335, -2.05104, 1.19788, racer
1.08764, -2.16547, 1.29801, racer
