Iteration, Path length, Time, Planning, Flying
1, 0.105639, 0.964, 0.469, 0.48
2, 0.45442, 1.964, 0.469, 1.48
3, 0.603792, 2.965, 0.563, 2.385
4, 0.657369, 3.964, 1.129, 2.822
5, 0.691663, 4.964, 1.847, 3.102
6, 0.932845, 5.965, 2.411, 3.537
7, 1.03173, 6.966, 2.65, 4.303
8, 1.07395, 7.964, 3.495, 4.458
9, 1.55731, 8.964, 3.583, 5.367
10, 2.68775, 9.965, 3.602, 6.348
11, 3.31588, 10.964, 3.678, 7.27
12, 4.34591, 11.964, 3.756, 8.192
13, 5.14307, 12.965, 3.756, 9.192
14, 5.88398, 13.964, 3.793, 10.155
15, 6.65969, 14.966, 3.832, 11.117
16, 7.5829, 15.965, 4.044, 11.904
17, 7.63872, 16.966, 4.672, 12.276
18, 8.42941, 17.965, 4.749, 13.2
19, 9.48936, 18.964, 4.825, 14.124
20, 10.3426, 19.964, 4.862, 15.088
21, 11.2335, 20.965, 4.963, 15.988
22, 12.1434, 21.965, 5.041, 16.909
23, 13.0935, 22.965, 5.095, 17.853
24, 13.6756, 23.965, 5.117, 18.831
25, 14.7923, 24.964, 5.192, 19.756
26, 15.7182, 25.966, 5.247, 20.701
27, 16.9764, 26.965, 5.269, 21.679
28, 17.6186, 27.965, 5.328, 22.622
29, 18.2507, 28.965, 5.388, 23.563
30, 18.813, 29.965, 5.491, 24.457
31, 19.6839, 30.967, 5.51, 25.443
32, 20.6036, 31.965, 5.569, 26.379
33, 20.784, 32.964, 6.007, 26.942
34, 21.0542, 33.965, 6.38, 27.569
35, 22.235, 34.966, 6.483, 28.467
36, 23.1513, 35.965, 6.529, 29.42
37, 24.2158, 36.966, 6.623, 30.328
38, 24.9613, 37.964, 6.667, 31.282
39, 25.9775, 38.967, 6.762, 32.189
40, 26.5989, 39.966, 6.762, 33.186
41, 27.4684, 40.965, 6.841, 34.108
42, 28.7868, 41.966, 6.896, 35.053
43, 29.8302, 42.966, 6.99, 35.959
44, 30.63, 43.964, 6.99, 36.96
45, 31.7269, 44.964, 7.03, 37.921
46, 32.234, 45.964, 7.067, 38.885
47, 33.1885, 46.966, 7.092, 39.859
48, 34.2605, 47.965, 7.127, 40.824
49, 35.2107, 48.966, 7.203, 41.75
50, 36.0317, 49.964, 7.203, 42.746
51, 37.1531, 50.964, 7.203, 43.745
52, 38.0279, 51.968, 7.228, 44.72
53, 38.8818, 52.966, 7.291, 45.66
54, 39.4847, 53.965, 7.343, 46.61
55, 39.9177, 54.964, 7.38, 47.568
56, 41.1705, 55.968, 7.417, 48.531
57, 42.3004, 56.964, 7.541, 49.409
58, 43.0992, 57.965, 7.579, 50.37
59, 43.8839, 58.966, 7.624, 51.326
60, 44.6934, 59.964, 7.624, 52.328
61, 45.6573, 60.965, 7.684, 53.264
62, 46.4445, 61.964, 7.703, 54.246
63, 47.6423, 62.965, 7.741, 55.208
64, 48.7416, 63.964, 7.82, 56.133
