Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
2.944, 75.48, 0.435294, 56.04, 19.44, 17264.5
3.944, 96.312, 0.555433, 72.224, 24.088, 17243.7
4.944, 108.168, 0.623806, 80.16, 28.008, 17231.8
4.944, 120.432, 0.694533, 90.32, 30.112, 17219.6
4.944, 125.92, 0.726182, 94.104, 31.816, 17214.1
8.944, 136.928, 0.789666, 104.368, 32.56, 17203.1
8.944, 151.112, 0.871465, 116.848, 34.264, 17188.9
11.944, 166.496, 0.960185, 132.488, 34.008, 17173.5
11.944, 174.968, 1.00904, 140.888, 34.08, 17165
11.944, 183.568, 1.05864, 149.736, 33.832, 17156.4
12.899, 198.368, 1.14399, 164.824, 33.544, 17141.6
16.944, 199.92, 1.15294, 166.392, 33.528, 17140.1
16.944, 200.856, 1.15834, 167.472, 33.384, 17139.1
16.944, 203.024, 1.17084, 169.56, 33.464, 17137
20.944, 203.432, 1.17319, 169.84, 33.592, 17136.6
20.944, 206.352, 1.19003, 172.808, 33.544, 17133.6
20.944, 224.568, 1.29509, 188.664, 35.904, 17115.4
24.944, 262.312, 1.51276, 223.648, 38.664, 17077.7
25.944, 289.688, 1.67063, 250.608, 39.08, 17050.3
25.944, 316.864, 1.82736, 275.944, 40.92, 17023.1
28.945, 347.2, 2.00231, 305.912, 41.288, 16992.8
28.945, 371.808, 2.14422, 330.168, 41.64, 16968.2
28.945, 382.024, 2.20314, 340.032, 41.992, 16958
32.944, 388.608, 2.24111, 346.552, 42.056, 16951.4
32.944, 408.072, 2.35336, 366.016, 42.056, 16931.9
32.944, 429.88, 2.47912, 387.872, 42.008, 16910.1
36.944, 443.336, 2.55672, 401.328, 42.008, 16896.7
36.944, 453.352, 2.61449, 411.344, 42.008, 16886.6
36.944, 478.064, 2.757, 436.776, 41.288, 16861.9
40.944, 500.728, 2.8877, 457.264, 43.464, 16839.3
40.944, 509.864, 2.94039, 466.336, 43.528, 16830.1
40.944, 515.128, 2.97075, 471.656, 43.472, 16824.9
44.944, 523.024, 3.01629, 479.152, 43.872, 16817
45.944, 528.368, 3.0471, 484.36, 44.008, 16811.6
45.944, 542.584, 3.12909, 498.2, 44.384, 16797.4
45.944, 570.6, 3.29066, 522.872, 47.728, 16769.4
49.944, 587.304, 3.38699, 536.424, 50.88, 16752.7
50.944, 623.352, 3.59488, 565.04, 58.312, 16716.6
50.944, 649.688, 3.74676, 588.504, 61.184, 16690.3
50.944, 658.68, 3.79862, 598.128, 60.552, 16681.3
54.944, 662.312, 3.81956, 601.976, 60.336, 16677.7
54.944, 669.264, 3.85965, 608.664, 60.6, 16670.7
54.944, 683.184, 3.93993, 622.968, 60.216, 16656.8
58.944, 695.56, 4.0113, 635.672, 59.888, 16644.4
59.944, 711.896, 4.10551, 652.008, 59.888, 16628.1
59.944, 732.4, 4.22376, 672.664, 59.736, 16607.6
62.945, 740.52, 4.27059, 680.792, 59.728, 16599.5
63.944, 749.664, 4.32332, 689.872, 59.792, 16590.3
63.944, 761.424, 4.39114, 701.632, 59.792, 16578.6
63.944, 765.368, 4.41389, 705.576, 59.792, 16574.6
67.944, 773.92, 4.46321, 713.824, 60.096, 16566.1
67.944, 781.008, 4.50408, 720.152, 60.856, 16559
67.944, 784.056, 4.52166, 723.224, 60.832, 16555.9
68.899, 792.808, 4.57213, 731.568, 61.24, 16547.2
72.944, 802.84, 4.62999, 741.216, 61.624, 16537.2
72.944, 818.856, 4.72235, 756.192, 62.664, 16521.1
75.944, 833.768, 4.80835, 770.4, 63.368, 16506.2
76.944, 842.464, 4.8585, 779.048, 63.416, 16497.5
76.944, 855.376, 4.93296, 791.952, 63.424, 16484.6
76.944, 877.92, 5.06298, 812.536, 65.384, 16462.1
80.944, 899.472, 5.18727, 831.048, 68.424, 16440.5
80.944, 913.72, 5.26943, 843.048, 70.672, 16426.3
83.944, 924.872, 5.33375, 851.184, 73.688, 16415.1
83.944, 936.064, 5.39829, 860.432, 75.632, 16403.9
83.944, 952.864, 5.49518, 874.28, 78.584, 16387.1
87.944, 963.672, 5.55751, 881.992, 81.68, 16376.3
87.944, 972.2, 5.60669, 888.864, 83.336, 16367.8
87.944, 990.032, 5.70953, 905.352, 84.68, 16350
91.944, 1009.66, 5.82275, 919.296, 90.368, 16330.3
92.944, 1017.7, 5.86907, 923.824, 93.872, 16322.3
92.944, 1039.54, 5.99506, 941.896, 97.648, 16300.5
95.944, 1067.22, 6.15469, 964.104, 103.12, 16272.8
96.944, 1100.74, 6.34796, 995.672, 105.064, 16239.3
96.944, 1128.41, 6.50754, 1022.18, 106.224, 16211.6
96.944, 1151.65, 6.64157, 1045.32, 106.328, 16188.4
100.945, 1168.9, 6.74104, 1062.58, 106.32, 16171.1
100.945, 1183.03, 6.82256, 1076.74, 106.296, 16157
100.945, 1205.09, 6.94976, 1098.82, 106.264, 16134.9
104.944, 1225.66, 7.06842, 1119.4, 106.264, 16114.3
104.944, 1243.09, 7.1689, 1137.26, 105.832, 16096.9
105.89, 1254.47, 7.23456, 1148.7, 105.768, 16085.5
108.944, 1263.19, 7.28484, 1156.86, 106.328, 16076.8
108.944, 1268.26, 7.31409, 1162.09, 106.176, 16071.7
109.89, 1282.56, 7.39654, 1176.49, 106.072, 16057.4
112.944, 1297.93, 7.48517, 1192.54, 105.392, 16042.1
112.944, 1313.65, 7.57582, 1207.27, 106.376, 16026.4
113.89, 1331.9, 7.68106, 1223.89, 108.008, 16008.1
116.944, 1344.28, 7.75248, 1235.08, 109.2, 15995.7
116.944, 1369.58, 7.89836, 1253.41, 116.168, 15970.4
117.89, 1381.94, 7.96969, 1264.65, 117.296, 15958.1
120.944, 1386.31, 7.99488, 1269.02, 117.296, 15953.7
121.944, 1395.73, 8.04918, 1278.3, 117.432, 15944.3
121.944, 1404.35, 8.09892, 1287.06, 117.296, 15935.6
122.89, 1412.14, 8.14381, 1294.76, 117.376, 15927.9
125.944, 1436.15, 8.28231, 1315.7, 120.456, 15903.8
125.944, 1452.33, 8.37559, 1328.82, 123.504, 15887.7
126.89, 1471.31, 8.48507, 1345.92, 125.392, 15868.7
129.944, 1492.44, 8.60692, 1365.02, 127.424, 15847.6
129.944, 1524.95, 8.79442, 1390.92, 134.032, 15815
130.89, 1543.33, 8.90039, 1407.32, 136.008, 15796.7
133.944, 1558.34, 8.98699, 1420.34, 138, 15781.7
134.944, 1576.27, 9.09038, 1433.58, 142.688, 15763.7
134.944, 1578.88, 9.10542, 1435.83, 143.048, 15761.1
135.89, 1584.49, 9.13776, 1440.89, 143.6, 15755.5
138.944, 1592.72, 9.18524, 1448.62, 144.096, 15747.3
138.944, 1604.99, 9.25601, 1457.94, 147.056, 15735
139.89, 1615.98, 9.3194, 1468.94, 147.04, 15724
