Goal x, Goal y, Goal z, Planner
5.746, 12.1359, 3.81212, racer
5.81933, 12.6509, 3.879, racer
5.98139, 13.3178, 4.00744, racer
6.5032, 14.4503, 4.28768, racer
7.02874, 15.9757, 4.50738, racer
7.2513, 16.7117, 4.46946, racer
7.21352, 16.5075, 4.72617, racer
7.00901, 16.654, 4.76731, racer
5.86884, 16.9215, 4.67843, racer
4.41808, 16.8729, 4.86097, racer
3.885, 16.781, 5.9301, racer
4.38094, 16.0175, 6.70478, racer
5.37613, 15.0176, 6.57589, racer
5.72179, 14.8643, 6.73264, racer
5.79814, 14.8991, 7.61564, racer
5.8607, 14.8707, 8.02877, racer
5.65069, 14.4571, 8.24753, racer
5.47245, 14.2154, 8.26872, racer
5.36626, 14.1809, 8.26408, racer
5.36626, 14.1809, 8.26408, racer
4.87179, 14.6324, 8.86967, racer
4.64231, 14.7291, 9.02851, racer
4.04076, 15.0568, 9.47331, racer
3.83721, 15.267, 9.82593, racer
3.83721, 15.267, 9.82593, racer
3.16066, 16.4148, 11.1147, racer
2.89828, 16.6873, 11.2261, racer
2.89828, 16.6873, 11.2261, racer
3.29518, 16.6954, 11.1888, racer
3.29518, 16.6954, 11.1888, racer
4.13539, 15.8031, 11.0569, racer
4.12703, 15.4787, 10.8683, racer
4.12703, 15.4787, 10.8683, racer
3.60533, 14.1792, 10.2744, racer
3.3588, 14.3645, 11.0481, racer
3.20739, 14.5367, 12.0259, racer
3.13323, 14.3306, 12.3721, racer
3.23357, 13.6688, 12.7997, racer
3.75021, 13.1456, 13.546, racer
4.63448, 13.3926, 13.9328, racer
4.83693, 13.6146, 14.0145, racer
5.17157, 14.1104, 14.0052, racer
5.54988, 14.6438, 13.9672, racer
5.61606, 14.4934, 14.1676, racer
5.68757, 14.1403, 14.3406, racer
5.64176, 13.5165, 14.0197, racer
5.67741, 13.2084, 13.8584, racer
5.89686, 13.3325, 14.0742, racer
5.52704, 13.9245, 14.1853, racer
5.08162, 13.9232, 13.4456, racer
5.07333, 13.0913, 12.2043, racer
5.17496, 12.2065, 11.4057, racer
5.43792, 11.8572, 10.9791, racer
5.95616, 11.5954, 10.3226, racer
6.19976, 11.6344, 9.77163, racer
6.25858, 11.675, 9.73466, racer
6.99968, 12.022, 9.39074, racer
7.96999, 12.1262, 9.08677, racer
8.49118, 11.6651, 9.15093, racer
9.41741, 11.628, 9.32245, racer
