Iteration, Path length, Time, Planning, Flying
1, 0.108194, 0.964, 0.503, 0.46
2, 0.726298, 1.964, 0.503, 1.46
3, 1.68153, 2.964, 0.503, 2.44
4, 3.11644, 3.964, 0.521, 3.443
5, 4.68885, 4.964, 0.521, 4.423
6, 6.35092, 5.965, 0.521, 5.442
7, 7.93066, 6.964, 0.564, 6.38
8, 9.28381, 7.964, 0.564, 7.38
9, 10.8354, 8.964, 0.564, 8.38
10, 12.1687, 9.964, 0.603, 9.342
11, 13.4066, 10.965, 0.603, 10.34
12, 14.678, 11.964, 0.603, 11.34
13, 15.4988, 12.965, 0.603, 12.36
14, 16.0915, 13.965, 0.603, 13.36
15, 16.7153, 14.964, 0.603, 14.34
16, 17.4794, 15.965, 0.603, 15.36
17, 18.2873, 16.964, 0.603, 16.36
18, 18.7863, 17.964, 0.603, 17.341
19, 19.9587, 18.964, 0.603, 18.341
20, 20.7858, 19.964, 0.603, 19.341
21, 21.6986, 20.964, 0.603, 20.341
22, 23.0812, 21.964, 0.603, 21.341
23, 25.0128, 22.965, 0.622, 22.321
24, 26.5821, 23.965, 0.622, 23.341
25, 28.4102, 24.964, 0.622, 24.323
26, 30.2318, 25.964, 0.622, 25.341
27, 31.8974, 26.964, 0.622, 26.322
28, 33.855, 27.964, 0.622, 27.321
29, 35.5376, 28.964, 0.622, 28.323
30, 36.4953, 29.965, 0.622, 29.341
31, 37.1059, 30.965, 0.622, 30.341
32, 38.2482, 31.966, 0.642, 31.321
33, 40.0888, 32.964, 0.642, 32.321
34, 41.6115, 33.964, 0.843, 33.1
35, 41.9811, 34.964, 1.501, 33.462
36, 41.9811, 35.964, 2.481, 33.462
37, 41.9811, 36.964, 3.481, 33.462
38, 41.9811, 37.965, 4.501, 33.462
39, 41.9811, 38.966, 5.501, 33.462
40, 41.9811, 39.964, 6.481, 33.462
41, 41.9811, 40.966, 7.501, 33.462
42, 41.9811, 41.964, 8.482, 33.462
43, 41.9811, 42.964, 9.481, 33.462
44, 41.9811, 43.965, 10.501, 33.462
45, 41.9811, 44.965, 11.501, 33.462
46, 41.9811, 45.965, 12.501, 33.462
47, 41.9811, 46.964, 13.501, 33.462
48, 41.9811, 47.964, 14.501, 33.462
49, 41.9811, 48.965, 15.501, 33.462
50, 41.9811, 49.964, 16.482, 33.462
51, 41.9811, 50.964, 17.482, 33.462
52, 41.9811, 51.965, 18.501, 33.462
53, 41.9811, 52.964, 19.482, 33.462
54, 41.9811, 53.964, 20.481, 33.462
55, 41.9811, 54.965, 21.501, 33.462
56, 41.9811, 55.965, 22.501, 33.462
57, 41.9811, 56.965, 23.501, 33.462
58, 41.9811, 57.965, 24.501, 33.462
59, 41.9811, 58.964, 25.481, 33.462
60, 41.9811, 59.964, 26.482, 33.462
61, 41.9811, 60.964, 27.481, 33.462
62, 41.9811, 61.964, 28.482, 33.462
63, 41.9811, 62.965, 29.501, 33.462
64, 41.9811, 63.964, 30.482, 33.462
65, 41.9811, 64.964, 31.482, 33.462
66, 41.9811, 65.964, 32.482, 33.462
67, 41.9811, 66.965, 33.483, 33.462
68, 41.9811, 67.965, 34.501, 33.462
69, 41.9811, 68.964, 35.481, 33.462
70, 41.9811, 69.965, 36.501, 33.462
71, 41.9811, 70.964, 37.481, 33.462
72, 41.9811, 71.965, 38.501, 33.462
