Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
1.946, 43.672, 4.45633, 33.288, 10.384, 936.328
2.946, 52.08, 5.31429, 39.76, 12.32, 927.92
2.946, 66.416, 6.77714, 51.256, 15.16, 913.584
3.946, 81.392, 8.30531, 63.432, 17.96, 898.608
3.946, 84.68, 8.64082, 66.04, 18.64, 895.32
4.946, 88.936, 9.0751, 69.176, 19.76, 891.064
4.946, 92.6, 9.44898, 72.104, 20.496, 887.4
5.946, 96.392, 9.83592, 74.824, 21.568, 883.608
5.946, 97.312, 9.9298, 75.392, 21.92, 882.688
6.946, 100.128, 10.2171, 78.192, 21.936, 879.872
6.946, 102.032, 10.4114, 80.832, 21.2, 877.968
7.946, 102.656, 10.4751, 81.664, 20.992, 877.344
7.946, 103.056, 10.5159, 81.904, 21.152, 876.944
8.946, 103.776, 10.5894, 82.104, 21.672, 876.224
8.946, 104.16, 10.6286, 82.304, 21.856, 875.84
9.946, 107.536, 10.9731, 85.128, 22.408, 872.464
9.946, 110.848, 11.311, 88.536, 22.312, 869.152
10.946, 116.8, 11.9184, 93.984, 22.816, 863.2
10.946, 119.688, 12.2131, 96.608, 23.08, 860.312
11.947, 127.04, 12.9633, 103.776, 23.264, 852.96
11.947, 133.744, 13.6473, 109.448, 24.296, 846.256
12.946, 136.08, 13.8857, 111.064, 25.016, 843.92
12.946, 137.672, 14.0482, 112.48, 25.192, 842.328
13.946, 138.344, 14.1167, 112.928, 25.416, 841.656
13.946, 139.208, 14.2049, 113.688, 25.52, 840.792
14.946, 140.088, 14.2947, 114.576, 25.512, 839.912
14.946, 141.272, 14.4155, 115.688, 25.584, 838.728
15.946, 141.52, 14.4408, 116.2, 25.32, 838.48
15.946, 142.144, 14.5045, 116.68, 25.464, 837.856
16.947, 142.904, 14.582, 117.168, 25.736, 837.096
16.947, 143.096, 14.6016, 117.128, 25.968, 836.904
17.946, 143.168, 14.609, 117.296, 25.872, 836.832
17.946, 143.952, 14.689, 117.928, 26.024, 836.048
18.946, 145.336, 14.8302, 119, 26.336, 834.664
18.946, 145.656, 14.8629, 119.224, 26.432, 834.344
19.946, 145.776, 14.8751, 119.344, 26.432, 834.224
19.946, 145.856, 14.8833, 119.368, 26.488, 834.144
20.946, 146.296, 14.9282, 119.768, 26.528, 833.704
20.946, 154.208, 15.7355, 126.592, 27.616, 825.792
21.946, 163.344, 16.6678, 134.64, 28.704, 816.656
21.946, 165.776, 16.9159, 137.032, 28.744, 814.224
22.946, 166.816, 17.022, 138.208, 28.608, 813.184
22.946, 167.608, 17.1029, 138.808, 28.8, 812.392
23.946, 169.552, 17.3012, 140.472, 29.08, 810.448
23.946, 170.728, 17.4212, 141.168, 29.56, 809.272
24.946, 172.24, 17.5755, 142.936, 29.304, 807.76
24.946, 172.784, 17.631, 143.68, 29.104, 807.216
25.946, 173.56, 17.7102, 144.416, 29.144, 806.44
25.946, 175.424, 17.9004, 146.088, 29.336, 804.576
26.946, 182.064, 18.578, 151.552, 30.512, 797.936
26.946, 184.184, 18.7943, 153.84, 30.344, 795.816
27.946, 186.472, 19.0278, 156.344, 30.128, 793.528
27.946, 186.848, 19.0661, 156.68, 30.168, 793.152
28.946, 188.408, 19.2253, 158.008, 30.4, 791.592
28.946, 188.888, 19.2743, 158.328, 30.56, 791.112
29.946, 188.936, 19.2792, 158.024, 30.912, 791.064
29.946, 188.936, 19.2792, 157.984, 30.952, 791.064
30.946, 188.96, 19.2816, 158.008, 30.952, 791.04
30.946, 190.224, 19.4106, 159.48, 30.744, 789.776
31.946, 192.928, 19.6865, 162.416, 30.512, 787.072
31.946, 194.768, 19.8743, 164.016, 30.752, 785.232
32.946, 195.616, 19.9608, 164.592, 31.024, 784.384
32.946, 195.616, 19.9608, 164.472, 31.144, 784.384
33.946, 195.776, 19.9771, 164.488, 31.288, 784.224
33.946, 195.848, 19.9845, 164.536, 31.312, 784.152
34.947, 196.84, 20.0857, 165.368, 31.472, 783.16
34.947, 197.368, 20.1396, 166.056, 31.312, 782.632
35.947, 199.576, 20.3649, 168.168, 31.408, 780.424
35.947, 200.112, 20.4196, 169.4, 30.712, 779.888
36.946, 201.656, 20.5771, 171.136, 30.52, 778.344
36.946, 202.16, 20.6286, 171.592, 30.568, 777.84
37.946, 206.176, 21.0384, 175.096, 31.08, 773.824
37.946, 213.224, 21.7576, 181.2, 32.024, 766.776
38.946, 216.872, 22.1298, 183.536, 33.336, 763.128
38.946, 218.536, 22.2996, 184.616, 33.92, 761.464
39.946, 224.776, 22.9363, 190.024, 34.752, 755.224
39.946, 225.456, 23.0057, 192.528, 32.928, 754.544
40.947, 234.824, 23.9616, 199.968, 34.856, 745.176
40.947, 241.136, 24.6057, 205.192, 35.944, 738.864
41.946, 245.648, 25.0661, 210.2, 35.448, 734.352
41.946, 246.2, 25.1224, 210.52, 35.68, 733.8
42.946, 246.304, 25.1331, 210.776, 35.528, 733.696
42.946, 246.6, 25.1633, 210.864, 35.736, 733.4
43.946, 246.712, 25.1747, 210.72, 35.992, 733.288
43.946, 247.136, 25.218, 210.848, 36.288, 732.864
44.946, 248.32, 25.3388, 211.696, 36.624, 731.68
44.946, 251.056, 25.618, 213.728, 37.328, 728.944
45.946, 254.504, 25.9698, 216.56, 37.944, 725.496
45.946, 256.28, 26.151, 217.832, 38.448, 723.72
46.946, 260.52, 26.5837, 222.56, 37.96, 719.48
46.946, 269.976, 27.5486, 231.512, 38.464, 710.024
47.946, 275.776, 28.1404, 237.472, 38.304, 704.224
47.946, 277.904, 28.3576, 239.584, 38.32, 702.096
48.946, 280.976, 28.671, 242.656, 38.32, 699.024
48.946, 281.08, 28.6816, 242.768, 38.312, 698.92
49.946, 284.872, 29.0686, 245.448, 39.424, 695.128
49.946, 285.112, 29.0931, 245.384, 39.728, 694.888
50.946, 287.76, 29.3633, 246.96, 40.8, 692.24
50.946, 288.024, 29.3902, 247.208, 40.816, 691.976
51.946, 288.624, 29.4514, 247.776, 40.848, 691.376
51.946, 288.736, 29.4629, 247.88, 40.856, 691.264
52.946, 288.848, 29.4743, 247.44, 41.408, 691.152
52.946, 288.968, 29.4865, 247.328, 41.64, 691.032
53.946, 289.48, 29.5388, 247.888, 41.592, 690.52
53.946, 290.576, 29.6506, 248.976, 41.6, 689.424
54.946, 305.168, 31.1396, 263.192, 41.976, 674.832
54.946, 316.184, 32.2637, 273.4, 42.784, 663.816
55.946, 322.056, 32.8629, 277.744, 44.312, 657.944
55.946, 328.368, 33.5069, 283.144, 45.224, 651.632
56.946, 332.592, 33.938, 287.456, 45.136, 647.408
56.946, 333.272, 34.0073, 288.664, 44.608, 646.728
57.946, 333.608, 34.0416, 289.296, 44.312, 646.392
57.946, 334.664, 34.1494, 290.632, 44.032, 645.336
58.946, 336.608, 34.3478, 291.84, 44.768, 643.392
58.946, 344.864, 35.1902, 298.296, 46.568, 635.136
59.946, 350.696, 35.7853, 301.584, 49.112, 629.304
59.946, 352.744, 35.9943, 302.576, 50.168, 627.256
60.946, 356.592, 36.3869, 307.336, 49.256, 623.408
60.946, 358.016, 36.5322, 309.224, 48.792, 621.984
61.946, 359.808, 36.7151, 311.088, 48.72, 620.192
61.946, 360.352, 36.7706, 311.704, 48.648, 619.648
