Goal x, Goal y, Goal z, Planner
1.0072, -1.00143, 1.00002, racer
1.3221, -1.03779, 1.00499, racer
1.67181, -1.13751, 1.02854, racer
1.86147, -1.37382, 1.0672, racer
1.6596, -1.76978, 1.0514, racer
1.31858, -1.30293, 1.00845, racer
1.3244, -1.43042, 1.17075, racer
2.0002, -1.56339, 0.94684, racer
2.08433, -1.47682, 1.01666, racer
1.52399, -1.20275, 1.03521, racer
1.29884, -1.52104, 0.99343, racer
1.29556, -1.4426, 1.0023, racer
1.30598, -1.39465, 1.00055, racer
1.30361, -1.39652, 1.00004, racer
1.30406, -1.39552, 1.00006, racer
1.30322, -1.39728, 1.00001, racer
1.30377, -1.3961, 1.00004, racer
1.3042, -1.39525, 1.00006, racer
1.30338, -1.39694, 1.00002, racer
1.30388, -1.3959, 1.00005, racer
1.30299, -1.39775, 1, racer
1.30352, -1.39665, 1.00003, racer
1.30397, -1.39572, 1.00005, racer
1.30313, -1.39747, 1.00001, racer
1.30365, -1.39639, 1.00003, racer
1.30411, -1.39544, 1.00006, racer
1.30331, -1.39709, 1.00002, racer
1.30381, -1.39607, 1.00004, racer
1.30298, -1.39778, 0.999999, racer
1.30349, -1.39672, 1.00003, racer
1.30389, -1.39592, 1.00005, racer
1.30311, -1.39751, 1.00001, racer
1.30366, -1.39634, 1.00003, racer
1.30392, -1.3959, 1.00005, racer
1.30326, -1.39723, 1.00001, racer
1.30368, -1.39637, 1.00004, racer
1.30409, -1.39555, 1.00006, racer
1.30339, -1.39695, 1.00002, racer
1.30379, -1.39616, 1.00004, racer
1.30304, -1.39766, 1, racer
1.30356, -1.39659, 1.00003, racer
1.30388, -1.396, 1.00005, racer
1.30318, -1.39737, 1.00001, racer
1.30362, -1.3965, 1.00003, racer
1.30399, -1.39579, 1.00005, racer
1.30332, -1.3971, 1.00002, racer
1.30371, -1.39634, 1.00004, racer
1.30303, -1.39768, 1, racer
1.30344, -1.39687, 1.00002, racer
1.30381, -1.39615, 1.00004, racer
1.30314, -1.39746, 1.00001, racer
1.30359, -1.39657, 1.00003, racer
1.30385, -1.3961, 1.00004, racer
1.30327, -1.39721, 1.00001, racer
1.30366, -1.39646, 1.00003, racer
1.30297, -1.3978, 0.999999, racer
1.30344, -1.39687, 1.00002, racer
1.29842, -1.40632, 0.999769, racer
1.30777, -1.38878, 1.00024, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
1.30334, -1.39709, 1.00002, racer
