Iteration, Path length, Time, Planning, Flying
1, 0.223977, 0.917, 0.231, 0.681
2, 0.571769, 1.916, 0.231, 1.681
3, 0.753619, 2.917, 0.431, 2.483
4, 0.961886, 3.919, 0.548, 3.366
5, 1.76086, 4.918, 0.548, 4.366
6, 2.21756, 5.915, 0.644, 5.267
7, 2.857, 6.917, 0.958, 5.953
8, 2.87464, 7.918, 1.94, 5.953
9, 3.05322, 8.917, 2.377, 6.536
10, 4.23338, 9.917, 2.412, 7.501
11, 5.14864, 10.917, 2.412, 8.502
12, 5.97621, 11.916, 2.43, 9.482
13, 7.16949, 12.916, 2.466, 10.446
14, 7.77142, 13.917, 2.508, 11.404
15, 8.52579, 14.916, 2.562, 12.35
16, 9.01151, 15.916, 2.562, 13.35
17, 9.68831, 16.919, 2.678, 14.236
18, 10.0563, 17.918, 2.737, 15.175
19, 10.9588, 18.919, 2.778, 16.136
20, 11.7613, 19.915, 2.812, 17.085
21, 12.5411, 20.915, 2.912, 17.983
22, 13.2203, 21.915, 2.933, 18.96
23, 14.0876, 22.919, 2.957, 19.956
24, 14.5941, 23.92, 3.031, 20.883
25, 15.6755, 24.92, 3.108, 21.805
26, 16.1766, 25.916, 3.127, 22.784
27, 17.0785, 26.916, 3.2, 23.692
28, 18.1551, 27.919, 3.234, 24.679
29, 18.7167, 28.916, 3.294, 25.601
30, 19.4263, 29.918, 3.294, 26.617
31, 20.3277, 30.917, 3.368, 27.527
32, 21.4184, 31.916, 3.466, 28.445
33, 22.0208, 32.917, 3.483, 29.411
34, 23.1148, 33.919, 3.587, 30.326
35, 23.9647, 34.918, 3.669, 31.243
36, 24.9105, 35.915, 3.833, 32.061
37, 25.69, 36.916, 3.962, 32.929
38, 26.1815, 37.919, 4.036, 33.877
39, 27.3796, 38.918, 4.163, 34.751
40, 28.1261, 39.918, 4.292, 35.62
41, 29.6547, 40.916, 4.371, 36.54
42, 30.8099, 41.918, 4.444, 37.452
43, 31.4223, 42.92, 4.54, 38.374
44, 32.6505, 43.919, 4.605, 39.308
45, 33.0252, 44.916, 4.726, 40.17
46, 34.2435, 45.915, 4.816, 41.079
47, 35.2893, 46.916, 4.938, 41.954
48, 36.0983, 47.917, 4.993, 42.918
49, 36.9606, 48.916, 5.242, 43.655
50, 37.6008, 49.918, 5.361, 44.535
51, 38.8226, 50.915, 5.435, 45.459
52, 39.2957, 51.921, 5.575, 46.339
53, 40.1648, 52.919, 5.689, 47.222
54, 40.1731, 53.917, 6.673, 47.222
55, 40.2488, 54.918, 7.413, 47.5
56, 41.2658, 55.917, 7.522, 48.369
57, 42.432, 56.92, 7.624, 49.289
58, 43.2253, 57.915, 7.73, 50.162
59, 43.996, 58.92, 7.885, 51.029
60, 44.5333, 59.915, 8.053, 51.839
61, 45.4782, 60.919, 8.102, 52.809
62, 46.1678, 61.918, 8.14, 53.759
63, 47.3222, 62.916, 8.267, 54.629
64, 48.1982, 63.918, 8.368, 55.543
65, 49.7414, 64.918, 8.406, 56.506
66, 50.2941, 65.919, 8.541, 57.371
67, 51.5037, 66.921, 8.663, 58.251
68, 52.1546, 67.922, 8.7, 59.214
69, 52.6617, 68.921, 9.381, 59.533
70, 52.6709, 69.917, 10.361, 59.533
71, 52.6913, 70.915, 11.288, 59.608
72, 52.7316, 71.92, 12.054, 59.86
73, 52.7494, 72.92, 12.988, 59.925
74, 52.9303, 73.915, 13.244, 60.65
75, 53.7187, 74.92, 13.33, 61.583
76, 53.9023, 75.918, 13.852, 62.059
77, 54.9558, 76.92, 14, 62.913
78, 55.7956, 77.916, 14.071, 63.823
79, 56.2758, 78.92, 14.278, 64.635
80, 56.8859, 79.92, 14.375, 65.537
81, 57.3193, 80.916, 14.847, 66.052
82, 57.3441, 81.918, 15.702, 66.209
83, 58.0779, 82.916, 15.811, 67.082
84, 58.5852, 83.915, 15.899, 67.997
85, 59.1084, 84.915, 15.943, 68.952
86, 60.1299, 85.918, 16.103, 69.793
87, 60.8608, 86.916, 16.219, 70.681
88, 61.6643, 87.916, 16.323, 71.572
89, 62.7124, 88.916, 16.48, 72.417
90, 63.5054, 89.917, 16.907, 72.986
91, 63.5054, 90.92, 17.925, 72.986
92, 63.5054, 91.922, 18.925, 72.986
93, 63.5054, 92.915, 19.905, 72.986
94, 63.5054, 93.919, 20.927, 72.986
95, 63.5054, 94.916, 21.907, 72.986
96, 63.5054, 95.92, 22.925, 72.986
97, 63.5054, 96.919, 23.927, 72.986
98, 63.5054, 97.917, 24.91, 72.986
99, 63.5054, 98.917, 25.925, 72.986
100, 63.5054, 99.923, 26.927, 72.986
101, 63.5054, 100.917, 27.908, 72.986
102, 63.5054, 101.918, 28.911, 72.986
103, 63.5054, 102.919, 29.905, 72.986
104, 63.5054, 103.921, 30.926, 72.986
105, 63.5054, 104.915, 31.91, 72.986
106, 63.5054, 105.921, 32.926, 72.986
107, 63.5054, 106.915, 33.913, 72.986
108, 63.5054, 107.923, 34.927, 72.986
109, 63.5054, 108.921, 35.907, 72.986
110, 63.5054, 109.916, 36.912, 72.986
111, 63.5054, 110.919, 37.925, 72.986
112, 63.5054, 111.916, 38.909, 72.986
113, 63.5054, 112.918, 39.906, 72.986
114, 63.5054, 113.918, 40.905, 72.986
115, 63.5054, 114.92, 41.909, 72.986
116, 63.5054, 115.918, 42.926, 72.986
117, 63.5054, 116.918, 43.914, 72.986
118, 63.5054, 117.917, 44.925, 72.986
119, 63.5054, 118.916, 45.908, 72.986
120, 63.5054, 119.92, 46.913, 72.986
121, 63.5054, 120.919, 47.927, 72.986
122, 63.5054, 121.921, 48.927, 72.986
123, 63.5054, 122.916, 49.907, 72.986
124, 63.5054, 123.917, 50.91, 72.986
125, 63.5054, 124.924, 51.927, 72.986
126, 63.5054, 125.92, 52.925, 72.986
127, 63.5054, 126.919, 53.927, 72.986
128, 63.5054, 127.916, 54.907, 72.986
129, 63.5054, 128.918, 55.927, 72.986
130, 63.5054, 129.916, 56.908, 72.986
131, 63.5054, 130.917, 57.907, 72.986
132, 63.5054, 131.918, 58.925, 72.986
133, 63.5054, 132.917, 59.914, 72.986
134, 63.5054, 133.922, 60.925, 72.986
135, 63.5054, 134.918, 61.905, 72.986
136, 63.5054, 135.921, 62.911, 72.986
137, 63.5054, 136.921, 63.91, 72.986
138, 63.5054, 137.923, 64.911, 72.986
139, 63.5054, 138.921, 65.914, 72.986
140, 63.5054, 139.92, 66.927, 72.986
141, 63.5054, 140.919, 67.912, 72.986
142, 63.5054, 141.918, 68.925, 72.986
143, 63.5054, 142.915, 69.908, 72.986
144, 63.5054, 143.919, 70.91, 72.986
145, 63.5054, 144.921, 71.927, 72.986
146, 63.5054, 145.916, 72.908, 72.986
147, 63.5054, 146.921, 73.925, 72.986
148, 63.5054, 147.915, 74.914, 72.986
149, 63.5054, 148.918, 75.909, 72.986
150, 63.5054, 149.917, 76.913, 72.986
