Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
16.941, 248.048, 25.311, 212.552, 35.496, 731.952
16.941, 277.984, 28.3657, 239.328, 38.656, 702.016
28.925, 344.624, 35.1657, 297.224, 47.4, 635.376
28.925, 418.384, 42.6922, 358.848, 59.536, 561.616
32.967, 513.576, 52.4057, 445.576, 68, 466.424
37.968, 591.24, 60.3306, 514.712, 76.528, 388.76
42.969, 644.328, 65.7478, 563.392, 80.936, 335.672
50.939, 679.96, 69.3837, 596.552, 83.408, 300.04
58.927, 722.504, 73.7249, 633.608, 88.896, 257.496
58.967, 750.584, 76.5902, 657.96, 92.624, 229.416
63.968, 780.88, 79.6816, 687.376, 93.504, 199.12
64.021, 791, 80.7143, 695.416, 95.584, 189
79.927, 806.488, 82.2947, 712.416, 94.072, 173.512
82.943, 815.04, 83.1673, 718.952, 96.088, 164.96
90.929, 825.064, 84.1902, 728.296, 96.768, 154.936
90.967, 836.152, 85.3216, 738.552, 97.6, 143.848
101.934, 853.888, 87.1314, 753.28, 100.608, 126.112
104.943, 870.688, 88.8457, 769.608, 101.08, 109.312
107.967, 879.032, 89.6971, 777.792, 101.24, 100.968
107.967, 884.984, 90.3045, 781.976, 103.008, 95.016
107.967, 885.92, 90.4, 781.152, 104.768, 94.08
110.991, 889.84, 90.8, 785.256, 104.584, 90.16
133.939, 890.616, 90.8792, 785.808, 104.808, 89.384
133.939, 891.592, 90.9788, 788.352, 103.24, 88.408
145.941, 893.136, 91.1363, 789.96, 103.176, 86.864
151.944, 897.368, 91.5682, 795.416, 101.952, 82.632
157.944, 904.312, 92.2767, 803.864, 100.448, 75.688
163.943, 906.184, 92.4678, 805.896, 100.288, 73.816
166.966, 906.424, 92.4922, 804.456, 101.968, 73.576
172.97, 906.504, 92.5004, 803.792, 102.712, 73.496
172.97, 906.504, 92.5004, 803.728, 102.776, 73.496
175.996, 906.504, 92.5004, 803.728, 102.776, 73.496
192.94, 906.504, 92.5004, 803.728, 102.776, 73.496
195.967, 906.504, 92.5004, 803.728, 102.776, 73.496
201.966, 906.504, 92.5004, 803.728, 102.776, 73.496
201.966, 906.504, 92.5004, 803.728, 102.776, 73.496
215.942, 906.504, 92.5004, 803.728, 102.776, 73.496
221.939, 906.504, 92.5004, 803.736, 102.768, 73.496
224.971, 906.504, 92.5004, 803.736, 102.768, 73.496
224.971, 906.504, 92.5004, 803.736, 102.768, 73.496
238.944, 906.504, 92.5004, 803.736, 102.768, 73.496
241.967, 906.504, 92.5004, 803.736, 102.768, 73.496
247.969, 906.504, 92.5004, 803.736, 102.768, 73.496
247.969, 906.504, 92.5004, 803.736, 102.768, 73.496
261.944, 906.504, 92.5004, 803.728, 102.776, 73.496
264.966, 906.504, 92.5004, 803.728, 102.776, 73.496
264.966, 906.504, 92.5004, 803.728, 102.776, 73.496
264.966, 906.504, 92.5004, 803.728, 102.776, 73.496
270.91, 906.504, 92.5004, 803.728, 102.776, 73.496
