Iteration, Path length, Time, Planning, Flying
1, 0, 0.018, 0.009, 0
2, 0.201803, 1.018, 0.229, 0.781
3, 0.584983, 2.018, 0.229, 1.781
4, 0.826969, 3.018, 0.229, 2.78
5, 1.64418, 4.019, 0.229, 3.781
6, 2.0703, 5.018, 0.287, 4.723
7, 3.05325, 6.018, 0.287, 5.724
8, 4.15191, 7.018, 0.287, 6.724
9, 4.53716, 8.018, 0.287, 7.722
10, 5.5895, 9.019, 0.312, 8.699
11, 7.08515, 10.018, 0.312, 9.697
12, 8.09641, 11.019, 0.328, 10.682
13, 8.93132, 12.018, 0.328, 11.682
14, 9.92082, 13.02, 0.348, 12.668
15, 10.3282, 14.018, 0.367, 13.644
16, 11.4121, 15.019, 0.385, 14.624
17, 12.4044, 16.021, 0.385, 15.625
18, 13.3916, 17.018, 0.385, 16.624
19, 14.0481, 18.018, 0.385, 17.628
20, 14.7379, 19.02, 0.385, 18.625
21, 15.3744, 20.019, 0.385, 19.627
22, 16.4179, 21.018, 0.385, 20.627
23, 17.1914, 22.018, 0.404, 21.608
24, 18.1676, 23.019, 0.424, 22.588
25, 19.2594, 24.02, 0.443, 23.569
26, 19.7268, 25.019, 0.463, 24.547
27, 20.9154, 26.019, 0.463, 25.549
28, 21.8864, 27.019, 0.481, 26.53
29, 22.7134, 28.019, 0.481, 27.53
30, 23.6145, 29.019, 0.481, 28.53
31, 24.1937, 30.019, 0.481, 29.53
32, 24.664, 31.021, 0.536, 30.475
33, 25.2011, 32.018, 0.557, 31.452
34, 25.9807, 33.018, 0.575, 32.435
35, 27.0399, 34.019, 0.596, 33.414
36, 28.1825, 35.019, 0.619, 34.395
37, 28.952, 36.018, 0.619, 35.391
38, 30.0435, 37.019, 0.619, 36.392
39, 31.0821, 38.021, 0.661, 37.348
40, 32.2605, 39.023, 0.661, 38.356
41, 32.8235, 40.02, 0.707, 39.304
42, 33.9676, 41.021, 0.782, 40.23
43, 35.1321, 42.018, 0.8, 41.209
44, 36.0466, 43.019, 0.84, 42.17
45, 37.1865, 44.022, 0.859, 43.15
46, 38.2065, 45.018, 0.874, 44.139
47, 38.7658, 46.018, 0.896, 45.113
48, 39.4673, 47.023, 0.914, 46.096
49, 40.3318, 48.021, 0.971, 47.039
50, 41.4786, 49.018, 1.047, 47.963
51, 42.3024, 50.019, 1.047, 48.966
52, 43.3343, 51.02, 1.047, 49.969
53, 43.6872, 52.02, 1.062, 50.948
54, 44.7042, 53.019, 1.155, 51.858
55, 45.8176, 54.019, 1.192, 52.821
56, 46.7453, 55.019, 1.211, 53.798
57, 47.7094, 56.02, 1.254, 54.757
58, 48.5874, 57.018, 1.276, 55.737
59, 49.7295, 58.021, 1.329, 56.683
60, 50.8297, 59.019, 1.35, 57.666
61, 51.5427, 60.019, 1.388, 58.621
62, 52.0801, 61.019, 1.408, 59.606
63, 52.8546, 62.019, 1.465, 60.548
64, 54.1193, 63.019, 1.505, 61.504
65, 54.991, 64.022, 1.525, 62.485
66, 55.5155, 65.021, 1.541, 63.471
67, 56.5571, 66.02, 1.582, 64.433
68, 57.0699, 67.021, 1.582, 65.428
69, 57.5765, 68.023, 1.582, 66.429
70, 58.7587, 69.019, 1.603, 67.409
71, 59.403, 70.018, 1.603, 68.409
72, 60.0132, 71.022, 1.661, 69.356
73, 60.4161, 72.02, 1.661, 70.355
74, 61.3912, 73.019, 1.748, 71.261
75, 62.5053, 74.021, 1.787, 72.23
76, 63.5619, 75.02, 1.819, 73.191
77, 64.4846, 76.022, 1.819, 74.197
78, 65.4586, 77.02, 1.904, 75.106
79, 66.4575, 78.022, 1.97, 76.047
80, 67.0023, 79.018, 1.988, 77.025
81, 67.8642, 80.021, 2.049, 77.963
82, 68.7953, 81.021, 2.088, 78.921
83, 69.5292, 82.019, 2.15, 79.862
84, 70.7056, 83.021, 2.222, 80.794
85, 71.7729, 84.023, 2.25, 81.762
86, 72.6903, 85.018, 2.293, 82.719
87, 73.3826, 86.021, 2.293, 83.717
88, 74.2732, 87.018, 2.312, 84.699
89, 75.3733, 88.02, 2.351, 85.659
90, 76.373, 89.02, 2.395, 86.617
91, 77.5482, 90.018, 2.474, 87.536
92, 78.4583, 91.021, 2.516, 88.497
93, 79.251, 92.021, 2.559, 89.45
94, 80.1754, 93.022, 2.623, 90.389
95, 81.2985, 94.023, 2.623, 91.389
96, 82.3556, 95.022, 2.665, 92.344
97, 83.1766, 96.021, 2.687, 93.326
98, 83.8798, 97.018, 2.749, 94.245
99, 84.8515, 98.022, 2.786, 95.228
100, 85.5583, 99.018, 2.823, 96.192
101, 86.5402, 100.021, 2.859, 97.154
102, 87.5973, 101.018, 2.905, 98.107
103, 88.5132, 102.02, 2.971, 99.039
104, 89.2026, 103.021, 2.986, 100.027
105, 90.1934, 104.02, 3.021, 100.991
106, 90.7283, 105.021, 3.021, 101.991
107, 91.7795, 106.019, 3.101, 102.913
108, 92.1836, 107.018, 3.136, 103.875
109, 93.1389, 108.022, 3.16, 104.857
110, 94.3204, 109.02, 3.173, 105.842
111, 95.2607, 110.018, 3.173, 106.838
112, 96.2817, 111.021, 3.19, 107.822
113, 96.7087, 112.019, 3.19, 108.819
114, 97.948, 113.019, 3.19, 109.825
115, 98.9985, 114.021, 3.211, 110.799
116, 100.034, 115.019, 3.248, 111.763
117, 101.025, 116.02, 3.27, 112.744
118, 102.063, 117.02, 3.317, 113.699
119, 103.082, 118.021, 3.413, 114.601
120, 103.603, 119.021, 3.505, 115.508
121, 104.368, 120.022, 3.601, 116.411
122, 105.261, 121.023, 3.64, 117.371
123, 105.843, 122.019, 3.662, 118.349
124, 106.495, 123.018, 3.662, 119.353
125, 106.782, 124.021, 3.682, 120.329
126, 107.48, 125.02, 3.729, 121.284
127, 108.539, 126.018, 3.75, 122.26
128, 109.182, 127.019, 3.75, 123.264
129, 110.326, 128.021, 3.75, 124.261
130, 110.939, 129.019, 3.771, 125.242
131, 112.17, 130.022, 3.771, 126.24
132, 113.049, 131.02, 3.852, 127.162
133, 113.505, 132.019, 3.876, 128.133
134, 114.448, 133.02, 3.955, 129.059
135, 115.482, 134.019, 3.955, 130.055
136, 116.383, 135.018, 3.978, 131.035
137, 117.064, 136.018, 4.02, 131.996
138, 117.642, 137.018, 4.064, 132.948
139, 118.119, 138.019, 4.101, 133.914
140, 119.3, 139.02, 4.145, 134.87
141, 120.113, 140.019, 4.183, 135.83
142, 121.051, 141.019, 4.235, 136.784
143, 122.106, 142.019, 4.303, 137.709
144, 122.846, 143.02, 4.303, 138.71
145, 123.505, 144.018, 4.303, 139.706
146, 124.098, 145.02, 4.303, 140.712
147, 125.088, 146.02, 4.346, 141.668
148, 126, 147.02, 4.37, 142.643
149, 126.808, 148.02, 4.409, 143.605
150, 127.396, 149.02, 4.469, 144.54
151, 127.821, 150.018, 4.932, 145.086
152, 127.86, 151.02, 5.603, 145.417
153, 128.332, 152.021, 5.703, 146.31
154, 129.39, 153.019, 5.722, 147.29
155, 130.234, 154.022, 5.741, 148.272
156, 131.338, 155.021, 5.8, 149.214
157, 132.54, 156.022, 5.884, 150.125
158, 133.494, 157.02, 5.901, 151.109
159, 134.657, 158.019, 5.901, 152.114
160, 135.586, 159.019, 5.918, 153.097
161, 136.615, 160.02, 5.918, 154.092
162, 137.68, 161.02, 5.936, 155.08
163, 138.526, 162.02, 5.956, 156.058
164, 139.586, 163.019, 6.035, 156.98
165, 140.093, 164.019, 6.093, 157.922
166, 141.154, 165.02, 6.112, 158.898
167, 142.154, 166.021, 6.13, 159.88
168, 143.223, 167.02, 6.168, 160.845
169, 144.032, 168.018, 6.168, 161.845
170, 144.914, 169.018, 6.19, 162.825
171, 145.728, 170.018, 6.19, 163.824
172, 147.033, 171.019, 6.232, 164.784
173, 147.872, 172.02, 6.261, 165.75
174, 148.806, 173.021, 6.332, 166.685
175, 149.61, 174.019, 6.35, 167.66
176, 150.684, 175.02, 6.41, 168.599
177, 151.612, 176.018, 6.467, 169.545
178, 152.706, 177.021, 6.512, 170.502
